forbidden_output,emitted_in_phase213,allowed_in_phase213,rationale
model_fit,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
model_prediction,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
strategy_replay,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
test_replay_execution,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
test_result,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
promotion,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
paper_live_acceptance,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
order_arrival,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
fill_model,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
pnl_replay,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
profitability_claim,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
threshold_widening,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
row_level_prediction_export,0,0,"Phase213 is a material-new-source precommit only and emits no model, prediction, replay, order/fill/P&L, promotion, or paper/live artifact."
