root,trade_date,exchange,symbol,parquet_files,bytes
real_data_sample\l2_single_day,,,ADANIPORTS,1569,54744007
real_data_sample\l2_single_day,,,AXISBANK,1569,55030126
real_data_sample\l2_single_day,,,BAJAJ-AUTO,1569,55531219
real_data_sample\l2_single_day,,,BANKBEES,1569,54858026
real_data_sample\l2_single_day,,,BHARTIARTL,1569,55190740
real_data_sample\l2_single_day,,,BPCL,1569,54256472
real_data_sample\l2_single_day,,,BRITANNIA,1569,54177058
real_data_sample\l2_single_day,,,CIPLA,1569,54425687
real_data_sample\l2_single_day,,,DRREDDY,1569,54592935
real_data_sample\l2_single_day,,,GOLDBEES,1568,54501651
real_data_sample\l2_single_day,,,HCLTECH,1569,56185830
real_data_sample\l2_single_day,,,HDFCBANK,1569,56719345
real_data_sample\l2_single_day,,,HINDUNILVR,1569,54585232
real_data_sample\l2_single_day,,,ICICIBANK,1569,55797042
real_data_sample\l2_single_day,,,INFY,1569,56702770
real_data_sample\l2_single_day,,,ITBEES,1569,54430478
real_data_sample\l2_single_day,,,ITC,1569,54356124
real_data_sample\l2_single_day,,,JUNIORBEES,1568,54832707
real_data_sample\l2_single_day,,,KOTAKBANK,1569,54705403
real_data_sample\l2_single_day,,,LT,1569,55064314
real_data_sample\l2_single_day,,,M&M,1569,55603819
real_data_sample\l2_single_day,,,MARUTI,1569,55534811
real_data_sample\l2_single_day,,,NESTLEIND,1569,54577884
real_data_sample\l2_single_day,,,NIFTYBEES,1568,55113499
real_data_sample\l2_single_day,,,ONGC,1569,54856635
real_data_sample\l2_single_day,,,RELIANCE,1569,55637533
real_data_sample\l2_single_day,,,SBIN,1569,55549327
real_data_sample\l2_single_day,,,SUNPHARMA,1569,54762618
real_data_sample\l2_single_day,,,TCS,1569,56845524
real_data_sample\l2_single_day,,,TECHM,1569,55179402
real_data_sample\l2_single_day,,,ULTRACEMCO,1569,54242826
real_data_sample\l2_single_day,,,WIPRO,1569,55414740
real_data_sample\l2_multiday_panel,2026-07-08,NSE,ADANIPORTS,641,22399798
real_data_sample\l2_multiday_panel,2026-07-08,NSE,AXISBANK,641,22940648
real_data_sample\l2_multiday_panel,2026-07-08,NSE,BAJAJ-AUTO,641,22287850
real_data_sample\l2_multiday_panel,2026-07-08,NSE,BANKBEES,641,22610326
real_data_sample\l2_multiday_panel,2026-07-08,NSE,BHARTIARTL,640,22431492
real_data_sample\l2_multiday_panel,2026-07-08,NSE,BPCL,640,22142836
real_data_sample\l2_multiday_panel,2026-07-08,NSE,BRITANNIA,641,22100628
real_data_sample\l2_multiday_panel,2026-07-08,NSE,CIPLA,640,22175632
real_data_sample\l2_multiday_panel,2026-07-08,NSE,DRREDDY,641,22216074
real_data_sample\l2_multiday_panel,2026-07-08,NSE,GOLDBEES,641,22425356
real_data_sample\l2_multiday_panel,2026-07-08,NSE,HCLTECH,641,22176067
real_data_sample\l2_multiday_panel,2026-07-08,NSE,HDFCBANK,641,23194299
real_data_sample\l2_multiday_panel,2026-07-08,NSE,HINDUNILVR,641,22359521
real_data_sample\l2_multiday_panel,2026-07-08,NSE,ICICIBANK,641,22984610
real_data_sample\l2_multiday_panel,2026-07-08,NSE,INFY,641,22736564
real_data_sample\l2_multiday_panel,2026-07-08,NSE,ITBEES,641,22089190
real_data_sample\l2_multiday_panel,2026-07-08,NSE,ITC,641,22455233
real_data_sample\l2_multiday_panel,2026-07-08,NSE,JUNIORBEES,641,22568378
real_data_sample\l2_multiday_panel,2026-07-08,NSE,KOTAKBANK,641,22729760
real_data_sample\l2_multiday_panel,2026-07-08,NSE,LT,641,22958116
real_data_sample\l2_multiday_panel,2026-07-08,NSE,M&M,641,22867747
real_data_sample\l2_multiday_panel,2026-07-08,NSE,MARUTI,641,22559567
real_data_sample\l2_multiday_panel,2026-07-08,NSE,NESTLEIND,641,22225982
real_data_sample\l2_multiday_panel,2026-07-08,NSE,NIFTYBEES,641,22644435
real_data_sample\l2_multiday_panel,2026-07-08,NSE,ONGC,641,22493341
real_data_sample\l2_multiday_panel,2026-07-08,NSE,RELIANCE,640,23024087
real_data_sample\l2_multiday_panel,2026-07-08,NSE,SBIN,640,22778539
real_data_sample\l2_multiday_panel,2026-07-08,NSE,SUNPHARMA,641,22318682
real_data_sample\l2_multiday_panel,2026-07-08,NSE,TCS,641,22407965
real_data_sample\l2_multiday_panel,2026-07-08,NSE,TECHM,641,22183936
real_data_sample\l2_multiday_panel,2026-07-08,NSE,ULTRACEMCO,641,22236338
real_data_sample\l2_multiday_panel,2026-07-08,NSE,WIPRO,641,22169452
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ADANIPORTS,641,22399798
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,AXISBANK,641,22940648
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BAJAJ-AUTO,641,22287850
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BANKBEES,641,22610326
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BHARTIARTL,640,22431492
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BPCL,640,22142836
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,BRITANNIA,641,22100628
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,CIPLA,640,22175632
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,DRREDDY,641,22216074
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,GOLDBEES,641,22425356
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,HCLTECH,641,22176067
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,HDFCBANK,641,23194299
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,HINDUNILVR,641,22359521
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ICICIBANK,641,22984610
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,INFY,641,22736564
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ITBEES,641,22089190
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ITC,641,22455233
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,JUNIORBEES,641,22568378
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,KOTAKBANK,641,22729760
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,LT,641,22958116
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,M&M,641,22867747
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,MARUTI,641,22559567
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,NESTLEIND,641,22225982
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,NIFTYBEES,641,22644435
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ONGC,641,22493341
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,RELIANCE,640,23024087
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,SBIN,640,22778539
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,SUNPHARMA,641,22318682
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,TCS,641,22407965
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,TECHM,641,22183936
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ULTRACEMCO,641,22236338
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,WIPRO,641,22169452
real_data_sample\l2_multiday_panel,2026-07-09,NSE,ADANIPORTS,893,31192035
real_data_sample\l2_multiday_panel,2026-07-09,NSE,AXISBANK,892,31570078
real_data_sample\l2_multiday_panel,2026-07-09,NSE,BAJAJ-AUTO,892,31020945
real_data_sample\l2_multiday_panel,2026-07-09,NSE,BANKBEES,894,31580460
real_data_sample\l2_multiday_panel,2026-07-09,NSE,BHARTIARTL,892,32238955
real_data_sample\l2_multiday_panel,2026-07-09,NSE,BPCL,893,30924713
real_data_sample\l2_multiday_panel,2026-07-09,NSE,BRITANNIA,892,30916269
real_data_sample\l2_multiday_panel,2026-07-09,NSE,CIPLA,892,30907690
real_data_sample\l2_multiday_panel,2026-07-09,NSE,DRREDDY,892,31896440
real_data_sample\l2_multiday_panel,2026-07-09,NSE,GOLDBEES,893,31244094
real_data_sample\l2_multiday_panel,2026-07-09,NSE,HCLTECH,892,31085265
real_data_sample\l2_multiday_panel,2026-07-09,NSE,HDFCBANK,892,32271288
real_data_sample\l2_multiday_panel,2026-07-09,NSE,HINDUNILVR,892,31470657
real_data_sample\l2_multiday_panel,2026-07-09,NSE,ICICIBANK,892,32126198
real_data_sample\l2_multiday_panel,2026-07-09,NSE,INFY,892,31629099
real_data_sample\l2_multiday_panel,2026-07-09,NSE,ITBEES,894,30876542
real_data_sample\l2_multiday_panel,2026-07-09,NSE,ITC,892,31350471
real_data_sample\l2_multiday_panel,2026-07-09,NSE,JUNIORBEES,894,31522415
real_data_sample\l2_multiday_panel,2026-07-09,NSE,KOTAKBANK,892,31989996
real_data_sample\l2_multiday_panel,2026-07-09,NSE,LT,892,31871986
real_data_sample\l2_multiday_panel,2026-07-09,NSE,M&M,892,31547955
real_data_sample\l2_multiday_panel,2026-07-09,NSE,MARUTI,892,31365200
real_data_sample\l2_multiday_panel,2026-07-09,NSE,NESTLEIND,892,30965113
real_data_sample\l2_multiday_panel,2026-07-09,NSE,NIFTYBEES,894,31464910
real_data_sample\l2_multiday_panel,2026-07-09,NSE,ONGC,892,31134590
real_data_sample\l2_multiday_panel,2026-07-09,NSE,RELIANCE,893,32081703
real_data_sample\l2_multiday_panel,2026-07-09,NSE,SBIN,893,31749737
real_data_sample\l2_multiday_panel,2026-07-09,NSE,SUNPHARMA,892,31516068
real_data_sample\l2_multiday_panel,2026-07-09,NSE,TCS,892,31735785
real_data_sample\l2_multiday_panel,2026-07-09,NSE,TECHM,893,31017941
real_data_sample\l2_multiday_panel,2026-07-09,NSE,ULTRACEMCO,893,30888286
real_data_sample\l2_multiday_panel,2026-07-09,NSE,WIPRO,893,31225283
scratch_azcopy_selected\raw_l2,2026-07-09,NSE,ADANIPORTS,893,31192035
scratch_azcopy_selected\raw_l2,2026-07-09,NSE,AXISBANK,892,31570078
scratch_azcopy_selected\raw_l2,2026-07-09,NSE,BAJAJ-AUTO,892,31020945
scratch_azcopy_selected\raw_l2,2026-07-09,NSE,BANKBEES,894,31580460
scratch_azcopy_selected\raw_l2,2026-07-09,NSE,BHARTIARTL,892,32238955
scratch_azcopy_selected\raw_l2,2026-07-09,NSE,BPCL,893,30924713
scratch_azcopy_selected\raw_l2,2026-07-09,NSE,BRITANNIA,892,30916269
scratch_azcopy_selected\raw_l2,2026-07-09,NSE,CIPLA,892,30907690
scratch_azcopy_selected\raw_l2,2026-07-09,NSE,DRREDDY,892,31896440
