strategy_family_id,phases,decision,deployable,best_evidence,primary_failure_mode,gross_positive_evidence,after_cost_positive_evidence,net_pnl_inr,trade_count,scale_recommendation,required_next_action,can_continue_same_shard_family
F01_dense_marketable_bruteforce,"52,53",retired,False,Phase53 found zero profitable aggregate strategy/profile rows after retail costs.,costs_overwhelmed_dense_taker_signals,3.0,0.0,,826538294.0,0,do_not_continue_bruteforce_shard_replay,False
F02_selective_marketable_controls,54,retired,False,Phase54 produced one after-cost positive row only in nondeployable controls and zero deployable retail candidates.,positive_only_under_nondeployable_control_assumptions,,1.0,7856.210041387097,456.0,0,keep_as_control_not_live_candidate,False
F03_cost_aware_taker_edge_mining,55,retired,False,Phase55 found no deployable positive after-cost candidates; the positive ceiling was oracle-only.,oracle_positive_but_retail_deployable_negative,1.0,0.0,-13367.64891944802,490.0,0,do_not_scale_oracle_edges,False
F04_no_lookahead_dense_rule_labels,56,retired,False,Phase56 evaluated 180 no-lookahead rules and found zero positive test rules after retail costs.,no_test_rule_cleared_costs,,0.0,-4829.703281628985,180.0,0,do_not_widen_dense_no_lookahead_rules,False
F05_supervised_interaction_cells,"57,58,59",retired,False,"Phase57 found one candidate, but Phase58 emitted zero disjoint trades and Phase59 found zero positive stable validation rows.",non_repeating_sparse_cell_and_failed_stability_validation,1.0,0.0,-785961.890750619,0.0,0,retire_sparse_interaction_cell_family,False
F06_lower_frequency_event_bar_momentum,"60,61,62,63",retired,False,"Phase60 passed initial validation, then Phase61 lost -88,748.03 INR, Phase62 found only a tiny KOTAKBANK clue, and Phase63 falsified that clue at -24,100.26 INR.",initial_validation_edge_did_not_survive_wider_symbol_month_falsification,1.0,0.0,-24100.25762526291,155.0,0,retire_phase60_candidate_family,False
F07_passive_limit_queue_capture,64_next,next_active_research_branch,False,"Marketable-taker families repeatedly failed after spread, slippage, impact and Zerodha charges; a different mechanism must be tested.",not_yet_tested_and_passive_fills_are_unobserved_assumptions,,,,,1,implement_passive_queue_assumption_sensitivity_before_any_profit_claim,True
F08_naive_passive_imbalance,"65,66",retired,False,Phase65 had zero surviving queue profiles and best expected P&L -1020667.89 INR; Phase66 had zero adverse-selection label candidates.,passive_touches_were_adverse_selection_traps,,,-1020667.8859458851,68850.0,0,do_not_widen_naive_passive_imbalance,False
F09_replenishment_after_touch,68,retired,False,Phase68 best after-cost bucket was -13.24 bps with zero cost-clearing buckets.,replenishment_improved_loss_but_did_not_clear_cost_or_adverse_selection,,,,68850.0,0,do_not_target_replenishment_replay,False
F10_spread_transition,69,retired,False,Phase69 produced 319500 labels but best after-cost bucket was -10.03 bps.,spread_transition_direction_did_not_clear_costs,,,,319500.0,0,do_not_target_spread_transition_replay,False
F11_cross_symbol_lead_lag,70,watchlist_near_miss,False,Phase70 best rule was positive at 38915.75 INR but failed precision/cost-drag gates.,positive_pnl_but_precision_and_cost_drag_gate_failed,,,38915.74717800456,,0,do_not_replay_without_feature_refinement_or_cost_reduction,False
F12_shock_resilience,71,watchlist_near_miss,False,Phase71 best shock rule was positive at 13311.38 INR but failed sample-size gate.,positive_shock_near_miss_but_insufficient_trade_count,,,13311.377520269712,,0,audit_generator_shock_frequency_and_retest_only_if_sample_size_is_designed,False
