trade_date,remote_partition,already_in_split_before_phase192,requested_for_download
1970-01-01,raw_l2/trade_date=1970-01-01,0,0
2026-07-08,raw_l2/trade_date=2026-07-08,1,0
2026-07-09,raw_l2/trade_date=2026-07-09,1,0
2026-07-10,raw_l2/trade_date=2026-07-10,1,0
2026-07-13,raw_l2/trade_date=2026-07-13,1,0
2026-07-14,raw_l2/trade_date=2026-07-14,1,0
2026-07-15,raw_l2/trade_date=2026-07-15,0,0
2026-07-16,raw_l2/trade_date=2026-07-16,0,1
2026-07-17,raw_l2/trade_date=2026-07-17,0,0
2026-07-20,raw_l2/trade_date=2026-07-20,0,0
2026-07-21,raw_l2/trade_date=2026-07-21,0,0
2026-07-22,raw_l2/trade_date=2026-07-22,0,0
2026-07-23,raw_l2/trade_date=2026-07-23,0,0
2026-07-24,raw_l2/trade_date=2026-07-24,0,0
2026-07-27,raw_l2/trade_date=2026-07-27,0,0
2026-07-28,raw_l2/trade_date=2026-07-28,0,0
