remote_path,local_path,bytes,status,error
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035734_728683-001665.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035734_728683-001665.parquet,34468,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-041014_229913-003329.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-041014_229913-003329.parquet,34673,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043929_730394-007201.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043929_730394-007201.parquet,34686,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043148_729386-006177.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043148_729386-006177.parquet,34685,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040438_000792-002593.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040438_000792-002593.parquet,34484,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035930_480225-001921.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035930_480225-001921.parquet,34402,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-041550_487823-004065.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-041550_487823-004065.parquet,34655,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042029_229452-004673.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042029_229452-004673.parquet,34562,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035032_479104-000737.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035032_479104-000737.parquet,34493,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040959_483255-003297.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040959_483255-003297.parquet,34667,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043915_481776-007169.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043915_481776-007169.parquet,34708,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043134_482792-006145.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043134_482792-006145.parquet,34623,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-041535_980092-004033.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-041535_980092-004033.parquet,34419,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-042014_984562-004641.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-042014_984562-004641.parquet,34600,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035130_479051-000865.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035130_479051-000865.parquet,34422,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-040408_731129-002529.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-040408_731129-002529.parquet,34489,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043901_232162-007137.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043901_232162-007137.parquet,34639,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-043119_985129-006113.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-043119_985129-006113.parquet,34781,skipped_existing,
raw_l2/trade_date=2026-07-15/exchange=NSE/symbol=ADANIPORTS/part-035312_227660-001089.parquet,real_data_sample\l2_multiday_panel\trade_date=2026-07-15\exchange=NSE\symbol=ADANIPORTS\part-035312_227660-001089.parquet,34727,skipped_existing,
