step_id,required_action,description
1_signal_intake,load_phase299_directional_signal_seeds,Reuse directional seeds from prior phases; no new alpha grid.
2_raw_depth_features,compute_queue_depth_spread_microprice_depth_slope_replenishment_from_levels_1_to_5,Feature update uses full top-five market-by-price depth.
3_passive_entry_model,estimate_fill_probability_from_queue_depth_side_horizon_with_back_of_queue_prior,Passive entry cannot fill deterministically.
4_cancel_or_cross,cancel_if_market_moves_away_cross_only_if_expected_move_exceeds_total_cost,Hybrid policy.
5_adverse_selection,apply_fill_conditioned_toxicity_penalty_to_all_passive_fills,Filled passive orders pay toxicity penalty.
6_exit_policy,exit_passively_when_calm_aggressively_on_risk_signal_expiry_or_eod,Do not hold exposure to save spread.
7_forced_flatten,charge_taker_spread_and_full_statutory_cost_for_leftover_inventory,End-of-signal or EOD inventory must be flattened.
8_cost_scoring,zerodha_costs_cost200_fixed_initial_capital_initial_notional_lt_100000,Pinned retail cost model and fixed capital.
9_acceptance,events_ge_30_annualized_gt_12_cost200_breadth_rank_stability,Sparse <30-event sparks are clues only.
10_boundaries,replay_0_promotion_0_paper_live_0_profitability_claim_0,No promotion on Phase300 precommit or training run.
