seed_scope,fill_model_id,execution_policy_id,scenario_rows,max_scheduled_event_rows,max_annualized_pct,median_annualized_pct,max_net_pnl_inr,acceptance_survivor_rows,event_floor_met_rows,above12_rows,breadth_met_rows,best_scenario_id
P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6,P300_FILL_OPTIMISTIC_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN,3,2,287.9689503602893,0.0,11427.33930001148,0,0,1,0,P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6_P300_FILL_OPTIMISTIC_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200
P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6,P300_FILL_OPTIMISTIC_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_TAKER_EXIT,3,2,287.90458671512795,0.0,11424.785187108253,0,0,1,0,P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6_P300_FILL_OPTIMISTIC_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_TAKER_EXIT_CAP1000000_NOT75000_CONC1_COST200
P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6,P300_FILL_PESSIMISTIC_BACK_OF_QUEUE,P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN,3,3,287.3881771976564,282.81566754042376,11404.292745938745,0,0,2,0,P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6_P300_FILL_PESSIMISTIC_BACK_OF_QUEUE_P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200
P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-09_Q99_DL3_H6,P300_FILL_BASE_BACK_OF_QUEUE,P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN,3,3,150.6963343820602,0.0,11960.026538258746,0,0,1,0,P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-09_Q99_DL3_H6_P300_FILL_BASE_BACK_OF_QUEUE_P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200
P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6,P300_FILL_BASE_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN,3,2,150.68279275211728,0.0,11958.951805723595,0,0,1,0,P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6_P300_FILL_BASE_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200
P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6,P300_FILL_OPTIMISTIC_BACK_OF_QUEUE,P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN,3,3,148.5878869856984,2.4940620630694847,11792.689443309397,0,0,1,0,P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6_P300_FILL_OPTIMISTIC_BACK_OF_QUEUE_P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN_CAP1000000_NOT75000_CONC2_COST200
P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6,P300_FILL_BASE_BACK_OF_QUEUE,P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN,3,4,146.23856792594228,143.8794951429906,11606.235549677958,0,0,2,0,P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6_P300_FILL_BASE_BACK_OF_QUEUE_P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200
P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6,P300_FILL_OPTIMISTIC_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN,3,2,146.14825329874785,4.635593628134408,11599.067722122843,0,0,1,0,P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6_P300_FILL_OPTIMISTIC_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200
P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6,P300_FILL_OPTIMISTIC_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_TAKER_EXIT,3,2,143.99492414072517,-2.1637781186031955,11428.168582597234,0,0,1,0,P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6_P300_FILL_OPTIMISTIC_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_TAKER_EXIT_CAP1000000_NOT75000_CONC2_COST200
P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-09_Q99_DL3_H6,P300_FILL_OPTIMISTIC_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN,3,2,143.98559588066544,143.95229335756397,11427.428244497258,0,0,2,0,P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-09_Q99_DL3_H6_P300_FILL_OPTIMISTIC_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN_CAP1000000_NOT75000_CONC1_COST200
P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-09_Q99_DL3_H6,P300_FILL_PESSIMISTIC_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_TAKER_EXIT,3,2,143.71327698829032,4.41542825196718,11405.815633991293,0,0,1,0,P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-09_Q99_DL3_H6_P300_FILL_PESSIMISTIC_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_TAKER_EXIT_CAP1000000_NOT75000_CONC1_COST200
