gate_id,passed,observed_value,required_value,severity
P300_PRECOMMIT_PHASE299_WORK_ORDER_PRESENT,True,run_phase300_passive_aware_execution_hybrid_precommit_no_paper_live,Phase299 routes to Phase300,hard
P300_PRECOMMIT_INPUTS_VERSION_PINNED,True,seeds=16;schema_cols=30,directional seeds and raw depth schema present,hard
P300_PRECOMMIT_L1_ONLY_FORBIDDEN,True,0,0,hard
P300_PRECOMMIT_NO_LOOKAHEAD,True,0,0,hard
P300_PRECOMMIT_FILL_MODEL_REQUIRED,True,fill_model,required,hard
P300_PRECOMMIT_ADVERSE_SELECTION_REQUIRED,True,adverse_selection_penalty,required,hard
P300_PRECOMMIT_FORCED_FLATTEN_REQUIRED,True,forced_flatten_cost,required,hard
P300_PRECOMMIT_COST200_FIXED_CAPITAL,True,cost200;fixed_initial_capital,required,hard
P300_PRECOMMIT_BOUNDARIES_CLOSED,True,replay=0;promotion=0;paper=0;claim=0,all zero,hard
P300_PRECOMMIT_RESULTS_NOT_GENERATED,True,0,0,hard
