charter_item,value,description
charter_id,P300_PASSIVE_AWARE_DIRECTIONAL_L2_EXECUTION,Phase300 precommit charter.
status,PRECOMMIT_NO_RESULTS_GENERATED,Commit this charter before generating Phase300 backtest results.
thesis,directional_l2_edge_may_need_passive_aware_execution_to_survive_retail_costs,Prior taker-style edges were thin versus 2x Zerodha cost stress.
not_market_making,1,"This is passive-aware execution of directional signals, not two-sided continuous retail market-making."
directional_signal_source,P235;P268;P280;P281;P282;P298_sparse_directional_signal_seeds,Reuse validated directional signals; no fresh alpha search in Phase300.
raw_book_state_source,P51_raw_dense_full_year_lake;P298_schema_audit,Use top-five market-by-price depth levels 1-5 price/qty/order-count.
levels_2_to_5_materiality_required,1,No L1-only variants.
cost_model,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Pinned Zerodha NSE equity intraday cost model.
cost_stress,cost200,2x cost stress required.
capital_denominator,fixed_initial_capital,No unlimited-capital annualization.
initial_notional_cap,lt_100000_INR,Per-order fixed notional must be below the charter cap.
isolation_unit,strategy_symbol_date,"Per strategy, symbol, date isolation is required for scoring diagnostics."
fill_model,"P(fill|queue_depth,side,horizon)_from_raw_depth_levels_1_to_5","Passive fills must be probabilistic, not assumed."
retail_queue_prior,back_of_queue_pessimistic,Retail order starts behind displayed queue.
adverse_selection_penalty,fill_conditioned_toxicity_penalty_required,Passive fills are penalized for being more likely when informed flow is against us.
forced_flatten_cost,leftover_inventory_pays_taker_spread_plus_full_statutory_costs,No free spread saving by refusing to exit.
entry_policy,passive_limit_entry_wait_cancel_or_cross_if_edge_exceeds_total_cost,Hybrid entry policy.
exit_policy,passive_when_calm_aggressive_when_risk_or_signal_expiry,Never stay exposed merely to save spread.
brokerage_and_taxes,brokerage_per_executed_order_STT_sell_side_txn_GST_SEBI_stamp,Costs apply to passive and aggressive executions; no maker rebate assumed.
no_lookahead,net_edge_live_mask_rows_must_equal_0,Labels may not be used as live masks.
acceptance_event_floor,30,A sparse >12% result below 30 events is discovery-only.
acceptance_annualized_threshold_pct,12.0,Cost200 annualized threshold.
acceptance_breadth,multi_symbol_and_multi_date_positive,Not a single-day/single-symbol pocket.
rank_stability,rank_stable_1x_to_2x_cost,No cost-stress ordering reversal.
kill_switch,close_if_no_robust_cost200_above12_or_best_below_30_or_only_survives_by_weakening_penalty,Do not iterate to rescue after honest failure.
strategy_replay_allowed,0,Boundary remains closed.
strategy_promotion_allowed,0,Boundary remains closed.
paper_or_live_acceptance_allowed,0,Boundary remains closed.
deployable_profitability_claim_allowed,0,Boundary remains closed.
