queue_rank,trade_month,symbol,priority_bucket,realism_review_flag,opportunity_abstention_flag,candidate_generation_allowed,precommit_scope,strategy_replay_allowed,must_include_guardrail,why
1,2026-01,ADANIPORTS,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
2,2026-01,AXISBANK,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
3,2026-01,BHARTIARTL,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
4,2026-01,BPCL,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
5,2026-01,BRITANNIA,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
6,2026-01,CIPLA,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
7,2026-01,DRREDDY,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
8,2026-01,HINDUNILVR,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
9,2026-01,ICICIBANK,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
10,2026-01,INFY,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
11,2026-01,ITC,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
12,2026-01,KOTAKBANK,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
13,2026-01,LT,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
14,2026-01,MARUTI,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
15,2026-01,NESTLEIND,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
16,2026-01,NIFTYBEES,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
17,2026-01,ONGC,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
18,2026-01,RELIANCE,P1_clean_allowed,0,0,1,label_or_feature_design_only,0,standard_no_replay_guardrail,allowed for label/precommit design only; replay still closed
