forbidden_output,emitted_in_phase225,allowed_in_phase225,rationale
label_materialization,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
feature_materialization,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
model_fit,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
model_prediction,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
strategy_replay,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
broader_replay,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
test_replay_execution,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
test_result,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
promotion,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
paper_live_acceptance,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
order_arrival,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
fill_model,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
pnl_replay,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
profitability_claim,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
threshold_widening,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
row_level_prediction_export,0,0,"Phase225 precommits source/label/control contracts only and emits no materialized labels, fit, prediction, replay, test, order/fill, P&L, promotion, paper/live, threshold-widening, or profitability artifact."
