trade_date,symbol,parquet_files,bytes
2026-07-22,ADANIPORTS,1556,54350613
2026-07-22,AXISBANK,1563,54875804
2026-07-22,BAJAJ-AUTO,1562,55758909
2026-07-22,BANKBEES,1564,54549301
2026-07-22,BHARTIARTL,1562,54472801
2026-07-22,BPCL,1562,54348573
2026-07-22,BRITANNIA,1561,54059517
2026-07-22,CIPLA,1558,54244297
2026-07-22,DRREDDY,1563,54670142
2026-07-22,GOLDBEES,1564,54336697
2026-07-22,HCLTECH,1562,54201722
2026-07-22,HDFCBANK,1563,56023854
2026-07-22,HINDUNILVR,1563,54561554
2026-07-22,ICICIBANK,1562,55293269
2026-07-22,INFY,1563,55586087
2026-07-22,ITBEES,1561,53845403
2026-07-22,ITC,1563,55574496
2026-07-22,JUNIORBEES,1558,54862964
2026-07-22,KOTAKBANK,1563,54537459
2026-07-22,LT,1563,54616945
2026-07-22,M&M,1563,55409060
2026-07-22,MARUTI,1563,54901845
2026-07-22,NESTLEIND,1563,55483367
2026-07-22,NIFTYBEES,1561,54420680
2026-07-22,ONGC,1563,54633837
2026-07-22,RELIANCE,1563,55611479
2026-07-22,SBIN,1563,55165912
2026-07-22,SUNPHARMA,1562,54647881
2026-07-22,TCS,1563,54831882
2026-07-22,TECHM,1564,54387543
2026-07-22,ULTRACEMCO,1563,54418371
2026-07-22,WIPRO,1558,54049575
