phase288_variant_id,liquidity_family,pressure_column,side_mode,exit_horizon_ticks,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_sparse_diagnostic_rows,robust_portfolio_floor_above12_rows,sparse_floor_met_rows,robust_portfolio_floor_met_rows,min_annualized_pct,median_annualized_pct,max_annualized_pct,max_net_pnl_inr,best_scenario_id,best_initial_capital_inr,best_fixed_notional_inr,best_max_concurrent_positions,best_notional_turnover_x_initial_capital,best_avg_open_notional_utilization,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_live_mask,positive_but_below12,too_sparse_for_sparse_diagnostic,too_sparse_for_portfolio_claim,full_depth_positive_clue,same_pressure_route_exhausted_for_acceptance
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H10,exhaustion_reversal,depth_withdrawal_pressure,ORIG,10,12,109,4,0,0,0,0,0.3379895051067288,2.6406920002273946,5.391389753841644,171.15523028068714,P271_P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9908256880733946,49,96,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H10,exhaustion_reversal,depth_withdrawal_pressure,ORIG,10,12,87,4,0,0,0,0,0.3379895051067288,2.6406920002273946,5.391389753841644,171.15523028068714,P271_P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9885057471264368,42,76,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H10,exhaustion_reversal,depth_withdrawal_pressure,ORIG,10,12,65,4,0,0,0,0,0.3379895051067288,2.6406920002273946,5.391389753841644,171.15523028068714,P271_P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9846153846153848,31,56,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H10,exhaustion_reversal,depth_withdrawal_pressure,ORIG,10,12,44,4,0,0,0,0,0.3379895051067288,2.6406920002273946,5.391389753841644,171.15523028068714,P271_P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9772727272727272,18,41,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H8,exhaustion_reversal,depth_withdrawal_pressure,ORIG,8,12,109,4,0,0,0,0,-0.267877782590764,2.076246359598097,4.253121340128388,135.01972508344087,P271_P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9908256880733946,49,96,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H8,exhaustion_reversal,depth_withdrawal_pressure,ORIG,8,12,87,4,0,0,0,0,-0.267877782590764,2.076246359598097,4.253121340128388,135.01972508344087,P271_P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9885057471264368,42,76,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H8,exhaustion_reversal,depth_withdrawal_pressure,ORIG,8,12,65,4,0,0,0,0,-0.267877782590764,2.076246359598097,4.253121340128388,135.01972508344087,P271_P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9846153846153848,31,56,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H8,exhaustion_reversal,depth_withdrawal_pressure,ORIG,8,12,44,4,0,0,0,0,-0.267877782590764,2.076246359598097,4.253121340128388,135.01972508344087,P271_P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9772727272727272,18,41,1,1,0,0,1,1,1,1,1
P288_P288_REPLENISHMENT_ABSORPTION_Q50_ORIG_H10,replenishment_absorption,replenishment_dominance,ORIG,10,12,29,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734,P271_P288_P288_REPLENISHMENT_ABSORPTION_Q50_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9655172413793104,11,26,1,1,0,0,1,1,1,1,1
P288_P288_REPLENISHMENT_ABSORPTION_Q60_ORIG_H10,replenishment_absorption,replenishment_dominance,ORIG,10,12,23,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734,P271_P288_P288_REPLENISHMENT_ABSORPTION_Q60_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9565217391304348,9,20,1,1,0,0,1,1,1,1,1
P288_P288_REPLENISHMENT_ABSORPTION_Q70_ORIG_H10,replenishment_absorption,replenishment_dominance,ORIG,10,12,18,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734,P271_P288_P288_REPLENISHMENT_ABSORPTION_Q70_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9444444444444444,5,17,1,1,0,0,1,1,1,1,1
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H10,spread_compression_pressure,replenishment_dominance,ORIG,10,12,38,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734,P271_P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9736842105263158,16,34,1,1,0,0,1,1,1,1,1
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H10,spread_compression_pressure,replenishment_dominance,ORIG,10,12,30,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734,P271_P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9666666666666668,11,27,1,1,0,0,1,1,1,1,1
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H10,spread_compression_pressure,replenishment_dominance,ORIG,10,12,23,4,0,0,0,0,0.9852273855680864,1.579105309305292,3.9409095422723457,125.10823943721734,P271_P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9565217391304348,9,20,1,1,0,0,1,1,1,1,1
P288_P288_REPLENISHMENT_ABSORPTION_Q50_ORIG_H8,replenishment_absorption,replenishment_dominance,ORIG,8,12,29,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966,P271_P288_P288_REPLENISHMENT_ABSORPTION_Q50_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9655172413793104,11,26,1,1,0,0,1,1,1,1,1
P288_P288_REPLENISHMENT_ABSORPTION_Q60_ORIG_H8,replenishment_absorption,replenishment_dominance,ORIG,8,12,23,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966,P271_P288_P288_REPLENISHMENT_ABSORPTION_Q60_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9565217391304348,9,20,1,1,0,0,1,1,1,1,1
P288_P288_REPLENISHMENT_ABSORPTION_Q70_ORIG_H8,replenishment_absorption,replenishment_dominance,ORIG,8,12,18,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966,P271_P288_P288_REPLENISHMENT_ABSORPTION_Q70_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9444444444444444,5,17,1,1,0,0,1,1,1,1,1
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H8,spread_compression_pressure,replenishment_dominance,ORIG,8,12,38,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966,P271_P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9736842105263158,16,34,1,1,0,0,1,1,1,1,1
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H8,spread_compression_pressure,replenishment_dominance,ORIG,8,12,30,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966,P271_P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9666666666666668,11,27,1,1,0,0,1,1,1,1,1
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H8,spread_compression_pressure,replenishment_dominance,ORIG,8,12,23,4,0,0,0,0,0.5124412745139034,1.0620749055308638,2.9749368001430594,94.44243809977966,P271_P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9565217391304348,9,20,1,1,0,0,1,1,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H10,pressure_continuation,abs_consensus_imbalance,ORIG,10,12,111,6,0,0,0,0,0.6565108685023322,1.365633703393169,2.626043474009329,83.36645949235964,P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.981981981981982,28,103,1,1,0,0,1,1,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H10,pressure_continuation,abs_consensus_imbalance,ORIG,10,12,89,6,0,0,0,0,0.6565108685023322,1.365633703393169,2.626043474009329,83.36645949235964,P271_P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9775280898876404,23,81,1,1,0,0,1,1,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H10,pressure_continuation,abs_consensus_imbalance,ORIG,10,12,67,5,0,0,0,0,0.6565108685023322,1.3211225762657266,2.626043474009329,83.36645949235964,P271_P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9701492537313432,17,61,1,1,0,0,1,1,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H10,pressure_continuation,abs_consensus_imbalance,ORIG,10,12,45,5,0,0,0,0,0.1790382220748388,1.0142657874562866,2.626043474009329,83.36645949235964,P271_P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9555555555555556,12,39,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H5,exhaustion_reversal,depth_withdrawal_pressure,ORIG,5,12,109,5,0,0,0,0,-0.775709096611245,1.0747366932221158,2.2334639325641903,70.9036169067997,P271_P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9908256880733946,48,96,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H5,exhaustion_reversal,depth_withdrawal_pressure,ORIG,5,12,87,5,0,0,0,0,-0.775709096611245,1.0747366932221158,2.2334639325641903,70.9036169067997,P271_P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9885057471264368,41,76,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H5,exhaustion_reversal,depth_withdrawal_pressure,ORIG,5,12,65,5,0,0,0,0,-0.775709096611245,1.0747366932221158,2.2334639325641903,70.9036169067997,P271_P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9846153846153848,30,56,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H5,exhaustion_reversal,depth_withdrawal_pressure,ORIG,5,12,44,5,0,0,0,0,-0.775709096611245,1.0747366932221158,2.2334639325641903,70.9036169067997,P271_P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9772727272727272,17,41,1,1,0,0,1,1,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H8,pressure_continuation,abs_consensus_imbalance,ORIG,8,12,111,8,0,0,4,0,0.1563996986605053,0.7675861321486197,1.360171188504337,43.18003773029641,P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H8_CAP100000_NOT25000_CONC4_COST200,100000.0,25000.0,4,2.0,0.8558558558558559,26,103,1,1,0,0,1,0,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H8,pressure_continuation,abs_consensus_imbalance,ORIG,8,12,89,8,0,0,4,0,0.1563996986605053,0.7675861321486197,1.360171188504337,43.18003773029641,P271_P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H8_CAP100000_NOT25000_CONC4_COST200,100000.0,25000.0,4,2.0,0.848314606741573,21,81,1,1,0,0,1,0,1,1,1
P288_P288_REPLENISHMENT_ABSORPTION_Q50_ORIG_H5,replenishment_absorption,replenishment_dominance,ORIG,5,12,29,4,0,0,0,0,-0.6857858424684748,0.0004081210194144,1.2609878047719432,40.03135888164898,P271_P288_P288_REPLENISHMENT_ABSORPTION_Q50_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9655172413793104,11,26,1,1,0,0,1,1,1,1,1
P288_P288_REPLENISHMENT_ABSORPTION_Q60_ORIG_H5,replenishment_absorption,replenishment_dominance,ORIG,5,12,23,4,0,0,0,0,-0.6857858424684748,0.0004081210194144,1.2609878047719432,40.03135888164898,P271_P288_P288_REPLENISHMENT_ABSORPTION_Q60_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9565217391304348,9,20,1,1,0,0,1,1,1,1,1
P288_P288_REPLENISHMENT_ABSORPTION_Q70_ORIG_H5,replenishment_absorption,replenishment_dominance,ORIG,5,12,18,4,0,0,0,0,-0.6857858424684748,0.0004081210194144,1.2609878047719432,40.03135888164898,P271_P288_P288_REPLENISHMENT_ABSORPTION_Q70_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9444444444444444,5,17,1,1,0,0,1,1,1,1,1
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H5,spread_compression_pressure,replenishment_dominance,ORIG,5,12,38,4,0,0,0,0,-0.6857858424684748,0.0004081210194144,1.2609878047719432,40.03135888164898,P271_P288_P288_SPREAD_COMPRESSION_PRESSURE_Q50_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9736842105263158,16,34,1,1,0,0,1,1,1,1,1
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H5,spread_compression_pressure,replenishment_dominance,ORIG,5,12,30,4,0,0,0,0,-0.6857858424684748,0.0004081210194144,1.2609878047719432,40.03135888164898,P271_P288_P288_SPREAD_COMPRESSION_PRESSURE_Q60_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9666666666666668,11,27,1,1,0,0,1,1,1,1,1
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H5,spread_compression_pressure,replenishment_dominance,ORIG,5,12,23,4,0,0,0,0,-0.6857858424684748,0.0004081210194144,1.2609878047719432,40.03135888164898,P271_P288_P288_SPREAD_COMPRESSION_PRESSURE_Q70_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9565217391304348,9,20,1,1,0,0,1,1,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H8,pressure_continuation,abs_consensus_imbalance,ORIG,8,12,67,5,0,0,0,0,0.2222039077403778,0.4830952613796135,1.2281378114377914,38.98850195040608,P271_P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9701492537313432,17,61,1,1,0,0,1,1,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H8,pressure_continuation,abs_consensus_imbalance,ORIG,8,12,45,5,0,0,0,0,-0.5330065114639982,0.3757211341701018,1.2281378114377914,38.98850195040608,P271_P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H8_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,2.0,0.9555555555555556,12,39,1,1,0,0,1,1,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H5,pressure_continuation,abs_consensus_imbalance,ORIG,5,12,111,10,0,0,4,0,-1.862725474924634,-1.536935463727411,0.9551907644312716,30.32351633115148,P271_P288_P288_PRESSURE_CONTINUATION_Q50_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,3.0,0.972972972972973,24,101,1,1,0,0,1,0,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H5,pressure_continuation,abs_consensus_imbalance,ORIG,5,12,89,10,0,0,4,0,-1.862725474924634,-1.536935463727411,0.9551907644312716,30.32351633115148,P271_P288_P288_PRESSURE_CONTINUATION_Q60_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,3.0,0.9662921348314608,19,79,1,1,0,0,1,0,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H5,pressure_continuation,abs_consensus_imbalance,ORIG,5,12,67,8,0,0,4,0,-1.862725474924634,-1.7247746347731736,0.9551907644312716,30.32351633115148,P271_P288_P288_PRESSURE_CONTINUATION_Q70_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,3.0,0.9552238805970148,14,59,1,1,0,0,1,0,1,1,1
P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H5,pressure_continuation,abs_consensus_imbalance,ORIG,5,12,45,7,0,0,0,0,-1.6806945556966773,-0.1894297044061295,0.9551907644312716,30.32351633115148,P271_P288_P288_PRESSURE_CONTINUATION_Q80_ORIG_H5_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,3.0,0.9333333333333332,10,37,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H3,exhaustion_reversal,depth_withdrawal_pressure,ORIG,3,12,109,6,0,0,0,0,-2.0125082807472605,0.27758344952677255,0.5953239748825545,18.89917380579538,P271_P288_P288_EXHAUSTION_REVERSAL_Q50_ORIG_H3_CAP100000_NOT75000_CONC2_COST200,100000.0,75000.0,2,1.5,0.926605504587156,47,96,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H3,exhaustion_reversal,depth_withdrawal_pressure,ORIG,3,12,87,5,0,0,0,0,-2.122499161099608,0.2225880093505988,0.5150098232245358,16.34951819760431,P271_P288_P288_EXHAUSTION_REVERSAL_Q60_ORIG_H3_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9885057471264368,41,76,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H3,exhaustion_reversal,depth_withdrawal_pressure,ORIG,3,12,65,5,0,0,0,0,-2.122499161099608,0.2225880093505988,0.5150098232245358,16.34951819760431,P271_P288_P288_EXHAUSTION_REVERSAL_Q70_ORIG_H3_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9846153846153848,30,56,1,1,0,0,1,1,1,1,1
P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H3,exhaustion_reversal,depth_withdrawal_pressure,ORIG,3,12,44,5,0,0,0,0,-2.122499161099608,0.2225880093505988,0.5150098232245358,16.34951819760431,P271_P288_P288_EXHAUSTION_REVERSAL_Q80_ORIG_H3_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9772727272727272,17,41,1,1,0,0,1,1,1,1,1
P288_P288_REPLENISHMENT_ABSORPTION_Q80_ORIG_H10,replenishment_absorption,replenishment_dominance,ORIG,10,12,12,4,0,0,0,0,0.035564506690278,0.3128764765355996,0.5006023624569594,11.919103868022844,P271_P288_P288_REPLENISHMENT_ABSORPTION_Q80_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9166666666666666,3,10,1,1,0,0,1,1,1,1,1
P288_P288_LIQUIDITY_VACUUM_Q50_ORIG_H10,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,10,12,73,4,0,0,0,0,-0.9962137210149684,0.16935727430600575,0.434235567391564,13.785256107668696,P271_P288_P288_LIQUIDITY_VACUUM_Q50_ORIG_H10_CAP100000_NOT75000_CONC2_COST200,100000.0,75000.0,2,1.0,0.8698630136986302,42,56,1,1,0,0,1,1,1,1,1
P288_P288_LIQUIDITY_VACUUM_Q60_ORIG_H10,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,10,12,58,4,0,0,0,0,-0.9962137210149684,0.16935727430600575,0.434235567391564,13.785256107668696,P271_P288_P288_LIQUIDITY_VACUUM_Q60_ORIG_H10_CAP100000_NOT75000_CONC2_COST200,100000.0,75000.0,2,1.0,0.8793103448275862,29,46,1,1,0,0,1,1,1,1,1
P288_P288_LIQUIDITY_VACUUM_Q70_ORIG_H10,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,10,12,44,4,0,0,0,0,-0.9962137210149684,0.16935727430600575,0.434235567391564,13.785256107668696,P271_P288_P288_LIQUIDITY_VACUUM_Q70_ORIG_H10_CAP100000_NOT75000_CONC2_COST200,100000.0,75000.0,2,1.0,0.875,24,35,1,1,0,0,1,1,1,1,1
P288_P288_LIQUIDITY_VACUUM_Q80_ORIG_H10,liquidity_vacuum,liquidity_vacuum_pressure,ORIG,10,12,29,4,0,0,0,0,-0.9962137210149684,0.16935727430600575,0.434235567391564,13.785256107668696,P271_P288_P288_LIQUIDITY_VACUUM_Q80_ORIG_H10_CAP100000_NOT75000_CONC2_COST200,100000.0,75000.0,2,1.0,0.8620689655172413,16,23,1,1,0,0,1,1,1,1,1
P288_P288_SPREAD_COMPRESSION_PRESSURE_Q80_ORIG_H10,spread_compression_pressure,replenishment_dominance,ORIG,10,12,15,4,0,0,0,0,0.0304838628773811,0.26817983703051396,0.4290877392488224,11.919103868022844,P271_P288_P288_SPREAD_COMPRESSION_PRESSURE_Q80_ORIG_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9333333333333332,5,13,1,1,0,0,1,1,1,1,1
P288_P288_OPEN_PRESSURE_BURST_Q50_INV_H10,open_pressure_burst,top5_churn_pressure,INV,10,12,55,4,0,0,0,0,-4.084872592085576,-3.728684722961895,0.3503270144019629,11.121492520697238,P271_P288_P288_OPEN_PRESSURE_BURST_Q50_INV_H10_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1.0,0.9818181818181818,10,54,1,1,0,0,1,1,1,1,1
