gate_id,passed,observed_value,required_value,severity
P319_PHASE318_COMPLETE,True,1,1,hard
P319_PHASE318_JOIN_BREADTH_OK,True,events=10;symbols=32,>=10_events_x_32_symbols,hard
P319_PHASE318_DEPTH_OK,True,28350310,all_joined_rows,hard
P319_FEATURE_CATALOG_NONEMPTY,True,22,>0,hard
P319_DEPTH_BEYOND_L1_FEATURES_PRESENT,True,13,>=8,hard
P319_TARGET_COLUMNS_SEPARATED,True,5,>=5,hard
P319_CONTRACT_ROWS_PRESENT,True,13,>=13,hard
P319_WORK_ORDER_ROWS_PRESENT,True,6,>=6,hard
P319_NO_STRATEGY_SEARCH_OPENED,True,strategy_search_allowed_now=0,0,hard
P319_BOUNDARIES_CLOSED,True,replay=0;promotion=0;paper=0;claim=0,all_zero,hard
