trade_date,symbol,parquet_files,bytes
2026-07-24,ADANIPORTS,1564,54621941
2026-07-24,AXISBANK,1566,55049591
2026-07-24,BAJAJ-AUTO,1566,55064449
2026-07-24,BANKBEES,1566,55082301
2026-07-24,BHARTIARTL,1565,54693012
2026-07-24,BPCL,1565,54187508
2026-07-24,BRITANNIA,1566,54135974
2026-07-24,CIPLA,1566,54930195
2026-07-24,DRREDDY,1566,55172323
2026-07-24,GOLDBEES,1565,54521242
2026-07-24,HCLTECH,1566,55067580
2026-07-24,HDFCBANK,1566,56198260
2026-07-24,HINDUNILVR,1566,54682813
2026-07-24,ICICIBANK,1566,55460738
2026-07-24,INFY,1565,56799198
2026-07-24,ITBEES,1566,54082215
2026-07-24,ITC,1566,55855390
2026-07-24,JUNIORBEES,1565,55052711
2026-07-24,KOTAKBANK,1566,54391073
2026-07-24,LT,1566,55099819
2026-07-24,M&M,1566,55599924
2026-07-24,MARUTI,1566,55084717
2026-07-24,NESTLEIND,1565,54492114
2026-07-24,NIFTYBEES,1565,54803076
2026-07-24,ONGC,1566,54418427
2026-07-24,RELIANCE,1565,55328408
2026-07-24,SBIN,1565,55588537
2026-07-24,SUNPHARMA,1565,54442605
2026-07-24,TCS,1565,55738749
2026-07-24,TECHM,1566,54582291
2026-07-24,ULTRACEMCO,1566,54444164
2026-07-24,WIPRO,1564,54820655
