model_id,execution_profile,trades,mean_net_return,best_peer_partial_strategy_mean_net_return,lift_vs_best_peer_partial_strategy,positive_after_costs,beats_peer_proxy,enough_trades_for_proxy_candidate
S03,retail_marketable_default,7424,-0.0009650006325024643,-0.0010067811441615091,4.178051165904483e-05,False,True,True
S03,stressed_retail,7452,-0.0011419744348798507,-0.0012055452890491823,6.357085416933161e-05,False,True,True
S03,zero_latency_spread_only_control,7593,-7.908035077265789e-05,-8.448318988038741e-05,5.402839107729521e-06,False,True,True
S04,retail_marketable_default,36920,-0.0010067811441615091,-0.0009650006325024643,-4.178051165904483e-05,False,False,True
S04,stressed_retail,37253,-0.0012055452890491823,-0.0011419744348798507,-6.357085416933161e-05,False,False,True
S04,zero_latency_spread_only_control,38481,-8.448318988038741e-05,-7.908035077265789e-05,-5.402839107729521e-06,False,False,True
S06,retail_marketable_default,68476,-0.0010430849658006895,-0.0009650006325024643,-7.808433329822525e-05,False,False,True
S06,stressed_retail,69008,-0.0012522164850737117,-0.0011419744348798507,-0.00011024205019386098,False,False,True
S06,zero_latency_spread_only_control,71244,-0.00010903796570191814,-7.908035077265789e-05,-2.9957614929260247e-05,False,False,True
S08,retail_marketable_default,132924,-0.0010570744789393182,-0.0009650006325024643,-9.20738464368539e-05,False,False,True
S08,stressed_retail,132860,-0.0012664866787724482,-0.0011419744348798507,-0.00012451224389259754,False,False,True
S08,zero_latency_spread_only_control,132988,-0.00012140034676016425,-7.908035077265789e-05,-4.231999598750636e-05,False,False,True
