symbol,strategy_id,transition_type,side,shard_symbol_label_rows,symbols,trade_dates,signal_rows,mean_gross_bps,median_gross_bps,mean_after_cost_bps,mean_cost_clearing_rate,mean_adverse_direction_rate,worst_gross_bps,best_gross_bps,mean_spread_bps,mean_spread_change_bps,mean_abs_recent_return_bps,mean_cost_bps,label_candidate
GOLDBEES,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,1,1,1,1150,0.0,-0.0,-10.030543656207985,0.0,1.0,-0.0,-0.0,0.841615770805326,0.0025569043498449807,30.24173744831141,10.030543656207985,False
GOLDBEES,P69_SPREAD_TRANSITION_FADE,expansion,1,1,1,1,1150,0.0,0.0,-10.030543656207998,0.0,1.0,0.0,0.0,0.8416157708053266,0.0025569043498449803,30.241737448311426,10.030543656207998,False
GOLDBEES,P69_SPREAD_TRANSITION_FADE,compression,-1,1,1,1,2100,0.0,-0.0,-10.031845189566056,0.0,1.0,-0.0,-0.0,0.8424834597107148,-0.0017133220710725432,20.32196448889248,10.031845189566056,False
GOLDBEES,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,1,1,1,2100,0.0,0.0,-10.031845189566061,0.0,1.0,0.0,0.0,0.8424834597107195,-0.0017133220710725406,20.32196448889251,10.031845189566061,False
HDFCBANK,P69_SPREAD_TRANSITION_FADE,expansion,1,2,1,1,1500,0.0,0.0,-10.558502571679306,0.0,1.0,0.0,0.0,1.1935883811195371,0.003194130878291524,26.54628904860336,10.558502571679306,False
HDFCBANK,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,2,1,1,1500,0.0,-0.0,-10.558502571679307,0.0,1.0,-0.0,-0.0,1.1935883811195394,0.0031941308782915206,26.54628904860332,10.558502571679307,False
HDFCBANK,P69_SPREAD_TRANSITION_FADE,compression,-1,2,1,1,2600,0.0,-0.0,-10.559130751340916,0.0,1.0,-0.0,-0.0,1.1940071675606259,-0.0023797415107163224,19.90534745863247,10.559130751340916,False
HDFCBANK,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,2,1,1,2600,0.0,0.0,-10.559130751340922,0.0,1.0,0.0,0.0,1.1940071675606272,-0.0023797415107163255,19.90534745863253,10.559130751340922,False
M&M,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,2,1,1,1750,0.0,-0.0,-10.635268323380334,0.0,1.0,-0.0,-0.0,1.2447655489202356,0.0025552260737416632,20.456155195214464,10.635268323380334,False
M&M,P69_SPREAD_TRANSITION_FADE,expansion,1,2,1,1,1750,0.0,0.0,-10.635268323380345,0.0,1.0,0.0,0.0,1.2447655489202343,0.002555226073741663,20.456155195214453,10.635268323380345,False
M&M,P69_SPREAD_TRANSITION_FADE,compression,-1,2,1,1,2650,0.0,-0.0,-10.641696178811541,0.0,1.0,-0.0,-0.0,1.2490507858743787,-0.0021901662900786077,17.566223690327092,10.641696178811541,False
M&M,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,2,1,1,2650,0.0,0.0,-10.641696178811568,0.0,1.0,0.0,0.0,1.2490507858743807,-0.0021901662900786073,17.566223690327075,10.641696178811568,False
LT,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,2,1,1,1650,0.0,-0.0,-10.653835475170787,0.0,1.0,-0.0,-0.0,1.2571436501138735,0.003266906264697588,25.969565002217266,10.653835475170787,False
LT,P69_SPREAD_TRANSITION_FADE,expansion,1,2,1,1,1650,0.0,0.0,-10.653835475170801,0.0,1.0,0.0,0.0,1.257143650113873,0.003266906264697581,25.969565002217294,10.653835475170801,False
LT,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,2,1,1,2750,0.0,0.0,-10.661694905579088,0.0,1.0,0.0,0.0,1.2623832703860591,-0.002402711132334869,19.142871459870438,10.661694905579088,False
LT,P69_SPREAD_TRANSITION_FADE,compression,-1,2,1,1,2750,0.0,-0.0,-10.661694905579097,0.0,1.0,-0.0,-0.0,1.2623832703860596,-0.002402711132334865,19.142871459870467,10.661694905579097,False
ICICIBANK,P69_SPREAD_TRANSITION_FADE,expansion,1,2,1,1,2050,0.0,0.0,-10.858975441754342,0.0,1.0,0.0,0.0,1.39390362783622,0.0030545069698023745,21.80864654509185,10.858975441754342,False
ICICIBANK,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,2,1,1,2050,0.0,-0.0,-10.858975441754342,0.0,1.0,-0.0,-0.0,1.39390362783622,0.0030545069698023745,21.80864654509185,10.858975441754342,False
ICICIBANK,P69_SPREAD_TRANSITION_FADE,compression,-1,2,1,1,3100,0.0,-0.0,-10.864496271842038,0.0,1.0,-0.0,-0.0,1.3975841812280145,-0.002473074101461272,17.70738661197022,10.864496271842038,False
ICICIBANK,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,2,1,1,3100,0.0,0.0,-10.864496271842038,0.0,1.0,0.0,0.0,1.3975841812280145,-0.002473074101461272,17.70738661197022,10.864496271842038,False
NIFTYBEES,P69_SPREAD_TRANSITION_FADE,compression,-1,2,1,1,2250,0.0,-0.0,-10.91930930003938,0.0,1.0,-0.0,-0.0,1.4341262000262311,-0.0024411888354515634,17.034449876929738,10.91930930003938,False
NIFTYBEES,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,2,1,1,2250,0.0,0.0,-10.919309300039409,0.0,1.0,0.0,0.0,1.4341262000262414,-0.002441188835451561,17.034449876929724,10.919309300039409,False
NIFTYBEES,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,2,1,1,1650,0.0,-0.0,-10.923387408209162,0.0,1.0,-0.0,-0.0,1.4368449388061098,0.0032715601866799473,22.72056951094178,10.923387408209162,False
NIFTYBEES,P69_SPREAD_TRANSITION_FADE,expansion,1,2,1,1,1650,0.0,0.0,-10.92338740820919,0.0,1.0,0.0,0.0,1.436844938806109,0.0032715601866799625,22.7205695109419,10.92338740820919,False
AXISBANK,P69_SPREAD_TRANSITION_FADE,compression,-1,2,1,1,2800,0.0,-0.0,-10.993902695264982,0.0,1.0,-0.0,-0.0,1.4838551301766691,-0.002856269605251292,19.253548414634018,10.993902695264982,False
