shard_index,trade_date,symbol,strategy_id,transition_type,side,spread_bucket,spread_change_bucket,recent_return_bucket,signal_rows,mean_gross_bps,median_gross_bps,mean_after_cost_bps,cost_clearing_rate,adverse_direction_rate,worst_gross_bps,best_gross_bps,mean_spread_bps,mean_spread_change_bps,mean_abs_recent_return_bps,mean_cost_bps
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,650,0.0,-0.0,-12.01426252851463,0.0,1.0,-0.0,-0.0,2.164095019009784,0.001554943330806174,7.189602660190576,12.01426252851463
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,500,0.0,-0.0,-12.015572308112077,0.0,1.0,-0.0,-0.0,2.1649682054080666,-0.0016428320735438096,7.585554264849745,12.015572308112077
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_FADE,expansion,1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,650,0.0,0.0,-12.014262528514656,0.0,1.0,0.0,0.0,2.164095019009783,0.001554943330806174,7.189602660190568,12.014262528514656
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,500,0.0,0.0,-12.015572308112082,0.0,1.0,0.0,0.0,2.1649682054080706,-0.0016428320735438096,7.585554264849745,12.015572308112082
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,2500,0.0,0.0,-12.011555524058648,0.0,1.0,0.0,0.0,2.1622903493724897,-0.006462721929053837,29.875309718629055,12.011555524058648
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_MOMENTUM,expansion,-1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,1700,0.0,-0.0,-12.020594155367032,0.0,1.0,-0.0,-0.0,2.1683161035780985,0.0083402965347552,38.20968922894992,12.020594155367032
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R02_2p5_5bp,100,0.0,0.0,-12.036113552687361,0.0,1.0,0.0,0.0,2.178662368458224,-0.0010686831450847922,4.9043948661065,12.036113552687361
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R02_2p5_5bp,100,0.0,-0.0,-12.036113552687338,0.0,1.0,-0.0,-0.0,2.1786623684582183,-0.0010686831450847922,4.904394866106499,12.036113552687338
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_FADE,compression,-1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,2500,0.0,-0.0,-12.01155552405876,0.0,1.0,-0.0,-0.0,2.162290349372503,-0.006462721929053813,29.875309718629072,12.01155552405876
1,2026-01-01,ADANIPORTS,P69_SPREAD_TRANSITION_FADE,expansion,1,S02_1_2p5bp,C01_lt_1bp,R04_ge_10bp,1700,0.0,0.0,-12.02059415536709,0.0,1.0,0.0,0.0,2.1683161035780825,0.008340296534755199,38.20968922894982,12.02059415536709
2,2026-01-01,AXISBANK,P69_SPREAD_TRANSITION_MOMENTUM,compression,1,S02_1_2p5bp,C01_lt_1bp,R03_5_10bp,450,0.0,0.0,-10.9936237128733,0.0,1.0,0.0,0.0,1.4836691419155306,-0.0012842810147638427,8.659052886391306,10.9936237128733
