family_id,signal_formula,required_live_feature_columns,target_columns,uses_depth_beyond_l1,description
P321_DEPTH_PRESSURE_CONTINUATION,sign(event_depth_l2_l5_pressure),event_depth_l2_l5_pressure,target_post_300s_mid_return_bps;target_post_900s_mid_return_bps,1,Follow depth-beyond-L1 pressure after catalyst events.
P321_DEPTH_PRESSURE_REVERSAL,-sign(event_depth_l2_l5_pressure),event_depth_l2_l5_pressure,target_post_300s_mid_return_bps;target_post_900s_mid_return_bps,1,Fade depth-beyond-L1 pressure after catalyst events.
P321_DEPTH_ACCEL_CONTINUATION,sign(event_depth_l2_l5_pressure - pre300_depth_l2_l5_pressure_avg),event_depth_l2_l5_pressure;pre300_depth_l2_l5_pressure_avg,target_post_300s_mid_return_bps;target_post_900s_mid_return_bps,1,Follow event-time acceleration versus pre-event depth-beyond-L1 pressure.
P321_DEPTH_ACCEL_REVERSAL,-sign(event_depth_l2_l5_pressure - pre300_depth_l2_l5_pressure_avg),event_depth_l2_l5_pressure;pre300_depth_l2_l5_pressure_avg,target_post_300s_mid_return_bps;target_post_900s_mid_return_bps,1,Fade event-time acceleration versus pre-event depth-beyond-L1 pressure.
P321_QTY_IMBALANCE_CONTINUATION,sign(event_depth_l2_l5_qty_imbalance),event_depth_l2_l5_qty_imbalance,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Follow depth levels 2-5 quantity imbalance.
P321_QTY_IMBALANCE_REVERSAL,-sign(event_depth_l2_l5_qty_imbalance),event_depth_l2_l5_qty_imbalance,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Fade depth levels 2-5 quantity imbalance.
P321_ORDER_IMBALANCE_CONTINUATION,sign(event_depth_l2_l5_order_imbalance),event_depth_l2_l5_order_imbalance,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Follow order-count imbalance across depth levels 2-5.
P321_ORDER_IMBALANCE_REVERSAL,-sign(event_depth_l2_l5_order_imbalance),event_depth_l2_l5_order_imbalance,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Fade order-count imbalance across depth levels 2-5.
P321_MICROPRICE_DEPTH_CONFIRM,sign(pre300_microprice_minus_mid_avg) when same sign as event_depth_l2_l5_qty_imbalance,pre300_microprice_minus_mid_avg;event_depth_l2_l5_qty_imbalance,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Require top-of-book microprice and depth-beyond-L1 quantity imbalance to agree.
P321_DEPTH_PRESSURE_TARGET_SHIFT,sign(pre300_depth_l2_l5_pressure_avg),pre300_depth_l2_l5_pressure_avg,target_post_300s_depth_pressure_shift,1,Use pre-event depth pressure to predict subsequent liquidity-pressure shift.
