scenario_id,scope_id,scope_candidate_id,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,cost_profile,cost_multiplier,extra_slippage_bps,input_event_rows,scheduled_event_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,realized_net_pnl_inr,portfolio_return_pct,mechanical_one_date_annualized_portfolio_return_pct,annualized_return_is_robust_portfolio_claim,annualized_above_12pct_research_diagnostic,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,portfolio_claim_allowed,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,phase277_variant_id,redesign_family,feature_rule,threshold_quantile,threshold_value,uses_top5,uses_levels_2_to_5,l1_only_variant,selected_event_rows,cost200_above12_diagnostic
P271_P277_BASE_ALL_COST200_EVENTS_CAP100000_NOT50000_CONC1_COST200,P277_BASE_ALL_COST200_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,1,cost200,2.0,0.0,1280,2,1278,76,1202,0,2,1,7,2,8,-223.17091811189684,-0.22317091811189685,-7.0298839205247505,1,0,100000.0,1.0,0.49921875,-223.17091811189684,0,0,0,0,0,P277_BASE_ALL_COST200_EVENTS,baseline,all cost200 anchor events,,,1,1,0,1280,0
P271_P277_BASE_ALL_COST200_EVENTS_CAP100000_NOT50000_CONC2_COST200,P277_BASE_ALL_COST200_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,2,cost200,2.0,0.0,1280,4,1276,104,1172,0,2,1,7,2,8,-88.20640748517748,-0.08820640748517747,-2.77850183578309,1,0,200000.0,2.0,0.98828125,-223.64823094152825,0,0,0,0,0,P277_BASE_ALL_COST200_EVENTS,baseline,all cost200 anchor events,,,1,1,0,1280,0
P271_P277_BASE_ALL_COST200_EVENTS_CAP100000_NOT75000_CONC1_COST200,P277_BASE_ALL_COST200_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,1,cost200,2.0,0.0,1280,2,1278,76,1202,0,2,1,7,2,8,-334.75637716784524,-0.33475637716784523,-10.544825880787124,1,0,150000.0,1.5,0.748828125,-334.75637716784524,0,0,0,0,0,P277_BASE_ALL_COST200_EVENTS,baseline,all cost200 anchor events,,,1,1,0,1280,0
P271_P277_BASE_ALL_COST200_EVENTS_CAP100000_NOT75000_CONC2_COST200,P277_BASE_ALL_COST200_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,2,cost200,2.0,0.0,1280,4,1276,104,1172,0,2,1,7,2,8,-88.20640748517748,-0.08820640748517747,-2.77850183578309,1,0,200000.0,2.0,0.98828125,-223.64823094152825,0,0,0,0,0,P277_BASE_ALL_COST200_EVENTS,baseline,all cost200 anchor events,,,1,1,0,1280,0
P271_P277_BASE_ALL_COST200_EVENTS_CAP100000_NOT100000_CONC1_COST200,P277_BASE_ALL_COST200_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,100000.0,1,cost200,2.0,0.0,1280,2,1278,76,1202,0,2,1,7,2,8,-446.3418362237937,-0.4463418362237937,-14.059767841049501,1,0,200000.0,2.0,0.9984375,-446.3418362237937,0,0,0,0,0,P277_BASE_ALL_COST200_EVENTS,baseline,all cost200 anchor events,,,1,1,0,1280,0
P271_P277_BASE_ALL_COST200_EVENTS_CAP100000_NOT100000_CONC2_COST200,P277_BASE_ALL_COST200_EVENTS,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,100000.0,2,cost200,2.0,0.0,1280,4,1276,104,1172,0,2,1,7,2,8,-88.20640748517748,-0.08820640748517747,-2.77850183578309,1,0,200000.0,2.0,0.98828125,-223.64823094152825,0,0,0,0,0,P277_BASE_ALL_COST200_EVENTS,baseline,all cost200 anchor events,,,1,1,0,1280,0
P271_P277_TOP5_IMBALANCE_GE_Q50_CAP100000_NOT50000_CONC1_COST200,P277_TOP5_IMBALANCE_GE_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,1,cost200,2.0,0.0,640,2,638,59,579,0,2,1,5,2,8,-216.12468694561116,-0.21612468694561116,-6.807927638786752,1,0,100000.0,1.0,0.4984375,-221.0144656417756,0,0,0,0,0,P277_TOP5_IMBALANCE_GE_Q50,top5_imbalance,avg_cum_top5_qty_imbalance >= 0.568664,0.5,0.5686642494191729,1,0,0,640,0
P271_P277_TOP5_IMBALANCE_GE_Q50_CAP100000_NOT50000_CONC2_COST200,P277_TOP5_IMBALANCE_GE_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,50000.0,2,cost200,2.0,0.0,640,4,636,72,564,0,2,2,5,3,8,-238.71168903891106,-0.23871168903891105,-7.519418204725698,1,0,200000.0,2.0,0.9703125,-243.6014677350755,0,0,0,0,0,P277_TOP5_IMBALANCE_GE_Q50,top5_imbalance,avg_cum_top5_qty_imbalance >= 0.568664,0.5,0.5686642494191729,1,0,0,640,0
P271_P277_TOP5_IMBALANCE_GE_Q50_CAP100000_NOT75000_CONC1_COST200,P277_TOP5_IMBALANCE_GE_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,1,cost200,2.0,0.0,640,2,638,59,579,0,2,1,5,2,8,-324.1870304184167,-0.32418703041841673,-10.211891458180126,1,0,150000.0,1.5,0.74765625,-331.5216984626634,0,0,0,0,0,P277_TOP5_IMBALANCE_GE_Q50,top5_imbalance,avg_cum_top5_qty_imbalance >= 0.568664,0.5,0.5686642494191729,1,0,0,640,0
P271_P277_TOP5_IMBALANCE_GE_Q50_CAP100000_NOT75000_CONC2_COST200,P277_TOP5_IMBALANCE_GE_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,75000.0,2,cost200,2.0,0.0,640,4,636,72,564,0,2,2,5,3,8,-238.71168903891106,-0.23871168903891105,-7.519418204725698,1,0,200000.0,2.0,0.9703125,-243.6014677350755,0,0,0,0,0,P277_TOP5_IMBALANCE_GE_Q50,top5_imbalance,avg_cum_top5_qty_imbalance >= 0.568664,0.5,0.5686642494191729,1,0,0,640,0
P271_P277_TOP5_IMBALANCE_GE_Q50_CAP100000_NOT100000_CONC1_COST200,P277_TOP5_IMBALANCE_GE_Q50,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION;P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,100000.0,100000.0,1,cost200,2.0,0.0,640,2,638,59,579,0,2,1,5,2,8,-432.2493738912223,-0.4322493738912223,-13.615855277573504,1,0,200000.0,2.0,0.996875,-442.0289312835512,0,0,0,0,0,P277_TOP5_IMBALANCE_GE_Q50,top5_imbalance,avg_cum_top5_qty_imbalance >= 0.568664,0.5,0.5686642494191729,1,0,0,640,0
