shard_index,trade_date,symbol,strategy_id,side,spread_bucket,imbalance_bucket,candidate_orders,inferred_touches,mean_gross_bps_if_touched,median_gross_bps_if_touched,adverse_selection_rate,cost_clearing_rate,mean_after_cost_bps_if_touched,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance
4,2026-01-01,BANKBEES,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I01_0p30_0p40,243948,2250,-16.12669853834241,-12.75730664449859,1.0,0.0,-24.394818538342395,-103.34657865822882,-0.24621041141759115,3.458606426097728,0.3282948672549819
4,2026-01-01,BANKBEES,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I01_0p30_0p40,243948,3500,-11.770886810569376,-8.634454048285779,1.0,0.0,-20.039006810569322,-58.43017061937572,-0.2458009012695772,3.458606426097943,0.32829486725499574
8,2026-01-01,CIPLA,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I02_0p40_0p60,247916,2550,-23.761390983214042,-16.387845681120616,1.0,0.0,-32.02951098321403,-164.8844429113494,0.0,2.7495395591200764,0.5689112394237188
8,2026-01-01,CIPLA,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I02_0p40_0p60,247916,3600,-19.72240974320948,-11.634273200109568,1.0,0.0,-27.990529743209436,-142.93493057446204,-0.6806425265459826,2.7495395591198433,0.5689112394237431
11,2026-01-01,HCLTECH,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,55468,750,-28.496164111696455,-24.58487828470024,1.0,0.0,-36.764284111696476,-120.19806724702487,-4.41696113073986,2.4106353661007915,0.3031454190143223
11,2026-01-01,HCLTECH,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I01_0p30_0p40,55468,600,-26.79776025869721,-15.621590014245346,1.0,0.0,-35.065880258697185,-157.5902653101935,-4.4054627738387975,2.4106353661007573,0.30314541901432707
12,2026-01-01,HDFCBANK,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,236012,3500,-22.54150302309629,-14.268727705113449,0.9714285714285714,0.0,-30.809623023096318,-213.43638525564867,2.220446049250313e-12,1.1974263956250348,0.5711840326370912
12,2026-01-01,HDFCBANK,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,236012,2400,-26.872192579136204,-12.842905927247795,1.0,0.0,-35.14031257913618,-240.5169319133682,0.0,1.1974263956251123,0.5711840326370816
14,2026-01-01,ICICIBANK,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,249900,3700,-19.82005965056093,-14.207057489659114,1.0,0.0,-28.088179650560946,-69.87143655673434,-1.1102230246251565e-12,1.3936203271840042,0.367678041177171
14,2026-01-01,ICICIBANK,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I01_0p30_0p40,249900,2550,-23.996710035821906,-15.293708724364308,1.0,0.0,-32.26483003582199,-294.15836101882473,0.0,1.3936203271840304,0.3676780411771041
16,2026-01-01,ITBEES,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,245932,3050,-15.50504413162928,-10.825858335909988,1.0,0.0,-23.773164131629333,-78.50985221674934,-1.5379883112898174,3.088492394037175,0.7409319230205298
16,2026-01-01,ITBEES,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,245932,2350,-18.400805934812517,-13.916808411937875,1.0,0.0,-26.668925934812552,-78.52193995381174,-1.5368065160581423,3.0884923940371323,0.7409319230205458
17,2026-01-01,ITC,P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,245932,3500,-16.34698855952574,-12.265872990272486,1.0,0.0,-24.61510855952582,-76.16879705830692,-0.8727526618967918,1.754127157630595,0.5099275348140607
17,2026-01-01,ITC,P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,245932,2450,-19.734403167357055,-13.231013495635935,1.0,0.0,-28.00252316735707,-196.7987404880589,-0.8731336767675568,1.7541271576306228,0.5099275348140839
18,2026-01-01,JUNIORBEES,P66_JOIN_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,247916,3800,-12.600821274330558,-8.282007961842307,1.0,0.0,-20.868941274330577,-106.5420087159219,0.0,3.5559540759285126,0.6972820306922771
18,2026-01-01,JUNIORBEES,P66_FADE_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,247916,2100,-20.187596211124987,-12.914075593484231,1.0,0.0,-28.45571621112492,-194.0877119874729,0.0,3.5559540759284474,0.6972820306922514
23,2026-01-01,NESTLEIND,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I01_0p30_0p40,3968,100,-1.3640703860318126,-1.3640703860318126,1.0,0.0,-9.63219038603182,-1.3640703860318126,-1.3640703860318126,2.7277686852146115,0.3999999999999877
23,2026-01-01,NESTLEIND,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I02_0p40_0p60,241964,3350,-19.9510330564806,-13.675213675213849,1.0,0.0,-28.219153056480632,-196.23875715453764,0.0,2.741437145529386,0.4130171473776063
23,2026-01-01,NESTLEIND,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I02_0p40_0p60,241964,2450,-23.719289012654123,-16.312104941207384,1.0,0.0,-31.987409012654016,-222.90388548057317,0.0,2.741437145529645,0.4130171473776166
24,2026-01-01,NIFTYBEES,P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I03_0p60_0p80,247916,3700,-16.136737816289628,-12.324108291308367,1.0,0.0,-24.40485781628968,-114.24083395808692,-1.0710460549812062,1.4327347675031,0.6214443122279231
24,2026-01-01,NIFTYBEES,P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I03_0p60_0p80,247916,2350,-21.766654022434693,-9.959096567667691,1.0,0.0,-30.034774022434714,-214.7588859605376,-1.426991545075973,1.432734767502847,0.6214443122278986
26,2026-01-01,RELIANCE,P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,245932,3450,-20.230519725494496,-15.740948954350298,1.0,0.0,-28.498639725494517,-87.11978971085222,-2.2431583669824118,1.5109850580936843,0.44440654301586613
26,2026-01-01,RELIANCE,P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,245932,2650,-22.41901718446841,-16.72495058537504,1.0,0.0,-30.68713718446839,-176.4884108468412,0.0,1.5109850580937305,0.4444065430158623
28,2026-01-01,SUNPHARMA,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,89196,1450,-17.373038992693854,-16.258510313992282,1.0,0.0,-25.641158992693892,-74.07783246232702,0.0,2.0440211813813782,0.30563872428251804
28,2026-01-01,SUNPHARMA,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I01_0p30_0p40,89196,750,-34.16425401436623,-19.26586899209215,1.0,0.0,-42.432374014366275,-179.8212005108557,-1.5291299250730361,2.044021181381384,0.30563872428249916
31,2026-01-01,ULTRACEMCO,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I01_0p30_0p40,5952,100,-13.11208260189601,-13.112082601896002,1.0,0.0,-21.380202601896,-19.027484143763207,-7.196681060028798,2.5421574442843844,0.3918751509170508
31,2026-01-01,ULTRACEMCO,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I02_0p40_0p60,237996,3350,-21.624285948898347,-13.156777862660674,1.0,0.0,-29.892405948898393,-152.47508025004186,-0.422083403680551,2.5460993366367846,0.43689941786121483
31,2026-01-01,ULTRACEMCO,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I02_0p40_0p60,237996,2500,-25.699683880388427,-12.780673339423675,1.0,0.0,-33.96780388038844,-248.3869607388356,-1.266517499050046,2.546099336636936,0.43689941786117387
36,2026-02-02,BANKBEES,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I01_0p30_0p40,243948,2700,-13.610644293133818,-14.08876832275141,0.9629629629629629,0.0,-21.878764293133816,-29.894258325920966,0.08341535843614523,3.4914840348498903,0.3279602465212773
36,2026-02-02,BANKBEES,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I01_0p30_0p40,243948,3100,-11.9966453573023,-7.900142202560412,1.0,0.0,-20.26476535730228,-61.28391029289304,-0.08253072206310108,3.4914840348500413,0.32796024652132977
40,2026-02-02,CIPLA,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I02_0p40_0p60,241964,2800,-17.506649961487796,-16.041288882688853,1.0,0.0,-25.774769961487838,-83.93451720310696,0.0,2.793241616685879,0.5684966521378141
40,2026-02-02,CIPLA,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I02_0p40_0p60,241964,3050,-16.116251866194794,-10.466820180029535,1.0,0.0,-24.384371866194773,-88.77791649327227,0.0,2.7932416166859935,0.5684966521378354
43,2026-02-02,HCLTECH,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I01_0p30_0p40,51584,550,-27.370060919192095,-31.33265513733385,1.0,0.0,-35.63818091919211,-52.582236171689885,-2.0068231988756846,2.4470539086269225,0.30435783522377086
43,2026-02-02,HCLTECH,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,51584,650,-26.074795376092386,-30.667320902847408,1.0,0.0,-34.34291537609234,-40.39826981147687,-2.036493971977471,2.4470539086269683,0.3043578352237763
44,2026-02-02,HDFCBANK,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,243948,2400,-31.480043472416884,-23.22018128821768,1.0,0.0,-39.748163472416785,-179.8453330136085,-1.79964007198552,1.2121439487041117,0.5717706928426193
44,2026-02-02,HDFCBANK,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,243948,3700,-19.996679726895614,-11.547699722107009,1.0,0.0,-28.26479972689564,-151.5151515151514,0.0,1.2121439487040333,0.5717706928425921
