strategy_id,side,spread_bucket,imbalance_bucket,shard_symbol_label_rows,symbols,trade_dates,candidate_orders,inferred_touches,mean_gross_bps_if_touched,median_gross_bps_if_touched,mean_after_cost_bps_if_touched,mean_adverse_selection_rate,mean_cost_clearing_rate,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance,touch_rate,label_candidate
P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I03_0p60_0p80,5,1,5,1237596,15700,-13.008365937116366,-10.116703399933868,-21.276485937116394,1.0,0.0,-114.24083395808692,0.0,1.3738618490103138,0.6212124746324326,0.012685884569762669,False
P66_JOIN_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,5,1,5,1235612,14950,-13.61914880764698,-8.444451885786242,-21.88726880764701,1.0,0.0,-133.5984196130091,0.0,3.507275189222246,0.6975683804622992,0.012099267407568072,False
P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I03_0p60_0p80,5,1,5,1237596,14248,-13.713897159086509,-9.013881377321065,-21.982017159086528,0.9939655172413794,0.0,-214.7588859605376,2.220446049250313e-12,1.3738618490102787,0.6212124746324175,0.011512642251590988,False
P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,12,4,5,2963088,35700,-14.745491757111798,-12.810286922485536,-23.01361175711183,0.9985119047619048,0.0,-299.0332009293273,2.220446049250313e-12,1.7268774200279529,0.47911481379114,0.01204824156420599,False
P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,12,4,5,2963088,35149,-15.365464682742074,-10.262634943298266,-23.63358468274207,0.9987622511872285,0.0,-301.9631350217278,2.220446049250313e-12,1.7268774200279589,0.4791148137911288,0.011862286911492334,False
P66_FADE_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,5,1,5,1235612,12697,-16.366045813673246,-8.9197084758047,-24.63416581367325,0.9876429991079672,0.0,-194.0877119874729,0.1292941830555172,3.507275189222175,0.6975683804622953,0.010275879483203465,False
P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I01_0p30_0p40,11,3,6,1304968,15450,-16.885996917490935,-14.08876832275141,-25.154116917490935,0.9966329966329965,0.0,-181.28751130477627,0.08341535843614523,3.1999349355013496,0.3641318628192379,0.01183937077384273,False
P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,6,2,6,1471624,17200,-17.572978846940504,-10.90604122439498,-25.841098846940554,1.0,0.0,-156.16147308781802,0.0,3.180146015122913,0.7210139372218297,0.011687768071192099,False
P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,6,2,6,1471624,16250,-18.109659139909752,-10.83503815699327,-26.377779139909723,1.0,0.0,-206.31758679567457,-0.35648082133188375,3.1801460151229315,0.7210139372218323,0.01104222274167858,False
P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,15,3,5,1927608,24700,-18.309186823903335,-15.244831857846307,-26.57730682390336,0.9972789115646259,0.0,-351.26538514728026,2.220446049250313e-12,1.9403405716479896,0.32584049385346775,0.0128138086166897,False
