symbol,horizon_sec,spread_regime,liquidity_regime,receive_event_rate_zscore_bucket,baseline_mid_return_bps,baseline_abs_return_bps,baseline_spread_change_bps,baseline_rows
ADANIPORTS,1,high,high,normal,0.0,0.0,0.0,1381
ADANIPORTS,1,high,high,positive,0.0,0.0,0.0,94
ADANIPORTS,1,high,low,normal,0.0,0.2712268949091456,0.0,1870
ADANIPORTS,1,high,low,positive,0.0,0.0,0.0,145
ADANIPORTS,1,high,mid,normal,0.0,0.0,0.0,1919
ADANIPORTS,1,high,mid,positive,0.0,0.0,0.0,127
ADANIPORTS,1,low,high,normal,0.0,0.0,0.0,2645
ADANIPORTS,1,low,high,positive,0.0,0.0,0.0,185
ADANIPORTS,1,low,low,normal,0.0,0.0,0.0,2126
ADANIPORTS,1,low,low,positive,0.0,0.0,0.0,158
ADANIPORTS,1,low,mid,normal,0.0,0.0,0.0,2252
ADANIPORTS,1,low,mid,positive,0.0,0.0,0.0,173
ADANIPORTS,1,mid,high,normal,0.0,0.0,0.0,1758
ADANIPORTS,1,mid,high,positive,0.0,0.0,0.0,111
ADANIPORTS,1,mid,low,normal,0.0,0.0,0.0,1776
ADANIPORTS,1,mid,low,positive,0.0,0.0,0.0,104
ADANIPORTS,1,mid,mid,normal,0.0,0.0,0.0,1776
ADANIPORTS,1,mid,mid,positive,0.0,0.0,0.0,116
ADANIPORTS,5,high,high,normal,0.0,0.5466273094998855,-0.5442324961218485,599
ADANIPORTS,5,high,high,positive,0.0,0.5442473059753404,-0.5472405395786744,49
ADANIPORTS,5,high,low,normal,0.0,0.5520439426985919,-0.544558499196281,831
ADANIPORTS,5,high,low,positive,0.0,0.5424758598237445,-0.5424464334154403,77
ADANIPORTS,5,high,mid,normal,0.0,0.5501911951858673,-0.5444473180167716,844
ADANIPORTS,5,high,mid,positive,0.0,0.5536791982720174,-0.544232496123086,65
ADANIPORTS,5,low,high,normal,0.0,0.27273223149487,0.0,1168
ADANIPORTS,5,low,high,positive,0.0,0.2749594434818363,0.0,101
ADANIPORTS,5,low,low,normal,0.0,0.271598902741421,0.0,927
ADANIPORTS,5,low,low,positive,0.0,0.13604331619237547,0.0,84
ADANIPORTS,5,low,mid,normal,0.0,0.27342575123575946,0.0,1007
ADANIPORTS,5,low,mid,positive,0.0,0.27331365474994274,0.0,75
ADANIPORTS,5,mid,high,normal,0.0,0.27932960893829345,0.0,781
