horizon_sec,trade_date,exchange,symbol,split_role,rows,event_surprise_rows,up_positive_rate,down_positive_rate,vol_expansion_positive_rate,min_baseline_rows,fallback_baseline_rows,sparse_event_surprise_partition,quality_pass,model_fit_allowed,strategy_replay_allowed
1,2026-07-08,NSE,ADANIPORTS,train,3617,0,0.0,0.0,0.0,1381,0,1,1,0,0
1,2026-07-08,NSE,AXISBANK,train,5829,0,0.0,0.0,0.0,1626,0,1,1,0,0
1,2026-07-08,NSE,BAJAJ-AUTO,train,3323,0,0.0,0.0,0.0,1430,0,1,1,0,0
1,2026-07-08,NSE,BANKBEES,train,5645,0,0.0,0.0,0.0,2279,0,1,1,0,0
1,2026-07-08,NSE,BHARTIARTL,train,3952,0,0.0,0.0,0.0,1585,0,1,1,0,0
1,2026-07-08,NSE,BPCL,train,2852,0,0.0,0.0,0.0,827,0,1,1,0,0
1,2026-07-08,NSE,BRITANNIA,train,2151,0,0.0,0.0,0.0,789,0,1,1,0,0
1,2026-07-08,NSE,CIPLA,train,2953,0,0.0,0.0,0.0,1049,0,1,1,0,0
1,2026-07-08,NSE,DRREDDY,train,2935,0,0.0,0.0,0.0,1257,0,1,1,0,0
1,2026-07-08,NSE,GOLDBEES,train,4078,0,0.0,0.0,0.0,1287,0,1,1,0,0
1,2026-07-08,NSE,HCLTECH,train,2706,0,0.0,0.0,0.0,1301,0,1,1,0,0
1,2026-07-08,NSE,HDFCBANK,train,6816,0,0.0,0.0,0.0,2462,0,1,1,0,0
1,2026-07-08,NSE,HINDUNILVR,train,3470,0,0.0,0.0,0.0,1603,0,1,1,0,0
1,2026-07-08,NSE,ICICIBANK,train,6210,0,0.0,0.0,0.0,1979,0,1,1,0,0
1,2026-07-08,NSE,INFY,train,5152,0,0.0,0.0,0.0,1933,0,1,1,0,0
1,2026-07-08,NSE,ITBEES,train,2355,0,0.0,0.0,0.0,3211,0,1,1,0,0
1,2026-07-08,NSE,ITC,train,4271,0,0.0,0.0,0.0,818,0,1,1,0,0
1,2026-07-08,NSE,JUNIORBEES,train,5241,0,0.0,0.0,0.0,2488,0,1,1,0,0
1,2026-07-08,NSE,KOTAKBANK,train,4944,0,0.0,0.0,0.0,1346,0,1,1,0,0
1,2026-07-08,NSE,LT,train,6328,0,0.0,0.0,0.0,2369,0,1,1,0,0
1,2026-07-08,NSE,M&M,train,6037,0,0.0,0.0,0.0,2021,0,1,1,0,0
1,2026-07-08,NSE,MARUTI,train,4917,0,0.0,0.0,0.0,1584,0,1,1,0,0
1,2026-07-08,NSE,NESTLEIND,train,2943,0,0.0,0.0,0.0,1150,0,1,1,0,0
1,2026-07-08,NSE,NIFTYBEES,train,5016,0,0.0,0.0,0.0,1770,0,1,1,0,0
