horizon_sec,trade_date,exchange,symbol,split_role,rows,event_surprise_rows,label_file,bytes,test_rows_used
1,2026-07-08,NSE,ADANIPORTS,train,3617,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=ADANIPORTS\event_surprise_conditional_labels.parquet,37070,0
1,2026-07-08,NSE,AXISBANK,train,5829,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=AXISBANK\event_surprise_conditional_labels.parquet,54916,0
1,2026-07-08,NSE,BAJAJ-AUTO,train,3323,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BAJAJ-AUTO\event_surprise_conditional_labels.parquet,35267,0
1,2026-07-08,NSE,BANKBEES,train,5645,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BANKBEES\event_surprise_conditional_labels.parquet,52859,0
1,2026-07-08,NSE,BHARTIARTL,train,3952,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BHARTIARTL\event_surprise_conditional_labels.parquet,39963,0
1,2026-07-08,NSE,BPCL,train,2852,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BPCL\event_surprise_conditional_labels.parquet,31216,0
1,2026-07-08,NSE,BRITANNIA,train,2151,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=BRITANNIA\event_surprise_conditional_labels.parquet,26412,0
1,2026-07-08,NSE,CIPLA,train,2953,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=CIPLA\event_surprise_conditional_labels.parquet,32544,0
1,2026-07-08,NSE,DRREDDY,train,2935,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=DRREDDY\event_surprise_conditional_labels.parquet,32330,0
1,2026-07-08,NSE,GOLDBEES,train,4078,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=GOLDBEES\event_surprise_conditional_labels.parquet,40577,0
1,2026-07-08,NSE,HCLTECH,train,2706,0,derived_phase214_event_surprise_conditional_labels\horizon=1s\trade_date=2026-07-08\exchange=NSE\symbol=HCLTECH\event_surprise_conditional_labels.parquet,30641,0
