metric,value,description
phase333_event_catalyst_expanded_strategy_search_interpretation_complete,1,Phase333 interpretation completed
phase333_base_or_slippage_profitable_research_pockets_exist,1,Base/slippage research pockets above 12 exist
phase333_cost200_profitability_bar_passed,0,2x-cost >12% bar passed
phase333_cost200_acceptance_grade_candidates_exist,0,2x-cost acceptance-grade candidates exist
phase333_best_cost200_near_miss_preserved,1,Near-miss preserved as redesign clue
phase333_preserved_family_for_redesign,P331_DEPTH_ACCEL_REVERSAL,Family preserved for redesign
phase333_passive_aware_rescue_status,falsified_as_primary_rescue,Passive-aware rescue status
phase333_next_design_focus,cost_stress_margin_and_turnover_reduction,Next design focus
phase333_replay_allowed,0,No replay
phase333_strategy_promotion_allowed,0,No promotion
phase333_paper_or_live_acceptance_allowed,0,No paper/live
phase333_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase333_selected_next_route,P334_COST_STRESS_MARGIN_REDESIGN_PRECOMMIT,Selected next route
phase333_hard_gate_pass_rows,8,Passed hard gates
phase333_hard_gate_rows,8,Hard gates
phase333_next_best_action,run_phase334_cost_stress_margin_redesign_precommit_no_replay,Recommended next action
