scenario_id,family_id,horizon_seconds,threshold_policy,side_policy,execution_policy,event_bucket_policy,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,scheduled_event_rows,symbol_rows,observed_trade_dates,trade_rows,gross_pnl_inr,cost_inr,passive_penalty_inr,net_pnl_inr,annualized_return_pct,annualized_gap_to_12pct
P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,2,40,10,40,69,15982.52767646288,11412.069714971663,0.0,4570.457961491216,11.517554062957867,0.482445937042133
P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,4,40,10,40,69,15982.52767646288,11412.069714971663,0.0,4570.457961491216,11.517554062957867,0.482445937042133
P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,2,40,10,40,69,15982.52767646288,11412.069714971663,0.0,4570.457961491216,11.517554062957867,0.482445937042133
P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,4,40,10,40,69,15982.52767646288,11412.069714971663,0.0,4570.457961491216,11.517554062957867,0.482445937042133
P331_DEPTH_ACCEL_REVERSAL_H900_top_25pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_25pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,2,48,13,48,90,20029.251810782618,14885.210646953887,0.0,5144.041163828731,10.802486444040335,1.1975135559596648
P331_DEPTH_ACCEL_REVERSAL_H900_top_25pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_25pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,4,48,13,48,90,20029.251810782618,14885.210646953887,0.0,5144.041163828731,10.802486444040335,1.1975135559596648
P331_DEPTH_ACCEL_REVERSAL_H900_top_25pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_25pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,2,48,13,48,90,20029.251810782618,14885.210646953887,0.0,5144.041163828731,10.802486444040335,1.1975135559596648
P331_DEPTH_ACCEL_REVERSAL_H900_top_25pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP250000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_25pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,4,48,13,48,90,20029.251810782618,14885.210646953887,0.0,5144.041163828731,10.802486444040335,1.1975135559596648
P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,100000.0,100000.0,2,40,6,40,40,8154.870174036816,6615.72355936468,0.0,1539.146614672136,9.696623672434455,2.3033763275655446
P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC2_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,100000.0,100000.0,2,40,6,40,40,8154.870174036816,6615.72355936468,0.0,1539.146614672136,9.696623672434455,2.3033763275655446
P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC4_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,100000.0,100000.0,4,40,6,40,40,8154.870174036816,6615.72355936468,0.0,1539.146614672136,9.696623672434455,2.3033763275655446
P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_macro_or_index_context_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,100000.0,100000.0,1,40,6,40,40,8154.870174036816,6615.72355936468,0.0,1539.146614672136,9.696623672434455,2.3033763275655446
P331_DEPTH_ACCEL_REVERSAL_H900_top_10pct_abs_signal_all_events_long_only_taker_entry_taker_exit_CAP100000_NOT100000_CONC1_zerodha_2x_all_in_cost_proxy,P331_DEPTH_ACCEL_REVERSAL,900,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,100000.0,100000.0,1,40,6,40,40,8154.870174036816,6615.72355936468,0.0,1539.146614672136,9.696623672434455,2.3033763275655446
