family_id,execution_policy,cost_profile,scenario_rows,above12_rows,acceptance_grade_rows,best_annualized_return_pct,median_annualized_return_pct,best_net_pnl_inr,max_scheduled_event_rows,max_symbol_rows,max_observed_trade_dates
P331_DEPTH_ACCEL_REVERSAL,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,11.517554062957867,0.0,5144.041163828731,50,28,50
P331_MICROPRICE_DEPTH_CONFIRM,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,5.900157735764103,0.0,2926.6655435337816,50,6,50
P331_QTY_IMBALANCE_REVERSAL,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_ORDER_IMBALANCE_CONTINUATION,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_QTY_IMBALANCE_CONTINUATION,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_DEPTH_PRESSURE_TARGET_SHIFT,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_QTY_IMBALANCE_REVERSAL,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_PRE900_TO_EVENT_PRESSURE_SHIFT,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,27,50
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,32,50
P331_DEPTH_PRESSURE_REVERSAL,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_REVERSAL,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_ORDER_IMBALANCE_REVERSAL,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_DEPTH_PRESSURE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_SHARE_EXPANSION_CONTINUATION,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,32,50
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,32,50
P331_SPREAD_ADJUSTED_PRESSURE_REVERSAL,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_SPREAD_ADJUSTED_PRESSURE_CONTINUATION,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_PRESSURE_TARGET_SHIFT,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_SHARE_EXPANSION_CONTINUATION,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,32,50
P331_PRE900_TO_EVENT_PRESSURE_SHIFT,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,27,50
P331_ORDER_IMBALANCE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_ORDER_IMBALANCE_REVERSAL,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,10,50
P331_DEPTH_ACCEL_REVERSAL,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,28,50
P331_MICROPRICE_DEPTH_CONFIRM,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,6,50
P331_SPREAD_ADJUSTED_PRESSURE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_ACCEL_CONTINUATION,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,28,50
P331_DEPTH_PRESSURE_CONTINUATION,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_QTY_IMBALANCE_CONTINUATION,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,5,50
P331_DEPTH_ACCEL_CONTINUATION,passive_aware_directional_with_penalties,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,28,50
P331_SPREAD_ADJUSTED_PRESSURE_REVERSAL,taker_entry_taker_exit,zerodha_2x_all_in_cost_proxy,8640,0.0,0.0,0.0,0.0,0.0,50,7,50
P331_DEPTH_ACCEL_REVERSAL,taker_entry_taker_exit,zerodha_base,8640,162.0,0.0,30.5361528844332,0.0,20266.922373727717,50,28,50
P331_DEPTH_ACCEL_REVERSAL,taker_entry_taker_exit,zerodha_plus_1bp_slippage,8640,88.0,0.0,25.485815473326046,0.0,16358.005308731455,50,28,50
P331_MICROPRICE_DEPTH_CONFIRM,taker_entry_taker_exit,zerodha_base,8640,156.0,0.0,21.905330928328958,0.0,12236.150606655236,50,6,50
P331_DEPTH_ACCEL_REVERSAL,taker_entry_taker_exit,zerodha_plus_2bp_slippage,8640,48.0,0.0,20.435478062218877,0.0,12449.08824373519,50,28,50
