family_id,threshold_policy,side_policy,execution_policy,event_bucket_policy,initial_capital_inr,fixed_notional_inr,max_concurrent_positions,base_best_annualized_return_pct,cost200_best_annualized_return_pct,base_max_scheduled_events,cost200_max_scheduled_events,cost_stress_drag_pct
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,2,25.89676190382216,11.517554062957867,40,40,14.379207840864293
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,2,25.89676190382216,11.517554062957867,40,40,14.379207840864293
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,4,25.89676190382216,11.517554062957867,40,40,14.379207840864293
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,4,25.89676190382216,11.517554062957867,40,40,14.379207840864293
P331_DEPTH_ACCEL_REVERSAL,top_25pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,2,26.431957623341916,10.802486444040335,48,48,15.62947117930158
P331_DEPTH_ACCEL_REVERSAL,top_25pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,4,26.431957623341916,10.802486444040335,48,48,15.62947117930158
P331_DEPTH_ACCEL_REVERSAL,top_25pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,4,26.431957623341916,10.802486444040335,48,48,15.62947117930158
P331_DEPTH_ACCEL_REVERSAL,top_25pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,2,26.431957623341916,10.802486444040335,48,48,15.62947117930158
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,100000.0,100000.0,2,30.5361528844332,9.696623672434455,40,40,20.839529211998745
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,100000.0,100000.0,1,30.5361528844332,9.696623672434455,40,40,20.839529211998745
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,100000.0,100000.0,4,30.5361528844332,9.696623672434455,40,40,20.839529211998745
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,100000.0,100000.0,1,30.5361528844332,9.696623672434455,40,40,20.839529211998745
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,100000.0,100000.0,4,30.5361528844332,9.696623672434455,40,40,20.839529211998745
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,100000.0,100000.0,2,30.5361528844332,9.696623672434455,40,40,20.839529211998745
P331_DEPTH_ACCEL_REVERSAL,all_nonzero_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,2,23.837065326027822,7.165789573637605,50,50,16.671275752390216
P331_DEPTH_ACCEL_REVERSAL,top_50pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,2,23.837065326027822,7.165789573637605,50,50,16.671275752390216
P331_DEPTH_ACCEL_REVERSAL,all_nonzero_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,4,23.837065326027822,7.165789573637605,50,50,16.671275752390216
P331_DEPTH_ACCEL_REVERSAL,top_50pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,4,23.837065326027822,7.165789573637605,50,50,16.671275752390216
P331_DEPTH_ACCEL_REVERSAL,all_nonzero_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,4,23.837065326027822,7.165789573637605,50,50,16.671275752390216
P331_DEPTH_ACCEL_REVERSAL,top_50pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,4,23.837065326027822,7.165789573637605,50,50,16.671275752390216
P331_DEPTH_ACCEL_REVERSAL,top_50pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,2,23.837065326027822,7.165789573637605,50,50,16.671275752390216
P331_DEPTH_ACCEL_REVERSAL,all_nonzero_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,2,23.837065326027822,7.165789573637605,50,50,16.671275752390216
P331_MICROPRICE_DEPTH_CONFIRM,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,4,21.905330928328958,5.900157735764103,50,50,16.005173192564854
P331_MICROPRICE_DEPTH_CONFIRM,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,2,21.905330928328958,5.900157735764103,50,50,16.005173192564854
P331_MICROPRICE_DEPTH_CONFIRM,top_10pct_abs_signal,long_short,taker_entry_taker_exit,all_events,250000.0,100000.0,4,21.905330928328958,5.900157735764103,50,50,16.005173192564854
P331_MICROPRICE_DEPTH_CONFIRM,top_10pct_abs_signal,long_short,taker_entry_taker_exit,all_events,250000.0,100000.0,2,21.905330928328958,5.900157735764103,50,50,16.005173192564854
P331_MICROPRICE_DEPTH_CONFIRM,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,100000.0,4,21.905330928328958,5.900157735764103,50,50,16.005173192564854
P331_MICROPRICE_DEPTH_CONFIRM,top_10pct_abs_signal,long_short,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,4,21.905330928328958,5.900157735764103,50,50,16.005173192564854
P331_MICROPRICE_DEPTH_CONFIRM,top_10pct_abs_signal,long_short,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,2,21.905330928328958,5.900157735764103,50,50,16.005173192564854
P331_MICROPRICE_DEPTH_CONFIRM,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,100000.0,2,21.905330928328958,5.900157735764103,50,50,16.005173192564854
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,500000.0,100000.0,2,12.94838095191108,5.7587770314789335,40,40,7.1896039204321465
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,500000.0,100000.0,2,12.94838095191108,5.7587770314789335,40,40,7.1896039204321465
P331_DEPTH_ACCEL_REVERSAL,top_25pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,500000.0,100000.0,2,13.215978811670958,5.401243222020168,48,48,7.81473558965079
P331_DEPTH_ACCEL_REVERSAL,top_25pct_abs_signal,long_only,taker_entry_taker_exit,all_events,500000.0,100000.0,2,13.215978811670958,5.401243222020168,48,48,7.81473558965079
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,macro_or_index_context,250000.0,75000.0,2,17.327317427866607,4.447657547218382,40,40,12.879659880648225
P331_DEPTH_ACCEL_REVERSAL,top_10pct_abs_signal,long_only,taker_entry_taker_exit,all_events,250000.0,75000.0,2,17.327317427866607,4.447657547218382,40,40,12.879659880648225
