scenario_id,family_id,trade_date,symbol,signal_index,entry_index,exit_index,hold_ticks_observed,hold_ms,side,side_int,entry_price,exit_price,quantity,l1_imbalance,l2_l5_imbalance,top5_imbalance,book_slope,gross_pnl_inr,cost100_inr,cost200_inr,net_pnl_inr,net_pnl_cost100_inr
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-01-01,ADANIPORTS,119,124,1324,1200,600.0,long,1,1818.9,1818.5,54,0.22401847575057737,0.22771362586605082,0.22727890232305392,-0.10311099035457139,-21.60000000000582,82.4938895576,164.9877791152,-186.58777911520582,-104.09388955760582
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-01-01,AXISBANK,119,124,1324,1200,650.0,long,1,1316.7,1322.1,75,0.017766497461928935,0.016582064297800337,0.016721409375933114,-0.007166318303971335,405.0,82.56559646,165.13119292,239.86880708,322.43440354
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-01-01,BAJAJ-AUTO,119,124,1324,1200,546.0,long,1,10261.0,10258.0,9,0.1099476439790576,0.07834583842261385,0.08206312548113934,-0.024788298691301,-27.0,79.87827342599999,159.75654685199999,-186.75654685199999,-106.87827342599999
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-01-01,BANKBEES,119,124,1324,1200,788.0,long,1,599.095,598.885,166,0.3231552162849873,0.3233797081778079,0.32335329341317365,-0.14461077844311376,-34.86000000000058,82.62222532008,165.24445064016,-200.1044506401606,-117.48222532008059
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-01-01,BHARTIARTL,119,124,1324,1200,600.0,long,1,1901.65,1901.35,52,0.082687338501292,0.08354866494401378,0.08344733242134063,-0.037543699650402794,-15.60000000000582,82.56383493599999,165.12766987199998,-180.7276698720058,-98.16383493600581
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-01-01,BPCL,119,124,1324,1200,650.0,short,-1,305.775,307.125,327,-0.04896907216494845,-0.048109965635738834,-0.048211036992116436,0.02152819890842935,-441.45000000001164,82.70974317979999,165.41948635959997,-606.8694863596116,-524.1597431798116
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-01-01,BRITANNIA,119,124,1324,1200,650.0,long,1,5355.5,5378.5,18,0.0,0.0070921985815602835,0.006257822277847309,-0.005319148936170213,414.0,81.31925807200001,162.63851614400002,251.36148385599998,332.680741928
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-01-01,CIPLA,119,124,1324,1200,711.0,long,1,1426.6,1426.2,70,0.566579634464752,0.5680473372781065,0.5678746928746928,-0.2542997542997543,-28.0,82.66568857600001,165.33137715200002,-193.33137715200002,-110.66568857600001
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-01-01,DRREDDY,119,124,1324,1200,788.0,long,1,1231.95,1231.65,81,0.20558375634517767,0.20338409475465313,0.20364287847118542,-0.0901761719916393,-24.29999999998836,82.65806564960002,165.31613129920004,-189.6161312991884,-106.95806564958838
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-01-01,GOLDBEES,119,124,1324,1200,650.0,short,-1,116.615,117.095,857,-0.20707070707070707,-0.20828422293315374,-0.20814143515079483,0.09315109196256129,-411.3600000000006,82.70254036482,165.40508072964,-576.7650807296405,-494.06254036482056
