scenario_id,family_id,trade_date,symbol,signal_index,entry_index,exit_index,hold_ticks_observed,hold_ms,side,side_int,entry_price,exit_price,quantity,l1_imbalance,l2_l5_imbalance,top5_imbalance,book_slope,gross_pnl_inr,cost100_inr,cost200_inr,net_pnl_inr,net_pnl_cost100_inr
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-07-17,ADANIPORTS,119,124,211,87,163297.0,long,1,1824.0,1824.2,54,-0.030927835051546393,-0.09925925925925926,-0.08400460299194476,0.21749136939010358,10.80000000000291,82.52396673680002,165.04793347360004,-154.24793347359713,-71.72396673679711
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-07-17,AXISBANK,119,124,363,239,170750.0,long,1,1312.7,1311.2,76,-0.13089005235602094,0.2680077871512005,0.18876755070202808,-0.2823712948517941,-114.0,82.6523258584,165.3046517168,-279.3046517168,-196.6523258584
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-07-17,BAJAJ-AUTO,119,124,153,29,17750.0,long,1,10418.0,10414.5,9,0.7142857142857143,-0.03468208092485549,0.11162790697674418,0.33488372093023255,-31.5,80.02620445500001,160.05240891000003,-191.55240891000003,-111.52620445500001
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-07-17,BHARTIARTL,119,124,347,223,171500.0,short,-1,1922.6,1921.0,52,-0.7928348909657321,-0.2564935064935065,-0.5302066772655007,-0.3163751987281399,83.19999999999709,82.67299248319999,165.34598496639998,-82.14598496640289,0.5270075167970987
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-07-20,AXISBANK,119,124,446,322,193003.0,short,-1,1267.3,1272.9,78,-0.6766809728183119,-0.23875,-0.371900826446281,0.03349282296650718,-436.80000000001746,82.59004625360001,165.18009250720002,-601.9800925072175,-519.3900462536175
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-07-20,BANKBEES,119,124,348,224,150753.0,short,-1,598.5,598.87,167,-0.6,-0.4354219101867797,-0.4372543882630338,0.4021482839926644,-61.7899999999936,82.68007201074,165.36014402148,-227.1501440214736,-144.4700720107336
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-07-20,BHARTIARTL,119,124,431,307,193503.0,long,1,1920.9,1935.7,52,0.9894179894179894,0.1267175572519084,0.31990521327014215,0.22985781990521326,769.6000000000058,82.6981229392,165.3962458784,604.2037541216058,686.9018770608059
P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,2026-07-20,CIPLA,119,124,206,82,57500.0,short,-1,1434.5,1435.1,69,-0.8021978021978022,0.0584958217270195,-0.11555555555555555,-0.16444444444444445,-41.39999999999418,82.5771347744,165.1542695488,-206.55426954879417,-123.97713477439417
P438_depth_regime_carry_E120_H2400_D5,depth_regime_carry,2026-07-17,ADANIPORTS,119,124,211,87,163297.0,long,1,1824.0,1824.2,54,-0.030927835051546393,-0.09925925925925926,-0.08400460299194476,0.21749136939010358,10.80000000000291,82.52396673680002,165.04793347360004,-154.24793347359713,-71.72396673679711
P438_depth_regime_carry_E120_H2400_D5,depth_regime_carry,2026-07-17,AXISBANK,119,124,363,239,170750.0,long,1,1312.7,1311.2,76,-0.13089005235602094,0.2680077871512005,0.18876755070202808,-0.2823712948517941,-114.0,82.6523258584,165.3046517168,-279.3046517168,-196.6523258584
