panel,scenario_id,family_id,completed_round_trips,trade_dates,symbols,positive_date_fraction,gross_pnl_inr,cost200_inr,net_pnl_inr,annualized_return_pct,acceptance_survivor
synthetic,P438_depth_regime_snapback_E120_H2400_D5,depth_regime_snapback,384,12,32,0.0,-4844.559999999852,63221.99322700972,-68066.55322700957,-142.9397617767201,0
synthetic,P438_depth_regime_snapback_E240_H2400_D5,depth_regime_snapback,384,12,32,0.0,-4996.959999999846,63224.01377235852,-68220.97377235837,-143.26404492195257,0
synthetic,P438_depth_regime_snapback_E120_H1200_D5,depth_regime_snapback,384,12,32,0.0,-5924.819999999876,63218.89336754364,-69143.71336754352,-145.20179807184138,0
synthetic,P438_depth_regime_snapback_E480_H2400_D5,depth_regime_snapback,384,12,32,0.0,-6024.3599999998405,63224.32783830732,-69248.68783830716,-145.42224446044506,0
synthetic,P438_depth_regime_snapback_E240_H1200_D5,depth_regime_snapback,384,12,32,0.0,-6077.21999999987,63220.91391289244,-69298.13391289231,-145.52608121707385,0
synthetic,P438_depth_regime_snapback_E480_H1200_D5,depth_regime_snapback,384,12,32,0.0,-6827.529999999722,63223.61203510384,-70051.14203510356,-147.1073982737175,0
synthetic,P438_depth_regime_carry_E480_H3600_D5,depth_regime_carry,384,12,32,0.0,-7380.380000000223,63220.8297483058,-70601.20974830602,-148.26254047144266,0
synthetic,P438_depth_regime_snapback_E120_H3600_D5,depth_regime_snapback,384,12,32,0.0,-7412.5299999999115,63219.54551539864,-70632.07551539855,-148.32735858233696,0
synthetic,P438_depth_regime_snapback_E240_H3600_D5,depth_regime_snapback,384,12,32,0.0,-7564.929999999906,63221.56606074744,-70786.49606074733,-148.6516417275694,0
synthetic,P438_depth_regime_carry_E240_H3600_D5,depth_regime_carry,384,12,32,0.0,-10113.830000000191,63222.4940917076,-73336.3240917078,-154.00628059258636,0
synthetic,P438_depth_regime_carry_E120_H3600_D5,depth_regime_carry,384,12,32,0.0,-10266.23000000017,63220.4826903588,-73486.71269035897,-154.32209664975383,0
synthetic,P438_depth_regime_snapback_E480_H3600_D5,depth_regime_snapback,384,12,32,0.0,-10306.43999999993,63220.06521778797,-73526.5052177879,-154.40566095735457,0
synthetic,P438_depth_regime_carry_E480_H1200_D5,depth_regime_carry,384,12,32,0.0,-10846.120000000155,63224.58402784524,-74070.70402784538,-155.5484784584753,0
synthetic,P438_depth_regime_carry_E240_H1200_D5,depth_regime_carry,384,12,32,0.0,-11595.52000000015,63221.930868634605,-74817.45086863474,-157.11664682413294,0
synthetic,P438_depth_regime_carry_E480_H2400_D5,depth_regime_carry,384,12,32,0.0,-11660.590000000186,63225.34954462432,-74885.9395446245,-157.26047304371144,0
synthetic,P438_depth_regime_carry_E120_H1200_D5,depth_regime_carry,384,12,32,0.0,-11747.92000000013,63219.9194672858,-74967.83946728593,-157.43246288130044,0
synthetic,P438_depth_regime_carry_E240_H2400_D5,depth_regime_carry,384,12,32,0.0,-12687.190000000192,63225.09709867552,-75912.2870986757,-159.41580290721896,0
synthetic,P438_depth_regime_carry_E120_H2400_D5,depth_regime_carry,384,12,32,0.0,-12839.590000000171,63223.08569732672,-76062.6756973269,-159.73161896438646,0
