model_id,model_type,execution_profile,trade_dates,worst_daily_net_pnl_inr,tail_loss_1pct_trade_pnl_inr,max_intraday_drawdown_inr,daily_loss_breach_days,drawdown_breach_days,risk_status
B01,baseline,retail_marketable_default,8,-84102.30703665913,-722.8366493333485,-84200.86150946053,1,0,risk_breached_proxy
B01,baseline,stressed_retail,8,-84310.1918663445,-760.4464226350707,-84333.30303233748,1,0,risk_breached_proxy
B01,baseline,zero_latency_spread_only_control,8,-55359.5538468856,-661.4093541165456,-55074.72031708509,0,0,risk_not_breached_proxy
B03,baseline,retail_marketable_default,8,-226549.87534629618,-726.9490220084207,-226360.7516718143,8,8,risk_breached_proxy
B03,baseline,stressed_retail,8,-276034.27736099483,-843.0209103541898,-275672.5418803111,8,8,risk_breached_proxy
B03,baseline,zero_latency_spread_only_control,8,-192151.94092656294,-833.2640015668437,-192252.25900828547,3,3,risk_breached_proxy
B06,baseline,retail_marketable_default,8,-73481.90882239777,-761.2457900413881,-73016.05854959496,0,0,risk_not_breached_proxy
B06,baseline,stressed_retail,8,-77594.82227373171,-805.1133485994638,-77111.20005416306,2,0,risk_breached_proxy
B06,baseline,zero_latency_spread_only_control,8,-40310.09810477834,-668.7452015916824,-40113.96075855837,0,0,risk_not_breached_proxy
S01,strategy,retail_marketable_default,8,-35211.84781046215,-956.8393577994157,-35361.20942145184,0,0,risk_not_breached_proxy
S01,strategy,stressed_retail,8,-40747.09994010009,-738.1358885808663,-40393.494180651236,0,0,risk_not_breached_proxy
S01,strategy,zero_latency_spread_only_control,8,-48018.531224488754,-1048.9421946105736,-49084.891838850715,0,0,risk_not_breached_proxy
S02,strategy,retail_marketable_default,8,-182569.89181844558,-867.0035477283998,-183466.7177307422,8,8,risk_breached_proxy
S02,strategy,stressed_retail,8,-168802.44432166757,-716.3284156623879,-168559.6988552658,8,8,risk_breached_proxy
S02,strategy,zero_latency_spread_only_control,8,-50894.42850675001,-648.9364925046333,-68919.48068975915,0,0,risk_not_breached_proxy
S05,strategy,retail_marketable_default,8,-95669.04459336179,-768.3995769725625,-95709.0934155469,1,0,risk_breached_proxy
S05,strategy,stressed_retail,8,-102415.73736921998,-812.4848618541835,-102403.89062371966,1,1,risk_breached_proxy
S05,strategy,zero_latency_spread_only_control,8,-67120.0650182482,-685.6600261965119,-66726.52557467922,0,0,risk_not_breached_proxy
S07,strategy,retail_marketable_default,6,-73503.3534444929,-819.6559295099959,-73037.50317169008,0,0,risk_not_breached_proxy
S07,strategy,stressed_retail,6,-73987.50519035532,-843.0209103541898,-73503.88297078667,0,0,risk_not_breached_proxy
S07,strategy,zero_latency_spread_only_control,6,-42110.83521948599,-719.4850641250624,-42413.17724183066,0,0,risk_not_breached_proxy
S09,strategy,retail_marketable_default,8,-94141.26825757198,-768.3995769725625,-94181.3170797571,1,0,risk_breached_proxy
S09,strategy,stressed_retail,8,-100945.41859616812,-812.4848618541835,-100933.57185066781,1,1,risk_breached_proxy
S09,strategy,zero_latency_spread_only_control,8,-68200.82694256915,-685.6600261965119,-67807.28749900017,0,0,risk_not_breached_proxy
