diagnostic_trade_date,split,completed_round_trips,symbols,gross_pnl_inr,cost200_inr,net_pnl_inr
2026-07-10,development,2,2,-73.83000000000538,330.68304312163997,-404.51304312164535
2026-07-13,development,2,2,-429.6499999999845,330.52865559156004,-760.1786555915445
2026-07-14,development,5,2,3155.899999999965,826.0789235891999,2329.8210764107653
2026-07-15,development,5,5,2941.899999999991,820.4326260483999,2121.467373951591
2026-07-16,development,5,4,-35.90000000002277,826.4466437667999,-862.3466437668227
2026-07-20,development,5,2,-21.60000000002958,825.669568328,-847.2695683280294
2026-07-21,development,5,3,2324.499999999994,823.1315665899999,1501.3684334099942
2026-07-22,development,5,4,464.8000000000295,826.115677474,-361.31567747397037
2026-07-23,holdout,4,4,1789.5000000000084,658.319338542,1131.1806614580082
2026-07-24,holdout,5,4,131.30000000001058,823.2224755451999,-691.9224755451893
2026-07-27,holdout,3,3,-858.8500000000029,492.874113863,-1351.724113863003
