split,symbol,completed_round_trips,trade_dates,gross_pnl_inr,cost200_inr,net_pnl_inr
development,HCLTECH,5,3,3865.200000000004,826.1704118199999,3039.029588180004
development,M&M,5,2,2204.7999999999593,826.2370566272,1378.5629433727593
development,CIPLA,1,1,1069.5,165.1896468148,904.3103531852
development,AXISBANK,1,1,808.0000000000109,165.235024992,642.7649750080109
development,BHARTIARTL,2,1,622.1999999999907,330.07036537039994,292.1296346295908
development,HINDUNILVR,1,1,267.89999999999145,165.2557453892,102.64425461079144
development,MARUTI,2,2,420.0,324.53839911999995,95.46160087999999
development,ICICIBANK,2,1,367.2000000000062,330.1282622432,37.07173775680616
development,ULTRACEMCO,1,1,152.0,162.22335491200002,-10.22335491200002
development,SBIN,1,1,19.40000000000441,165.32465166479997,-145.92465166479556
development,ONGC,1,1,-192.22999999999956,165.33526326883998,-357.56526326883954
development,HDFCBANK,2,2,-290.2000000000087,330.4205164056,-620.6205164056087
development,WIPRO,5,4,128.54999999997813,826.7564638471599,-698.2064638471818
development,INFY,2,2,-472.3999999999792,330.60233907680004,-803.0023390767791
development,RELIANCE,3,1,-643.8000000000203,495.59920295759997,-1139.3992029576202
holdout,BPCL,1,1,1895.4000000000076,165.47078459919996,1729.9292154008074
holdout,LT,1,1,275.59999999999764,162.8039109248,112.79608907519764
holdout,HCLTECH,2,2,380.3999999999962,330.5007873392,49.89921266079622
holdout,TCS,1,1,13.500000000008184,165.132089878,-151.6320898779918
holdout,KOTAKBANK,1,1,-141.35000000000292,165.2788237658,-306.62882376580296
holdout,ICICIBANK,2,1,-82.79999999998745,330.1205063696,-412.9205063695874
holdout,ULTRACEMCO,2,2,-224.0,324.67888179199997,-548.678881792
holdout,CIPLA,1,1,-393.3000000000032,165.1264968004,-558.4264968004031
holdout,TECHM,1,1,-661.5,165.3036464812,-826.8036464812
