path,name,bytes,gb,files,category
raw_synthetic_l2_dense_full_year,raw_synthetic_l2_dense_full_year,70591392905,65.74335778597742,384,synthetic_raw
real_data_sample,real_data_sample,14087725499,13.120216782204807,400813,real_raw_or_sample
scratch_azcopy_selected,scratch_azcopy_selected,5242732235,4.882674883119762,149308,scratch
raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache,4635703054,4.317334903404117,12,synthetic_raw
raw_synthetic_l2_phase162_distributional_full_year,raw_synthetic_l2_phase162_distributional_full_year,4141341739,3.856925050728023,384,synthetic_raw
outputs,outputs,1576066201,1.4678260320797563,2323,outputs
raw_synthetic_l2_phase108_symbol_aware_generator_overrides,raw_synthetic_l2_phase108_symbol_aware_generator_overrides,926229441,0.8626183876767755,384,synthetic_raw
raw_synthetic_l2_phase109_residual_imbalance_floor,raw_synthetic_l2_phase109_residual_imbalance_floor,926197929,0.8625890398398042,384,synthetic_raw
raw_synthetic_l2_phase106_full_symbol_calibrated_realism,raw_synthetic_l2_phase106_full_symbol_calibrated_realism,879367260,0.8189745806157589,384,synthetic_raw
raw_synthetic_l2_full_year,raw_synthetic_l2_full_year,491002806,0.4572819974273443,8064,synthetic_raw
raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache_smoke,raw_synthetic_l2_phase166_cross_symbol_lead_lag_cache_smoke,402215738,0.37459259666502476,1,synthetic_raw
raw_synthetic_l2_phase156_symbol_tail_cadence_smoke,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke,357833393,0.33325831685215235,32,synthetic_raw
raw_synthetic_l2_phase159_distributional_cadence_smoke,raw_synthetic_l2_phase159_distributional_cadence_smoke,357615839,0.33305570390075445,32,synthetic_raw
raw_synthetic_l2_phase162_smoke,raw_synthetic_l2_phase162_smoke,357615839,0.33305570390075445,32,synthetic_raw
raw_synthetic_l2_dense_phase50_multisymbol_x64,raw_synthetic_l2_dense_phase50_multisymbol_x64,269683823,0.251162632368505,36,synthetic_raw
raw_synthetic_l2_dense_phase51_smoke,raw_synthetic_l2_dense_phase51_smoke,199480956,0.185781117528677,1,synthetic_raw
derived_real_l2_receive_flow_features_phase176,derived_real_l2_receive_flow_features_phase176,178919247,0.16663153376430273,896,derived_or_code
raw_synthetic_l2_full_year_compact_monthly,raw_synthetic_l2_full_year_compact_monthly,177847919,0.16563378181308508,12,synthetic_raw
derived_real_l2_receive_flow_labels_phase181,derived_real_l2_receive_flow_labels_phase181,91602391,0.08531137462705374,896,derived_or_code
raw_synthetic_l2_dense_phase49_hdfcbank_x64,raw_synthetic_l2_dense_phase49_hdfcbank_x64,90102511,0.08391450252383947,12,synthetic_raw
raw_synthetic_l2_phase101_calibrated_quality,raw_synthetic_l2_phase101_calibrated_quality,69299190,0.06453990004956722,36,synthetic_raw
raw_synthetic_l2_phase102_anchored_price_quality,raw_synthetic_l2_phase102_anchored_price_quality,68697202,0.0639792550355196,36,synthetic_raw
scratch_azcopy_smoke,scratch_azcopy_smoke,56202239,0.05234241392463446,1578,scratch
scratch_azure_l2_selected_smoke,scratch_azure_l2_selected_smoke,38177099,0.03555519413203001,1076,scratch
raw_synthetic_l2_phase105_source_mid_volatility_scale,raw_synthetic_l2_phase105_source_mid_volatility_scale,27508190,0.02561899833381176,12,synthetic_raw
raw_synthetic_l2_phase104_real_anchor_cadence,raw_synthetic_l2_phase104_real_anchor_cadence,27191598,0.025324149057269096,12,synthetic_raw
derived_phase214_event_surprise_conditional_labels,derived_phase214_event_surprise_conditional_labels,18480705,0.017211497761309147,512,derived_or_code
src,src,11768355,0.01096013467758894,531,derived_or_code
derived_phase226_cost_aware_event_labels,derived_phase226_cost_aware_event_labels,3640228,0.003390226513147354,256,derived_or_code
Plan,Plan,541220,0.0005040504038333893,2,derived_or_code
scripts,scripts,324980,0.0003026612102985382,513,derived_or_code
raw_synthetic_l2_phase45_sample,raw_synthetic_l2_phase45_sample,93728,8.729100227355957e-05,2,synthetic_raw
scratch_azcopy_oauth_probe,scratch_azcopy_oauth_probe,0,0.0,0,scratch
scratch_azure_l2_download,scratch_azure_l2_download,0,0.0,0,scratch
