strategy_id,predictive_requirement,required_threshold,observed_value,current_evidence_status,proxy_evidence_available,acceptance_requirement_met,blocking_gap,evidence_source,required_next_evidence,acceptance_eligible_now
S01,baseline_outperformance,"beats no-skill, local majority and Brier proxy baselines with enough rows",rows=161956; baseline_pass_proxy=False; accuracy_excess_vs_majority=-0.07620838782466871; brier_skill=-0.019806998499550827,baseline_proxy_available_not_acceptance,True,False,Current baseline comparison is proxy-only and does not clear all required baseline checks.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run calibrated predictive validation and require positive accuracy/Brier skill versus no-skill and local-majority baselines.,False
S01,calibrated_model_output,calibrated probability or score model with acceptance-grade calibration diagnostics,ternary pseudo-probability proxy only,missing_calibrated_model_output,False,False,"Current Brier/calibration rows are deterministic ternary-signal pseudo-probabilities, not calibrated model outputs.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,"Train and freeze calibrated probability models, then evaluate Brier, calibration curve and baseline lift out of sample.",False
S01,feature_stability,stable predictive feature importance across seed samples,feature_proxy_available=True; stable_feature_count=3; feature_pass=True,feature_stability_proxy_available_not_acceptance,True,False,"Feature stability is a seed-sampled association proxy, not calibrated model importance stability.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Train calibrated predictive models across registered seeds and require stable feature importance / attribution.,False
S01,holdout_cell_stability,beats local-majority baseline in every quarter/feed/segment holdout cell,0/45 cells beating local majority; all_cell_pass=False,holdout_stability_proxy_available_not_acceptance,True,False,Current proxy holdout cells do not consistently beat local-majority baselines.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run predeclared holdout-cell validation over multi-seed synthetic and untouched holdout-generator outputs.,False
S01,multi_seed_walk_forward_validation,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,False
S01,promotion_falsification_clear,"not falsified by baseline, holdout, untouched-test, feature-stability or support checks",predictive_promotion_candidate_proxy=False; status=falsified_for_predictive_promotion_under_current_proxy_evidence,promotion_falsification_proxy_available_not_acceptance,True,False,Current predictive promotion-falsification ledger marks no strategy as acceptance-ready.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,"Clear the full predictive promotion-falsification checklist after calibrated, multi-seed and real/holdout validation.",False
S01,real_multi_day_holdout,predictive edge survives multi-day real market holdout,not available in current one-day/proxy evidence,missing_real_multi_day_predictive_holdout,False,False,Current predictive evidence has no multi-day real holdout validation.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Collect/run multiple real market days and compare predictive stability against synthetic and holdout-generator results.,False
S01,strategy_support_ready,strategy is runnable in the current feature product,support_level=runnable_proxy,runnable_proxy_not_acceptance,True,False,Runnable proxy support is necessary but not sufficient for predictive acceptance.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Implement missing required features/modules or explicitly classify the strategy as research-only before predictive promotion.,False
S01,untouched_test_stability,all untouched-test cells beat local-majority baseline,0/15 untouched cells beating local majority; untouched_pass=False,untouched_test_proxy_available_not_acceptance,True,False,Untouched-test stability is incomplete or failing in current proxy evidence.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Reserve untouched cells and require all to beat local-majority baselines without feature or threshold reuse.,False
S02,baseline_outperformance,"beats no-skill, local majority and Brier proxy baselines with enough rows",rows=877100; baseline_pass_proxy=False; accuracy_excess_vs_majority=-0.025435398642390694; brier_skill=-0.0740314560532337,baseline_proxy_available_not_acceptance,True,False,Current baseline comparison is proxy-only and does not clear all required baseline checks.,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv,Run calibrated predictive validation and require positive accuracy/Brier skill versus no-skill and local-majority baselines.,False
