strategy_id,strategy_name,primary_metric,promotion_allowed_now,current_evidence_label,phase16_mapped_metric_name,phase16_current_status,phase16_acceptance_ready
S01,Momentum/breakout filtered by MLOFI,false_breakout_reduction,False,engineering_and_within_day_falsification_only,precision_recall_by_direction,sample_proxy,False
S01,Momentum/breakout filtered by MLOFI,net_expectancy,False,engineering_and_within_day_falsification_only,expectancy_per_trade,computed_proxy,False
S01,Momentum/breakout filtered by MLOFI,mae,False,engineering_and_within_day_falsification_only,mae_mfe,sample_proxy,False
S01,Momentum/breakout filtered by MLOFI,mfe,False,engineering_and_within_day_falsification_only,mae_mfe,sample_proxy,False
S01,Momentum/breakout filtered by MLOFI,cost_sensitivity,False,engineering_and_within_day_falsification_only,cost_to_gross_profit_ratio,sample_proxy,False
S01,Momentum/breakout filtered by MLOFI,latency_tolerance,False,engineering_and_within_day_falsification_only,exposure_holding_time,sample_proxy,False
S01,Momentum/breakout filtered by MLOFI,regime_stability,False,engineering_and_within_day_falsification_only,strategy_specific_missing_or_not_mapped,strategy_specific_missing_or_not_mapped,False
S02,Pure multi-level OFI directional model,information_coefficient,False,engineering_and_within_day_falsification_only,information_coefficient,proxy_available,False
S02,Pure multi-level OFI directional model,directional_accuracy,False,engineering_and_within_day_falsification_only,directional_accuracy,computed_proxy,False
S02,Pure multi-level OFI directional model,calibration,False,engineering_and_within_day_falsification_only,calibration_curve,sample_proxy,False
S02,Pure multi-level OFI directional model,signal_deciles,False,engineering_and_within_day_falsification_only,future_return_by_signal_decile,sample_proxy,False
S02,Pure multi-level OFI directional model,net_edge_after_spread,False,engineering_and_within_day_falsification_only,expectancy_per_trade,computed_proxy,False
S02,Pure multi-level OFI directional model,incremental_l2_l5_value,False,engineering_and_within_day_falsification_only,incremental_r2,sample_proxy,False
S02,Pure multi-level OFI directional model,feature_stability,False,engineering_and_within_day_falsification_only,feature_importance_stability,sample_proxy,False
S03,Liquidity-vacuum breakout,net_expectancy,False,engineering_and_within_day_falsification_only,expectancy_per_trade,computed_proxy,False
S03,Liquidity-vacuum breakout,continuation_probability,False,engineering_and_within_day_falsification_only,directional_accuracy,computed_proxy,False
S03,Liquidity-vacuum breakout,slippage_sensitivity,False,engineering_and_within_day_falsification_only,cost_to_gross_profit_ratio,sample_proxy,False
S03,Liquidity-vacuum breakout,latency_tolerance,False,engineering_and_within_day_falsification_only,exposure_holding_time,sample_proxy,False
S03,Liquidity-vacuum breakout,false_positive_rate,False,engineering_and_within_day_falsification_only,precision_recall_by_direction,sample_proxy,False
S03,Liquidity-vacuum breakout,shock_template_stability,False,engineering_and_within_day_falsification_only,feature_importance_stability,sample_proxy,False
S04,Trade-flow plus depth confirmation,state_conditional_return,False,engineering_and_within_day_falsification_only,expectancy_per_trade,computed_proxy,False
S04,Trade-flow plus depth confirmation,classification_accuracy,False,engineering_and_within_day_falsification_only,directional_accuracy,computed_proxy,False
S04,Trade-flow plus depth confirmation,calibration,False,engineering_and_within_day_falsification_only,calibration_curve,sample_proxy,False
S04,Trade-flow plus depth confirmation,net_expectancy_by_state,False,engineering_and_within_day_falsification_only,expectancy_per_trade,computed_proxy,False
S04,Trade-flow plus depth confirmation,regime_stability,False,engineering_and_within_day_falsification_only,strategy_specific_missing_or_not_mapped,strategy_specific_missing_or_not_mapped,False
