strategy_id,support_level,acceptance_status,directional_eval_rows,directional_accuracy_excess_vs_no_skill,directional_accuracy_excess_vs_majority,brier_skill_score_proxy,baseline_pass_proxy,predictive_baseline_status,stability_cells,cells_with_minimum_rows,cells_beating_local_majority,cell_beat_fraction,untouched_test_cells,untouched_test_cells_beating_local_majority,min_accuracy_excess_vs_majority,holdout_all_cell_pass_proxy,untouched_test_pass_proxy,worst_segment_status,feature_stability_proxy_available,stable_feature_count_proxy,max_feature_top3_frequency_proxy,median_feature_importance_cv_proxy,predictive_promotion_candidate_proxy,falsification_status,acceptance_eligible_now,blocker,metric_scope
S01,runnable_proxy,blocked_not_promotable,161956.0,-0.06501765911729113,-0.07620838782466871,-0.019806998499550827,False,does_not_beat_required_proxy_baselines,45,45,0,0.0,15,0,-0.16736882420528537,False,False,fails_some_holdout_stability_cells,True,3,1.0,0.5679738899950765,False,falsified_for_predictive_promotion_under_current_proxy_evidence,False,"does not clear required no-skill, majority and Brier proxy baselines; does not beat local-majority baseline in every holdout stability cell; untouched-test segment stability is incomplete or failing; requires multi-seed/walk-forward rerun and later real multi-day holdout before acceptance",phase16_predictive_promotion_falsification_proxy_not_acceptance
S02,runnable_proxy,blocked_not_promotable,877100.0,-0.01424466993501311,-0.025435398642390694,-0.0740314560532337,False,does_not_beat_required_proxy_baselines,45,45,4,0.08888888888888889,15,4,-0.062012679443270435,False,False,fails_some_holdout_stability_cells,True,3,1.0,0.5679738899950765,False,falsified_for_predictive_promotion_under_current_proxy_evidence,False,"does not clear required no-skill, majority and Brier proxy baselines; does not beat local-majority baseline in every holdout stability cell; untouched-test segment stability is incomplete or failing; requires multi-seed/walk-forward rerun and later real multi-day holdout before acceptance",phase16_predictive_promotion_falsification_proxy_not_acceptance
S03,partial_missing_required_features,blocked_not_promotable,277765.0,-0.0321656796212626,-0.043356408328640184,-0.027069033352262423,False,unsupported_or_partial_strategy_proxy,45,45,0,0.0,15,0,-0.13699582753824763,False,False,fails_some_holdout_stability_cells,True,3,1.0,0.5679738899950765,False,falsified_for_predictive_promotion_under_current_proxy_evidence,False,"strategy support is partial or unsupported; does not clear required no-skill, majority and Brier proxy baselines; does not beat local-majority baseline in every holdout stability cell; untouched-test segment stability is incomplete or failing; requires multi-seed/walk-forward rerun and later real multi-day holdout before acceptance",phase16_predictive_promotion_falsification_proxy_not_acceptance
S04,partial_missing_required_features,blocked_not_promotable,420091.0,-0.019170846316631407,-0.03036157502400899,-0.03670879966627424,False,unsupported_or_partial_strategy_proxy,45,45,0,0.0,15,0,-0.08775928880784128,False,False,fails_some_holdout_stability_cells,True,3,1.0,0.5679738899950765,False,falsified_for_predictive_promotion_under_current_proxy_evidence,False,"strategy support is partial or unsupported; does not clear required no-skill, majority and Brier proxy baselines; does not beat local-majority baseline in every holdout stability cell; untouched-test segment stability is incomplete or failing; requires multi-seed/walk-forward rerun and later real multi-day holdout before acceptance",phase16_predictive_promotion_falsification_proxy_not_acceptance
S05,runnable_proxy,blocked_not_promotable,431486.0,-0.0026327621290145875,-0.013823490836392172,-0.03819297866770031,False,does_not_beat_required_proxy_baselines,45,45,4,0.08888888888888889,15,0,-0.03223898254954155,False,False,fails_some_holdout_stability_cells,True,3,1.0,0.5679738899950765,False,falsified_for_predictive_promotion_under_current_proxy_evidence,False,"does not clear required no-skill, majority and Brier proxy baselines; does not beat local-majority baseline in every holdout stability cell; untouched-test segment stability is incomplete or failing; requires multi-seed/walk-forward rerun and later real multi-day holdout before acceptance",phase16_predictive_promotion_falsification_proxy_not_acceptance
S06,partial_missing_required_features,blocked_not_promotable,33550.0,0.00545454545454549,-0.005736183252832094,-0.0027869858435997878,False,unsupported_or_partial_strategy_proxy,45,10,1,0.022222222222222223,15,0,-0.11956521739130438,False,False,fails_some_holdout_stability_cells,True,3,1.0,0.5679738899950765,False,falsified_for_predictive_promotion_under_current_proxy_evidence,False,"strategy support is partial or unsupported; does not clear required no-skill, majority and Brier proxy baselines; does not beat local-majority baseline in every holdout stability cell; untouched-test segment stability is incomplete or failing; requires multi-seed/walk-forward rerun and later real multi-day holdout before acceptance",phase16_predictive_promotion_falsification_proxy_not_acceptance
S07,runnable_proxy,blocked_not_promotable,227966.0,0.0014212645745418362,-0.009769464132835748,-0.015296289377245519,False,does_not_beat_required_proxy_baselines,45,45,4,0.08888888888888889,15,1,-0.017642734623866674,False,False,fails_some_holdout_stability_cells,True,3,1.0,0.5679738899950765,False,falsified_for_predictive_promotion_under_current_proxy_evidence,False,"does not clear required no-skill, majority and Brier proxy baselines; does not beat local-majority baseline in every holdout stability cell; untouched-test segment stability is incomplete or failing; requires multi-seed/walk-forward rerun and later real multi-day holdout before acceptance",phase16_predictive_promotion_falsification_proxy_not_acceptance
S08,partial_missing_required_features,blocked_not_promotable,434894.0,0.004005573771999615,-0.007185154935377969,-0.031106465613085665,False,unsupported_or_partial_strategy_proxy,45,45,5,0.1111111111111111,15,0,-0.05590281872862368,False,False,fails_some_holdout_stability_cells,True,3,1.0,0.5679738899950765,False,falsified_for_predictive_promotion_under_current_proxy_evidence,False,"strategy support is partial or unsupported; does not clear required no-skill, majority and Brier proxy baselines; does not beat local-majority baseline in every holdout stability cell; untouched-test segment stability is incomplete or failing; requires multi-seed/walk-forward rerun and later real multi-day holdout before acceptance",phase16_predictive_promotion_falsification_proxy_not_acceptance
S09,runnable_proxy,blocked_not_promotable,569284.0,-0.002280057054124207,-0.013470785761501791,-0.04824655701143241,False,does_not_beat_required_proxy_baselines,45,45,0,0.0,15,0,-0.03096003674781811,False,False,fails_some_holdout_stability_cells,True,3,1.0,0.5679738899950765,False,falsified_for_predictive_promotion_under_current_proxy_evidence,False,"does not clear required no-skill, majority and Brier proxy baselines; does not beat local-majority baseline in every holdout stability cell; untouched-test segment stability is incomplete or failing; requires multi-seed/walk-forward rerun and later real multi-day holdout before acceptance",phase16_predictive_promotion_falsification_proxy_not_acceptance
S10,not_supported_by_current_product,blocked_not_promotable,0.0,,,,False,unsupported_or_partial_strategy_proxy,0,0,0,0.0,0,0,,False,False,not_supported_by_current_product,True,3,1.0,0.5679738899950765,False,falsified_for_predictive_promotion_under_current_proxy_evidence,False,"strategy support is partial or unsupported; does not clear required no-skill, majority and Brier proxy baselines; does not beat local-majority baseline in every holdout stability cell; untouched-test segment stability is incomplete or failing; requires multi-seed/walk-forward rerun and later real multi-day holdout before acceptance",phase16_predictive_promotion_falsification_proxy_not_acceptance
