reconciliation_domain,reconciliation_item,proxy_field_or_artifact,proxy_evidence,zerodha_model_version,documented_formula_or_proxy_basis,documented_source_url,representative_scenarios_available,broker_contract_note_field_required,broker_contract_note_available_now,proxy_formula_available_now,actual_fill_available_now,reconciliation_status,acceptance_eligible_now,blocker
charges,brokerage,zerodha_brokerage_inr,outputs/phase12/cost_schedule.csv; outputs/phase12/charge_component_catalog.csv; outputs/phase12/representative_charge_scenarios.csv,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,"min(0.03% of executed order value, Rs 20) per buy/sell executed order",https://zerodha.com/charges/,6,contract_note_brokerage,False,True,False,proxy_formula_ready_broker_contract_note_missing,False,Broker contract-note row and broker/exchange fill identifiers are required before economic acceptance.
charges,gst,zerodha_gst_inr,outputs/phase12/cost_schedule.csv; outputs/phase12/charge_component_catalog.csv; outputs/phase12/representative_charge_scenarios.csv,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,18% of brokerage plus SEBI charges plus transaction charges,https://zerodha.com/charges/,6,contract_note_gst,False,True,False,proxy_formula_ready_broker_contract_note_missing,False,Broker contract-note row and broker/exchange fill identifiers are required before economic acceptance.
charges,nse_transaction_charge,zerodha_transaction_charge_inr,outputs/phase12/cost_schedule.csv; outputs/phase12/charge_component_catalog.csv; outputs/phase12/representative_charge_scenarios.csv,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0.00307% of buy plus sell turnover,https://zerodha.com/charges/,6,contract_note_exchange_transaction_charges,False,True,False,proxy_formula_ready_broker_contract_note_missing,False,Broker contract-note row and broker/exchange fill identifiers are required before economic acceptance.
charges,sebi_charge,zerodha_sebi_charge_inr,outputs/phase12/cost_schedule.csv; outputs/phase12/charge_component_catalog.csv; outputs/phase12/representative_charge_scenarios.csv,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Rs 10 per crore of buy plus sell turnover,https://zerodha.com/charges/,6,contract_note_sebi_turnover_fees,False,True,False,proxy_formula_ready_broker_contract_note_missing,False,Broker contract-note row and broker/exchange fill identifiers are required before economic acceptance.
charges,stamp_duty,zerodha_stamp_duty_inr,outputs/phase12/cost_schedule.csv; outputs/phase12/charge_component_catalog.csv; outputs/phase12/representative_charge_scenarios.csv,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0.003% on buy side,https://zerodha.com/charges/,6,contract_note_stamp_duty,False,True,False,proxy_formula_ready_broker_contract_note_missing,False,Broker contract-note row and broker/exchange fill identifiers are required before economic acceptance.
charges,stt,zerodha_stt_inr,outputs/phase12/cost_schedule.csv; outputs/phase12/charge_component_catalog.csv; outputs/phase12/representative_charge_scenarios.csv,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0.025% on equity intraday sell side; rounded to nearest rupee,https://support.zerodha.com/category/account-opening/resident-individual/ri-charges/articles/how-is-the-securities-transaction-tax-stt-calculated,6,contract_note_stt,False,True,False,proxy_formula_ready_broker_contract_note_missing,False,Broker contract-note row and broker/exchange fill identifiers are required before economic acceptance.
charges,total_charges,zerodha_total_charges_inr,outputs/phase12/cost_schedule.csv; outputs/phase12/charge_component_catalog.csv; outputs/phase12/representative_charge_scenarios.csv,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Phase 12 cost schedule component,,6,contract_note_total_charges,False,True,False,proxy_formula_ready_broker_contract_note_missing,False,Broker contract-note row and broker/exchange fill identifiers are required before economic acceptance.
fills_and_contract_note,contract_note_number,not_available_in_proxy,outputs/phase12/execution_summary.csv; outputs/phase12/trade_ledger_sample.parquet,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Simulated marketable-order proxy field; broker-confirmed source is not present.,,6,contract_note_number,False,False,False,broker_fill_or_contract_note_missing,False,Actual broker/exchange fills and contract-note identifiers are required before economic acceptance.
fills_and_contract_note,exchange_order_id,not_available_in_proxy,outputs/phase12/execution_summary.csv; outputs/phase12/trade_ledger_sample.parquet,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Simulated marketable-order proxy field; broker-confirmed source is not present.,,6,contract_note_or_orderbook_exchange_order_id,False,False,False,broker_fill_or_contract_note_missing,False,Actual broker/exchange fills and contract-note identifiers are required before economic acceptance.
fills_and_contract_note,exchange_trade_id,not_available_in_proxy,outputs/phase12/execution_summary.csv; outputs/phase12/trade_ledger_sample.parquet,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Simulated marketable-order proxy field; broker-confirmed source is not present.,,6,contract_note_trade_id,False,False,False,broker_fill_or_contract_note_missing,False,Actual broker/exchange fills and contract-note identifiers are required before economic acceptance.
