strategy_id,name,support_level,rows_evaluated,signal_rows,signal_fraction,directional_accuracy_nonzero,directional_accuracy_status,mean_future_return_when_signaled,signed_mean_future_return,information_coefficient_proxy,promotion_allowed,acceptance_status,metric_scope
S01,Momentum/breakout filtered by MLOFI,runnable_proxy,2259039,164347,0.0727508467095964,0.4343022896994383,proxy_threshold_not_met,7.631563340181627e-06,-0.0011058946140748,-0.0011058946140748,False,blocked_not_promotable,phase11_5m_proxy_diagnostic
S02,Pure multi-level OFI directional model,runnable_proxy,2259039,889386,0.3937010383618875,0.4852282570633443,proxy_threshold_not_met,-2.846635319226634e-07,-0.0001138749738473,-0.0001138749738473,False,blocked_not_promotable,phase11_5m_proxy_diagnostic
S03,Liquidity-vacuum breakout,partial_missing_required_features,2259039,280437,0.1241399550870967,0.4667490123914711,proxy_threshold_not_met,-5.557827884135418e-05,-0.0007002190251234,-0.0007002190251234,False,blocked_not_promotable,phase11_5m_proxy_diagnostic
S04,Trade-flow plus depth confirmation,partial_missing_required_features,2259039,424857,0.18806979427978,0.4807483053127582,proxy_threshold_not_met,-3.5295594839684494e-05,-0.0002029895080413,-0.0002029895080413,False,blocked_not_promotable,phase11_5m_proxy_diagnostic
S05,Microprice entry/exit filter,runnable_proxy,2259039,445761,0.1973232865833657,0.4970549662398569,proxy_threshold_not_met,-3.283749874119368e-05,-3.173406544904255e-05,-3.173406544904255e-05,False,blocked_not_promotable,phase11_5m_proxy_diagnostic
S06,Absorption and exhaustion reversal,partial_missing_required_features,2259039,33809,0.0149660984161849,0.5058174403262564,proxy_threshold_not_met,1.825262356343081e-05,4.177498873783354e-05,4.177498873783354e-05,False,blocked_not_promotable,phase11_5m_proxy_diagnostic
S07,Mean reversion after imbalance,runnable_proxy,2259039,234969,0.1040128125278049,0.5018027897183963,proxy_threshold_not_met,-4.186520240457083e-05,2.6168207619607295e-05,2.6168207619607295e-05,False,blocked_not_promotable,phase11_5m_proxy_diagnostic
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,2259039,442897,0.1960554908525262,0.506523238174045,proxy_threshold_not_met,-4.279309773015187e-05,2.132301475451864e-05,2.132301475451864e-05,False,blocked_not_promotable,phase11_5m_proxy_diagnostic
S09,Pure queue-imbalance scalping,runnable_proxy,2259039,585389,0.2591318697906499,0.4978171996937406,proxy_threshold_not_met,-1.4368176368434902e-05,-1.3759880224424898e-05,-1.3759880224424898e-05,False,blocked_not_promotable,phase11_5m_proxy_diagnostic
S10,Passive market making,not_supported_by_current_product,2259039,0,0.0,,proxy_threshold_not_met,,,,False,blocked_not_promotable,phase11_5m_proxy_diagnostic
S11,Spoof-like wall filter,not_supported_by_current_product,2259039,0,0.0,,proxy_threshold_not_met,,,,False,blocked_not_promotable,phase11_5m_proxy_diagnostic
