strategy_id,name,support_level,execution_profile,fill_model,queue_position_bucket,gross_edge_bps,cost_drag_bps,net_edge_bps,risk_penalty_bps,risk_adjusted_net_edge_bps,net_positive_proxy,risk_pass_candidate_proxy,net_positive_and_risk_pass_proxy,retail_or_stress_profile,retail_stress_net_positive_and_risk_pass_proxy,breach_days,daily_loss_breach_days,position_limit_breach_days,drawdown_breach_days,daily_halt_days,breach_day_fraction,daily_halt_day_fraction,risk_severity_score,risk_severity_band,risk_adjusted_frontier_status,promotion_allowed,acceptance_status,acceptance_eligible_now,blocker
S01,Momentum/breakout filtered by MLOFI,runnable_proxy,retail_marketable_default,pessimistic_partial,back_queue_proxy,74.760393289249,10.249237888938,64.51115540031,6.5273015873015865,57.983853813008416,True,False,False,True,False,1,0,1,0,0,0.0158730158730158,0.0,6.5273015873015865,low_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S01,Momentum/breakout filtered by MLOFI,runnable_proxy,retail_marketable_default,neutral_partial,middle_queue_proxy,74.760393289249,10.249237888938,64.51115540031,47.62573874856419,16.885416651745814,True,False,False,True,False,15,1,14,2,1,0.238095238095238,0.0158730158730158,47.62573874856419,medium_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S03,Liquidity-vacuum breakout,partial_missing_required_features,retail_marketable_default,pessimistic_partial,back_queue_proxy,59.836470487995996,9.620566718577999,50.215903769418,54.669565210705045,-4.453661441287046,True,False,False,True,False,14,4,10,3,4,0.2333333333333333,0.0666666666666666,54.669565210705045,medium_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S01,Momentum/breakout filtered by MLOFI,runnable_proxy,retail_marketable_default,optimistic_marketable,front_or_marketable,74.760393289249,10.249237888938,64.51115540031,74.69801706491926,-10.186861664609253,True,False,False,True,False,18,2,17,2,2,0.2857142857142857,0.0317460317460317,74.69801706491926,medium_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S06,Absorption and exhaustion reversal,partial_missing_required_features,zero_latency_spread_only_control,pessimistic_partial,back_queue_proxy,3.935459142181,2.080124557989,1.855334584192,13.426117703489387,-11.570783119297387,True,False,False,False,False,2,2,0,1,2,0.037037037037037,0.037037037037037,13.426117703489387,low_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S06,Absorption and exhaustion reversal,partial_missing_required_features,stressed_retail,pessimistic_partial,back_queue_proxy,2.526985915549,13.221550126634,-10.694564211084,27.23306678677809,-37.92763099786209,False,False,False,True,False,5,5,0,3,5,0.0925925925925925,0.0925925925925925,27.23306678677809,medium_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S06,Absorption and exhaustion reversal,partial_missing_required_features,zero_latency_spread_only_control,neutral_partial,middle_queue_proxy,3.935459142181,2.080124557989,1.855334584192,43.36996272628073,-41.51462814208873,True,False,False,False,False,8,8,0,6,8,0.1481481481481481,0.1481481481481481,43.36996272628073,medium_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S03,Liquidity-vacuum breakout,partial_missing_required_features,retail_marketable_default,neutral_partial,middle_queue_proxy,59.836470487995996,9.620566718577999,50.215903769418,98.22356424006396,-48.007660470645966,True,False,False,True,False,20,5,15,5,5,0.3333333333333333,0.0833333333333333,98.22356424006396,medium_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S06,Absorption and exhaustion reversal,partial_missing_required_features,zero_latency_spread_only_control,optimistic_marketable,front_or_marketable,3.935459142181,2.080124557989,1.855334584192,76.14636796309225,-74.29103337890025,True,False,False,False,False,16,14,0,15,14,0.2962962962962963,0.2592592592592592,76.14636796309225,medium_proxy_breach_severity,economic_positive_but_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S06,Absorption and exhaustion reversal,partial_missing_required_features,retail_marketable_default,pessimistic_partial,back_queue_proxy,-6.542820780013001,11.085536015200999,-17.628356795214,60.031564743855085,-77.65992153906909,False,False,False,True,False,9,9,0,8,9,0.1666666666666666,0.1666666666666666,60.031564743855085,medium_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
S06,Absorption and exhaustion reversal,partial_missing_required_features,stressed_retail,neutral_partial,middle_queue_proxy,2.526985915549,13.221550126634,-10.694564211084,73.67472323243912,-84.36928744352312,False,False,False,True,False,16,16,0,13,16,0.2962962962962963,0.2962962962962963,73.67472323243912,medium_proxy_breach_severity,economic_and_risk_blocked_proxy,False,blocked_not_promotable,False,Current row does not jointly clear proxy net-edge and proxy lifecycle risk-pass checks; do not promote.
