strategy_id,signal_score_bucket,rows,mean_future_return,mean_signed_future_return,positive_future_fraction,metric_scope
S01,flat_signal,2064452,-4.783745193184881e-06,0.0,0.48194908983772095,ternary_signal_bucket_not_true_decile
S01,long_signal,83319,-0.0010831637297560287,-0.0010831637297560287,0.42416322895180947,ternary_signal_bucket_not_true_decile
S01,short_signal,81028,0.0011292681954362862,-0.0011292681954362862,0.550512480405161,ternary_signal_bucket_not_true_decile
S02,flat_signal,1339413,-6.247820523833585e-06,0.0,0.48386842336109714,ternary_signal_bucket_not_true_decile
S02,long_signal,445543,-0.00011394184540010884,-0.00011394184540010884,0.46596668599581254,ternary_signal_bucket_not_true_decile
S02,short_signal,443843,0.00011380784616429261,-0.00011380784616429261,0.4938711295139952,ternary_signal_bucket_not_true_decile
S03,flat_signal,1948362,3.5746016357025856e-06,0.0,0.48148232588066614,ternary_signal_bucket_not_true_decile
S03,long_signal,143496,-0.0007385346230277179,-0.0007385346230277179,0.4572745254251257,ternary_signal_bucket_not_true_decile
S03,short_signal,136941,0.0006600693618606009,-0.0006600693618606009,0.5196820509148197,ternary_signal_bucket_not_true_decile
S04,flat_signal,1803942,3.5333690027238946e-06,0.0,0.4808460939385597,ternary_signal_bucket_not_true_decile
S04,long_signal,210826,-0.00024009632102948923,-0.00024009632102948923,0.46983728376851913,ternary_signal_bucket_not_true_decile
S04,short_signal,214031,0.00016643834977437505,-0.00016643834977437505,0.506603010642013,ternary_signal_bucket_not_true_decile
S05,flat_signal,1783038,3.3740663323390477e-06,0.0,0.4843138307320212,ternary_signal_bucket_not_true_decile
S05,long_signal,374843,-3.839405434409057e-05,-3.839405434409057e-05,0.47142387112906836,ternary_signal_bucket_not_true_decile
S05,short_signal,70918,-3.4678609643713796e-06,3.4678609643713796e-06,0.4886292509910286,ternary_signal_bucket_not_true_decile
S06,flat_signal,2194990,-4.208989900340373e-06,0.0,0.48197752348383305,ternary_signal_bucket_not_true_decile
S06,long_signal,16904,6.002938784587808e-05,6.002938784587808e-05,0.508269275564873,ternary_signal_bucket_not_true_decile
S06,short_signal,16905,-2.3521669452273934e-05,2.3521669452273934e-05,0.4959463400408282,ternary_signal_bucket_not_true_decile
S07,flat_signal,1993830,6.095990894446975e-07,0.0,0.4833299684492635,ternary_signal_bucket_not_true_decile
S07,long_signal,90654,-2.0342771238048495e-05,-2.0342771238048495e-05,0.483653301989465,ternary_signal_bucket_not_true_decile
S07,short_signal,144315,-5.53848952637325e-05,5.53848952637325e-05,0.46696471907193593,ternary_signal_bucket_not_true_decile
S08,flat_signal,1785902,5.784946102361152e-06,0.0,0.4855621447808411,ternary_signal_bucket_not_true_decile
S08,long_signal,221338,-2.1480801623894286e-05,-2.1480801623894286e-05,0.47879831082135643,ternary_signal_bucket_not_true_decile
S08,short_signal,221559,-6.408413531186525e-05,6.408413531186525e-05,0.45968659529321837,ternary_signal_bucket_not_true_decile
S09,flat_signal,1643410,-1.281575475081346e-07,0.0,0.48399858562973397,ternary_signal_bucket_not_true_decile
S09,long_signal,445887,-1.8464156749173677e-05,-1.8464156749173677e-05,0.47428659946667845,ternary_signal_bucket_not_true_decile
S09,short_signal,139502,-1.2762894849029851e-06,1.2762894849029851e-06,0.48763393330740123,ternary_signal_bucket_not_true_decile
