strategy_id,name,support_level,directional_eval_rows,directional_accuracy_nonzero,balanced_accuracy_proxy,rank_auc_proxy,incremental_r2_proxy,observed_up_fraction,no_skill_directional_accuracy_baseline,majority_direction_accuracy_baseline,directional_accuracy_excess_vs_no_skill,directional_accuracy_excess_vs_majority,brier_score_proxy,baseline_brier_score_proxy,brier_skill_score_proxy,beats_no_skill_accuracy_proxy,beats_majority_accuracy_proxy,beats_brier_baseline_proxy,has_minimum_directional_rows_proxy,predictive_baseline_status,promotion_allowed,acceptance_status,acceptance_eligible_now,metric_scope
S01,Momentum/breakout filtered by MLOFI,runnable_proxy,161956.0,0.4349823408827089,0.4348596873336702,0.49098099244880694,0.006735378301729485,0.48880927129262247,0.5,0.5111907287073776,-0.06501765911729113,-0.07620838782466871,0.2548240367377484,0.2498747675909979,-0.019806998499550827,False,False,False,True,does_not_beat_required_proxy_baselines,False,blocked_not_promotable,False,phase16_predictive_baseline_proxy_not_acceptance
S02,Pure multi-level OFI directional model,runnable_proxy,877100.0,0.4857553300649869,0.48575606507995917,0.4910316615642333,0.00039302484359957166,0.48880927129262247,0.5,0.5111907287073776,-0.01424466993501311,-0.025435398642390694,0.26837336046672283,0.2498747675909979,-0.0740314560532337,False,False,False,True,does_not_beat_required_proxy_baselines,False,blocked_not_promotable,False,phase16_predictive_baseline_proxy_not_acceptance
S03,Liquidity-vacuum breakout,partial_missing_required_features,277765.0,0.4678343203787374,0.4678040159511432,0.4925355280934946,0.00466175220585579,0.48880927129262247,0.5,0.5111907287073776,-0.0321656796212626,-0.043356408328640184,0.25663863600880743,0.2498747675909979,-0.027069033352262423,False,False,False,True,unsupported_or_partial_strategy_proxy,False,blocked_not_promotable,False,phase16_predictive_baseline_proxy_not_acceptance
S04,Trade-flow plus depth confirmation,partial_missing_required_features,420091.0,0.4808291536833686,0.4808457695951765,0.4935312135641555,0.0006095084663406606,0.48880927129262247,0.5,0.5111907287073776,-0.019170846316631407,-0.03036157502400899,0.25904737037615266,0.2498747675909979,-0.03670879966627424,False,False,False,True,unsupported_or_partial_strategy_proxy,False,blocked_not_promotable,False,phase16_predictive_baseline_proxy_not_acceptance
S05,Microprice entry/exit filter,runnable_proxy,431486.0,0.4973672378709854,0.4995832695035728,0.4961427780505469,1.255835496695823e-05,0.48880927129262247,0.5,0.5111907287073776,-0.0026327621290145875,-0.013823490836392172,0.25941822925919744,0.2498747675909979,-0.03819297866770031,False,False,False,True,does_not_beat_required_proxy_baselines,False,blocked_not_promotable,False,phase16_predictive_baseline_proxy_not_acceptance
S06,Absorption and exhaustion reversal,partial_missing_required_features,33550.0,0.5054545454545455,0.5053906401461349,0.5001936323799007,8.676782645319438e-07,0.48880927129262247,0.5,0.5111907287073776,0.00545454545454549,-0.005736183252832094,0.2505711650309468,0.2498747675909979,-0.0027869858435997878,True,False,False,True,unsupported_or_partial_strategy_proxy,False,blocked_not_promotable,False,phase16_predictive_baseline_proxy_not_acceptance
S07,Mean reversion after imbalance,runnable_proxy,227966.0,0.5014212645745418,0.5002801914174986,0.5019702874064971,5.507866718589575e-06,0.48880927129262247,0.5,0.5111907287073776,0.0014212645745418362,-0.009769464132835748,0.25369692434414176,0.2498747675909979,-0.015296289377245519,True,False,False,True,does_not_beat_required_proxy_baselines,False,blocked_not_promotable,False,phase16_predictive_baseline_proxy_not_acceptance
S08,Cross-ticker/index lead-lag OFI,partial_missing_required_features,434894.0,0.5040055737719996,0.5041601759205725,0.5013738165000305,3.757245459429926e-07,0.48880927129262247,0.5,0.5111907287073776,0.004005573771999615,-0.007185154935377969,0.25764748845664504,0.2498747675909979,-0.031106465613085665,True,False,False,True,unsupported_or_partial_strategy_proxy,False,blocked_not_promotable,False,phase16_predictive_baseline_proxy_not_acceptance
S09,Pure queue-imbalance scalping,runnable_proxy,569284.0,0.4977199429458758,0.49920970815735044,0.4962837167255915,3.107691660440057e-06,0.48880927129262247,0.5,0.5111907287073776,-0.002280057054124207,-0.013470785761501791,0.2619303648112954,0.2498747675909979,-0.04824655701143241,False,False,False,True,does_not_beat_required_proxy_baselines,False,blocked_not_promotable,False,phase16_predictive_baseline_proxy_not_acceptance
S10,Passive market making,not_supported_by_current_product,,,,,,,0.5,,,,,,,False,False,False,False,unsupported_or_partial_strategy_proxy,False,blocked_not_promotable,False,phase16_predictive_baseline_proxy_not_acceptance
S11,Spoof-like wall filter,not_supported_by_current_product,,,,,,,0.5,,,,,,,False,False,False,False,unsupported_or_partial_strategy_proxy,False,blocked_not_promotable,False,phase16_predictive_baseline_proxy_not_acceptance
