phase280_variant_id,target_family_id,target_family,target_rule,scenario_rows,selected_event_rows,max_scheduled_event_rows,cost200_above12_scenario_rows,max_annualized_pct,median_annualized_pct,min_annualized_pct,max_net_pnl_inr,best_scenario_id,best_initial_capital_inr,best_fixed_notional_inr,best_max_concurrent_positions,uses_top5,uses_levels_2_to_5,l1_only_variant,uses_net_edge_as_offline_label,uses_net_edge_as_live_mask,near_miss_under_12,too_sparse_for_portfolio_claim,material_full_depth_clue
P280_SPREAD_REPLENISH_COMBO_Q70,P279_SPREAD_COST_MARGIN_TARGET,spread_cost_margin,avg_spread_bps <= q30 and depth_replenish_withdraw_ratio >= q70 and avg_depth_beyond_l1_qty_imbalance >= q60,6,67,3,0,11.28247573982665,5.0531349851652525,4.465032100417179,358.17383301036983,P271_P280_SPREAD_REPLENISH_COMBO_Q70_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1,1,0,0,0,1,1,1
P280_TIME_TO_EXIT_SHORT_HQ90,P279_TIME_TO_EXIT_TARGET,time_to_exit,horizon <= 10 and depth_replenish_withdraw_ratio >= 12.933958,6,128,2,0,9.370481974163102,4.141519867592942,3.597798748104333,297.47561822740005,P271_P280_TIME_TO_EXIT_SHORT_HQ90_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1,1,0,0,0,1,1,1
P280_ADVERSE_SELECTION_AVOID_Q60,P279_ADVERSE_SELECTION_AVOIDANCE_TARGET,adverse_selection_avoidance,top5_churn_pressure <= 445889.435425 and depth_withdrawal_pressure <= 10300.394075,6,430,4,0,7.563871370341504,5.901319614427377,2.119383929256625,240.1229006457621,P271_P280_ADVERSE_SELECTION_AVOID_Q60_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,0,0,1,1,1
P280_ADVERSE_SELECTION_AVOID_Q80,P279_ADVERSE_SELECTION_AVOIDANCE_TARGET,adverse_selection_avoidance,top5_churn_pressure <= 71224.830695 and depth_withdrawal_pressure <= 1231.635970,6,230,4,0,6.088286104875008,6.079533589565383,3.0353905371278787,193.278923964286,P271_P280_ADVERSE_SELECTION_AVOID_Q80_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,0,0,1,1,1
P280_REPLENISH_CONFIRM_Q50,P279_REPLENISHMENT_CONFIRMATION_TARGET,depth_replenishment_confirmation,depth_replenish_withdraw_ratio >= 5.126904 and avg_level_weighted_depth_imbalance >= 0.557013,6,190,5,0,5.169739800625197,3.244867804826333,0.6599979045137341,164.11872382937133,P271_P280_REPLENISH_CONFIRM_Q50_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,0,0,1,1,1
P280_TIME_TO_EXIT_SHORT_HQ70,P279_TIME_TO_EXIT_TARGET,time_to_exit,horizon <= 10 and depth_replenish_withdraw_ratio >= 8.417774,6,384,3,0,4.496027101569071,2.153406608028296,-0.3784277710249582,142.73101909743085,P271_P280_TIME_TO_EXIT_SHORT_HQ70_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,0,0,1,1,1
P280_TIME_TO_EXIT_SHORT_HQ80,P279_TIME_TO_EXIT_TARGET,time_to_exit,horizon <= 10 and depth_replenish_withdraw_ratio >= 10.699868,6,256,3,0,4.496027101569071,2.153406608028296,-0.3784277710249582,142.73101909743085,P271_P280_TIME_TO_EXIT_SHORT_HQ80_CAP100000_NOT50000_CONC2_COST200,100000.0,50000.0,2,1,1,0,0,0,1,1,1
P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60,P279_NET_EDGE_DISTRIBUTION_SHIFT_TARGET,net_edge_distribution_shift,offline net-edge-positive label AND depth_consensus_imbalance >= 0.590831 and event_sparsity_pressure <= 1470251.984942,6,47,2,0,4.2743243673262805,4.178509834639897,2.1371621836631403,135.69283705797716,P271_P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q60_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1,1,0,1,0,1,1,1
P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q70,P279_NET_EDGE_DISTRIBUTION_SHIFT_TARGET,net_edge_distribution_shift,offline net-edge-positive label AND depth_consensus_imbalance >= 0.603199 and event_sparsity_pressure <= 825012.273327,6,47,2,0,4.2743243673262805,4.178509834639897,2.1371621836631403,135.69283705797716,P271_P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q70_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1,1,0,1,0,1,1,1
P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q80,P279_NET_EDGE_DISTRIBUTION_SHIFT_TARGET,net_edge_distribution_shift,offline net-edge-positive label AND depth_consensus_imbalance >= 0.616025 and event_sparsity_pressure <= 250903.160053,6,31,2,0,4.2743243673262805,4.178509834639897,2.1371621836631403,135.69283705797716,P271_P280_NET_EDGE_SHIFT_LABEL_ANCHORED_Q80_CAP100000_NOT100000_CONC1_COST200,100000.0,100000.0,1,1,1,0,1,0,1,1,1
