panel,trade_date,symbol,forward_ticks,max_hold_ticks,scan_points_possible,scan_points_feasible_min_hold,feasible_fraction,median_min_forward_hold,median_max_window_hold,p95_max_window_hold
synthetic,2026-01-01,ADANIPORTS,3,30,100,0,0.0,1.0,4.5,15.0
synthetic,2026-01-01,ADANIPORTS,3,60,100,0,0.0,1.0,9.5,30.0
synthetic,2026-01-01,ADANIPORTS,3,120,100,0,0.0,1.0,20.0,60.0
synthetic,2026-01-01,ADANIPORTS,3,250,99,0,0.0,1.0,41.0,125.0
synthetic,2026-01-01,ADANIPORTS,3,500,98,7,0.07142857142857142,1.0,75.0,250.0
synthetic,2026-01-01,ADANIPORTS,3,1000,96,16,0.16666666666666666,1.0,142.0,468.5
synthetic,2026-01-01,ADANIPORTS,3,1500,94,41,0.43617021276595747,1.0,212.0,639.6999999999998
synthetic,2026-01-01,ADANIPORTS,3,2500,90,90,1.0,1.0,350.0,966.2499999999998
synthetic,2026-01-01,ADANIPORTS,3,5000,80,80,1.0,0.5,697.5,1508.4999999999998
synthetic,2026-01-01,ADANIPORTS,6,30,100,0,0.0,1.0,4.5,15.0
synthetic,2026-01-01,ADANIPORTS,6,60,100,0,0.0,1.0,9.5,30.0
synthetic,2026-01-01,ADANIPORTS,6,120,100,0,0.0,1.0,20.0,60.0
synthetic,2026-01-01,ADANIPORTS,6,250,99,0,0.0,1.0,41.0,125.0
synthetic,2026-01-01,ADANIPORTS,6,500,98,7,0.07142857142857142,1.0,75.0,250.0
synthetic,2026-01-01,ADANIPORTS,6,1000,96,16,0.16666666666666666,1.0,142.0,468.5
synthetic,2026-01-01,ADANIPORTS,6,1500,94,41,0.43617021276595747,1.0,212.0,639.6999999999998
synthetic,2026-01-01,ADANIPORTS,6,2500,90,90,1.0,1.0,350.0,966.2499999999998
synthetic,2026-01-01,ADANIPORTS,6,5000,80,80,1.0,1.0,697.5,1508.4999999999998
synthetic,2026-01-01,ADANIPORTS,12,30,100,0,0.0,2.0,4.5,15.0
synthetic,2026-01-01,ADANIPORTS,12,60,100,0,0.0,2.0,9.5,30.0
synthetic,2026-01-01,ADANIPORTS,12,120,100,0,0.0,2.0,20.0,60.0
synthetic,2026-01-01,ADANIPORTS,12,250,99,0,0.0,2.0,41.0,125.0
synthetic,2026-01-01,ADANIPORTS,12,500,98,7,0.07142857142857142,2.0,75.0,250.0
synthetic,2026-01-01,ADANIPORTS,12,1000,96,16,0.16666666666666666,2.0,142.0,468.5
synthetic,2026-01-01,ADANIPORTS,12,1500,94,41,0.43617021276595747,2.0,212.0,639.6999999999998
synthetic,2026-01-01,ADANIPORTS,12,2500,90,90,1.0,2.0,350.0,966.2499999999998
synthetic,2026-01-01,ADANIPORTS,12,5000,80,80,1.0,2.0,697.5,1508.4999999999998
synthetic,2026-01-01,AXISBANK,3,30,100,0,0.0,1.0,5.0,10.0
synthetic,2026-01-01,AXISBANK,3,60,100,0,0.0,1.0,10.0,20.0
synthetic,2026-01-01,AXISBANK,3,120,100,0,0.0,1.0,20.0,40.0
synthetic,2026-01-01,AXISBANK,3,250,99,2,0.020202020202020204,1.0,42.0,84.0
synthetic,2026-01-01,AXISBANK,3,500,98,3,0.030612244897959183,1.0,84.0,167.0
synthetic,2026-01-01,AXISBANK,3,1000,96,12,0.125,1.0,167.0,333.0
synthetic,2026-01-01,AXISBANK,3,1500,94,78,0.8297872340425532,1.0,250.0,455.2999999999999
synthetic,2026-01-01,AXISBANK,3,2500,90,90,1.0,1.0,422.0,651.6999999999999
synthetic,2026-01-01,AXISBANK,3,5000,80,80,1.0,1.0,839.0,1097.3999999999999
synthetic,2026-01-01,AXISBANK,6,30,100,0,0.0,1.0,5.0,10.0
synthetic,2026-01-01,AXISBANK,6,60,100,0,0.0,1.0,10.0,20.0
synthetic,2026-01-01,AXISBANK,6,120,100,0,0.0,1.0,20.0,40.0
synthetic,2026-01-01,AXISBANK,6,250,99,2,0.020202020202020204,1.0,42.0,84.0
synthetic,2026-01-01,AXISBANK,6,500,98,3,0.030612244897959183,1.0,84.0,167.0
synthetic,2026-01-01,AXISBANK,6,1000,96,12,0.125,1.0,167.0,333.0
synthetic,2026-01-01,AXISBANK,6,1500,94,78,0.8297872340425532,1.0,250.0,455.2999999999999
synthetic,2026-01-01,AXISBANK,6,2500,90,90,1.0,1.0,422.0,651.6999999999999
synthetic,2026-01-01,AXISBANK,6,5000,80,80,1.0,1.0,839.0,1097.3999999999999
synthetic,2026-01-01,AXISBANK,12,30,100,0,0.0,2.0,5.0,10.0
synthetic,2026-01-01,AXISBANK,12,60,100,0,0.0,2.0,10.0,20.0
synthetic,2026-01-01,AXISBANK,12,120,100,0,0.0,2.0,20.0,40.0
synthetic,2026-01-01,AXISBANK,12,250,99,2,0.020202020202020204,2.0,42.0,84.0
synthetic,2026-01-01,AXISBANK,12,500,98,3,0.030612244897959183,2.0,84.0,167.0
synthetic,2026-01-01,AXISBANK,12,1000,96,12,0.125,2.0,167.0,333.0
synthetic,2026-01-01,AXISBANK,12,1500,94,78,0.8297872340425532,2.0,250.0,455.2999999999999
synthetic,2026-01-01,AXISBANK,12,2500,90,90,1.0,2.0,422.0,651.6999999999999
synthetic,2026-01-01,AXISBANK,12,5000,80,80,1.0,2.0,839.0,1097.3999999999999
synthetic,2026-01-01,BAJAJ-AUTO,3,30,100,0,0.0,1.0,6.0,15.0
synthetic,2026-01-01,BAJAJ-AUTO,3,60,100,0,0.0,1.0,12.0,30.0
synthetic,2026-01-01,BAJAJ-AUTO,3,120,100,0,0.0,1.0,24.0,60.0
synthetic,2026-01-01,BAJAJ-AUTO,3,250,99,0,0.0,1.0,50.0,99.79999999999984
synthetic,2026-01-01,BAJAJ-AUTO,3,500,98,3,0.030612244897959183,1.0,100.0,181.89999999999995
synthetic,2026-01-01,BAJAJ-AUTO,3,1000,96,39,0.40625,1.0,213.0,333.25
synthetic,2026-01-01,BAJAJ-AUTO,3,1500,94,94,1.0,1.0,325.0,487.15
synthetic,2026-01-01,BAJAJ-AUTO,3,2500,90,90,1.0,1.0,547.5,758.0
synthetic,2026-01-01,BAJAJ-AUTO,3,5000,80,80,1.0,1.0,1133.0,1383.0
synthetic,2026-01-01,BAJAJ-AUTO,6,30,100,0,0.0,1.0,6.0,15.0
synthetic,2026-01-01,BAJAJ-AUTO,6,60,100,0,0.0,1.0,12.0,30.0
synthetic,2026-01-01,BAJAJ-AUTO,6,120,100,0,0.0,1.0,24.0,60.0
synthetic,2026-01-01,BAJAJ-AUTO,6,250,99,0,0.0,1.0,50.0,99.79999999999984
synthetic,2026-01-01,BAJAJ-AUTO,6,500,98,3,0.030612244897959183,1.0,100.0,181.89999999999995
synthetic,2026-01-01,BAJAJ-AUTO,6,1000,96,39,0.40625,1.0,213.0,333.25
synthetic,2026-01-01,BAJAJ-AUTO,6,1500,94,94,1.0,1.0,325.0,487.15
synthetic,2026-01-01,BAJAJ-AUTO,6,2500,90,90,1.0,1.0,547.5,758.0
synthetic,2026-01-01,BAJAJ-AUTO,6,5000,80,80,1.0,1.0,1133.0,1383.0
synthetic,2026-01-01,BAJAJ-AUTO,12,30,100,0,0.0,3.0,6.0,15.0
synthetic,2026-01-01,BAJAJ-AUTO,12,60,100,0,0.0,3.0,12.0,30.0
synthetic,2026-01-01,BAJAJ-AUTO,12,120,100,0,0.0,3.0,24.0,60.0
synthetic,2026-01-01,BAJAJ-AUTO,12,250,99,0,0.0,3.0,50.0,99.79999999999984
synthetic,2026-01-01,BAJAJ-AUTO,12,500,98,3,0.030612244897959183,3.0,100.0,181.89999999999995
synthetic,2026-01-01,BAJAJ-AUTO,12,1000,96,39,0.40625,3.0,213.0,333.25
synthetic,2026-01-01,BAJAJ-AUTO,12,1500,94,94,1.0,3.0,325.0,487.15
synthetic,2026-01-01,BAJAJ-AUTO,12,2500,90,90,1.0,3.0,547.5,758.0
synthetic,2026-01-01,BAJAJ-AUTO,12,5000,80,80,1.0,3.0,1133.0,1383.0
synthetic,2026-01-01,BANKBEES,3,30,100,0,0.0,0.0,5.0,15.0
synthetic,2026-01-01,BANKBEES,3,60,100,0,0.0,0.0,10.0,30.0
synthetic,2026-01-01,BANKBEES,3,120,100,0,0.0,0.0,20.0,60.0
synthetic,2026-01-01,BANKBEES,3,250,99,1,0.010101010101010102,0.0,42.0,125.0
synthetic,2026-01-01,BANKBEES,3,500,98,7,0.07142857142857142,0.0,84.0,250.0
synthetic,2026-01-01,BANKBEES,3,1000,96,13,0.13541666666666666,0.0,168.5,419.0
synthetic,2026-01-01,BANKBEES,3,1500,94,61,0.648936170212766,0.0,254.0,535.8499999999998
synthetic,2026-01-01,BANKBEES,3,2500,90,90,1.0,0.0,427.0,759.0999999999998
synthetic,2026-01-01,BANKBEES,3,5000,80,80,1.0,0.0,840.0,1228.1
synthetic,2026-01-01,BANKBEES,6,30,100,0,0.0,1.0,5.0,15.0
synthetic,2026-01-01,BANKBEES,6,60,100,0,0.0,1.0,10.0,30.0
synthetic,2026-01-01,BANKBEES,6,120,100,0,0.0,1.0,20.0,60.0
synthetic,2026-01-01,BANKBEES,6,250,99,1,0.010101010101010102,1.0,42.0,125.0
synthetic,2026-01-01,BANKBEES,6,500,98,7,0.07142857142857142,1.0,84.0,250.0
synthetic,2026-01-01,BANKBEES,6,1000,96,13,0.13541666666666666,1.0,168.5,419.0
synthetic,2026-01-01,BANKBEES,6,1500,94,61,0.648936170212766,1.0,254.0,535.8499999999998
synthetic,2026-01-01,BANKBEES,6,2500,90,90,1.0,1.0,427.0,759.0999999999998
synthetic,2026-01-01,BANKBEES,6,5000,80,80,1.0,1.0,840.0,1228.1
synthetic,2026-01-01,BANKBEES,12,30,100,0,0.0,2.0,5.0,15.0
synthetic,2026-01-01,BANKBEES,12,60,100,0,0.0,2.0,10.0,30.0
synthetic,2026-01-01,BANKBEES,12,120,100,0,0.0,2.0,20.0,60.0
synthetic,2026-01-01,BANKBEES,12,250,99,1,0.010101010101010102,2.0,42.0,125.0
synthetic,2026-01-01,BANKBEES,12,500,98,7,0.07142857142857142,2.0,84.0,250.0
synthetic,2026-01-01,BANKBEES,12,1000,96,13,0.13541666666666666,2.0,168.5,419.0
synthetic,2026-01-01,BANKBEES,12,1500,94,61,0.648936170212766,2.0,254.0,535.8499999999998
synthetic,2026-01-01,BANKBEES,12,2500,90,90,1.0,2.0,427.0,759.0999999999998
synthetic,2026-01-01,BANKBEES,12,5000,80,80,1.0,2.0,840.0,1228.1
synthetic,2026-01-01,BHARTIARTL,3,30,100,0,0.0,1.0,5.0,15.0
synthetic,2026-01-01,BHARTIARTL,3,60,100,0,0.0,1.0,10.0,30.0
synthetic,2026-01-01,BHARTIARTL,3,120,100,0,0.0,1.0,20.0,60.0
synthetic,2026-01-01,BHARTIARTL,3,250,99,0,0.0,1.0,42.0,125.0
synthetic,2026-01-01,BHARTIARTL,3,500,98,9,0.09183673469387756,1.0,84.0,250.0
synthetic,2026-01-01,BHARTIARTL,3,1000,96,20,0.20833333333333334,1.0,167.0,468.5
synthetic,2026-01-01,BHARTIARTL,3,1500,94,60,0.6382978723404256,1.0,250.0,625.0
synthetic,2026-01-01,BHARTIARTL,3,2500,90,90,1.0,1.0,417.0,878.85
synthetic,2026-01-01,BHARTIARTL,3,5000,80,80,1.0,1.0,820.0,1337.1499999999999
synthetic,2026-01-01,BHARTIARTL,6,30,100,0,0.0,1.0,5.0,15.0
synthetic,2026-01-01,BHARTIARTL,6,60,100,0,0.0,1.0,10.0,30.0
synthetic,2026-01-01,BHARTIARTL,6,120,100,0,0.0,1.0,20.0,60.0
synthetic,2026-01-01,BHARTIARTL,6,250,99,0,0.0,1.0,42.0,125.0
synthetic,2026-01-01,BHARTIARTL,6,500,98,9,0.09183673469387756,1.0,84.0,250.0
synthetic,2026-01-01,BHARTIARTL,6,1000,96,20,0.20833333333333334,1.0,167.0,468.5
synthetic,2026-01-01,BHARTIARTL,6,1500,94,60,0.6382978723404256,1.0,250.0,625.0
synthetic,2026-01-01,BHARTIARTL,6,2500,90,90,1.0,1.0,417.0,878.85
synthetic,2026-01-01,BHARTIARTL,6,5000,80,80,1.0,1.0,820.0,1337.1499999999999
synthetic,2026-01-01,BHARTIARTL,12,30,100,0,0.0,2.0,5.0,15.0
synthetic,2026-01-01,BHARTIARTL,12,60,100,0,0.0,2.0,10.0,30.0
synthetic,2026-01-01,BHARTIARTL,12,120,100,0,0.0,2.0,20.0,60.0
synthetic,2026-01-01,BHARTIARTL,12,250,99,0,0.0,2.0,42.0,125.0
synthetic,2026-01-01,BHARTIARTL,12,500,98,9,0.09183673469387756,2.0,84.0,250.0
synthetic,2026-01-01,BHARTIARTL,12,1000,96,20,0.20833333333333334,2.0,167.0,468.5
synthetic,2026-01-01,BHARTIARTL,12,1500,94,60,0.6382978723404256,2.0,250.0,625.0
synthetic,2026-01-01,BHARTIARTL,12,2500,90,90,1.0,2.0,417.0,878.85
synthetic,2026-01-01,BHARTIARTL,12,5000,80,80,1.0,2.0,820.0,1337.1499999999999
synthetic,2026-01-01,BPCL,3,30,100,0,0.0,1.0,5.0,15.0
synthetic,2026-01-01,BPCL,3,60,100,0,0.0,1.0,10.0,30.0
synthetic,2026-01-01,BPCL,3,120,100,0,0.0,1.0,20.0,60.0
synthetic,2026-01-01,BPCL,3,250,99,2,0.020202020202020204,1.0,41.0,99.79999999999984
synthetic,2026-01-01,BPCL,3,500,98,4,0.04081632653061224,1.0,83.0,187.14999999999964
synthetic,2026-01-01,BPCL,3,1000,96,17,0.17708333333333334,1.0,166.0,346.0
synthetic,2026-01-01,BPCL,3,1500,94,47,0.5,1.0,249.5,486.3499999999999
synthetic,2026-01-01,BPCL,3,2500,90,90,1.0,1.0,400.0,723.5999999999999
synthetic,2026-01-01,BPCL,3,5000,80,80,1.0,1.0,772.0,1210.1
synthetic,2026-01-01,BPCL,6,30,100,0,0.0,1.0,5.0,15.0
synthetic,2026-01-01,BPCL,6,60,100,0,0.0,1.0,10.0,30.0
synthetic,2026-01-01,BPCL,6,120,100,0,0.0,1.0,20.0,60.0
synthetic,2026-01-01,BPCL,6,250,99,2,0.020202020202020204,1.0,41.0,99.79999999999984
synthetic,2026-01-01,BPCL,6,500,98,4,0.04081632653061224,1.0,83.0,187.14999999999964
synthetic,2026-01-01,BPCL,6,1000,96,17,0.17708333333333334,1.0,166.0,346.0
synthetic,2026-01-01,BPCL,6,1500,94,47,0.5,1.0,249.5,486.3499999999999
synthetic,2026-01-01,BPCL,6,2500,90,90,1.0,1.0,400.0,723.5999999999999
synthetic,2026-01-01,BPCL,6,5000,80,80,1.0,1.0,772.0,1210.1
synthetic,2026-01-01,BPCL,12,30,100,0,0.0,2.0,5.0,15.0
synthetic,2026-01-01,BPCL,12,60,100,0,0.0,2.0,10.0,30.0
synthetic,2026-01-01,BPCL,12,120,100,0,0.0,2.0,20.0,60.0
