root,data_kind,trade_date,is_phase237_discovery_date,is_unseen_candidate_date
real_data_sample\l2_multiday_panel,raw_l2_parquet,2026-07-08,True,False
real_data_sample\l2_multiday_panel,raw_l2_parquet,2026-07-09,True,False
real_data_sample\l2_multiday_panel,raw_l2_parquet,2026-07-10,True,False
real_data_sample\l2_multiday_panel,raw_l2_parquet,2026-07-13,True,False
real_data_sample\l2_multiday_panel,raw_l2_parquet,2026-07-14,True,False
real_data_sample\l2_multiday_panel,raw_l2_parquet,2026-07-15,True,False
real_data_sample\l2_multiday_panel,raw_l2_parquet,2026-07-16,True,False
scratch_azcopy_selected\raw_l2,raw_l2_parquet,2026-07-08,True,False
scratch_azcopy_selected\raw_l2,raw_l2_parquet,2026-07-09,True,False
scratch_azcopy_selected\raw_l2,raw_l2_parquet,2026-07-10,True,False
scratch_azcopy_selected\raw_l2,raw_l2_parquet,2026-07-14,True,False
derived_real_l2_receive_flow_features_phase176,derived_receive_flow_features,2026-07-08,True,False
derived_real_l2_receive_flow_features_phase176,derived_receive_flow_features,2026-07-09,True,False
derived_real_l2_receive_flow_features_phase176,derived_receive_flow_features,2026-07-10,True,False
derived_real_l2_receive_flow_features_phase176,derived_receive_flow_features,2026-07-13,True,False
derived_real_l2_receive_flow_features_phase176,derived_receive_flow_features,2026-07-14,True,False
derived_real_l2_receive_flow_features_phase176,derived_receive_flow_features,2026-07-15,True,False
derived_real_l2_receive_flow_features_phase176,derived_receive_flow_features,2026-07-16,True,False
