contract_id,contract_value,description
thesis_id,P431_GEOMETRY_CONSISTENT_FULL_DEPTH_FEATURE_SWEEP,Geometry-consistent repair precommit after Phase430.
relationship_to_phase427,same_feature_threshold_grid_with_timing_geometry_repair_only,Feature thresholds are preserved; only max-hold geometry is repaired.
synthetic_geometry,forward_ticks=3;min_hold_ms=250.0;max_hold_ticks=2500,From Phase430 synthetic feasibility recommendation.
real_anchor_geometry,forward_ticks=3;min_hold_ms=250.0;max_hold_ticks=500,From Phase430 real-anchor feasibility recommendation.
scenario_rows,972,Frozen repaired grid rows.
families,depth_pressure_continuation;depth_pressure_reversal;spread_compression_breakout;spread_expansion_fade;queue_churn_followthrough;book_slope_migration,Same Phase427 feature families.
execution_profile,single_name_taker_entry_taker_exit_exact_forward_ticks_cost200,No passive fills or maker rebate.
full_depth_required,L1_to_L5_price_quantity_orders_levels_2_to_5_materiality,Primary scenarios require top-five book state.
controls,l1_only_removed_depth;side_flip;real_anchor_cross_check,Controls must be reported.
cost_model,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Pinned Zerodha equity intraday NSE formula.
capital,initial=1000000.0;order_notional=100000.0,Fixed capital denominator.
acceptance,round_trips>=30;dates>=5;symbols>=5;positive_date_fraction>=0.6;annualized>=12.0;l2_l5_edge_delta>=5.0,Strict acceptance remains unchanged.
forbidden,feature_threshold_tuning;pair_spread_rescue;queue_depletion_threshold_rescue;market_maker_rescue;promotion;paper_live;deployable_claim,Closed routes and boundaries.
