symbol,median_abs_l1_imbalance,median_l1_depth,median_l5_depth,median_spread_bps,one_tick_return_std,p90_spread_bps
ADANIPORTS,0.6296296296296297,131.0,1088.0,2.207261891623943,0.0004411553501896,3.8593258401394497
AXISBANK,0.5495978552278821,249.0,3048.0,1.5143484515790528,0.0004231706657462,3.025947499809846
BAJAJ-AUTO,0.5789473684210527,61.0,366.0,2.466273707056009,0.0007120099059319,4.374433608466025
BANKBEES,0.8080307101727447,403.0,5262.0,3.3338889814976747,0.000217664533879,5.6550400307047
BHARTIARTL,0.5478260869565217,415.0,3715.0,2.0929259104232467,0.0004374798903004,3.1563664413141352
BPCL,0.6534859521331946,2059.0,19762.0,1.639209900828174,0.0006153089784578,4.899959167006198
BRITANNIA,0.5420363329108576,35.0,406.5,2.817562808170932,0.0004900395431743,5.59753708368318
CIPLA,0.6756756756756757,136.0,1594.0,2.803869339687814,0.0004395412175018,4.90069113575094
DRREDDY,0.6188312886265104,271.5,2642.0,3.246489732975113,0.0005422428372631,4.86933939295495
GOLDBEES,0.7474247686637312,11211.5,95705.5,0.8570816370263652,0.0002850981786107,2.56486983285608
HCLTECH,0.6606060606060606,339.5,4819.0,3.2557382386445024,0.0009230660025647,4.262175318971785
HDFCBANK,0.6221233709952622,1010.0,15104.0,1.220479648502139,0.0002661320563781,2.4508455616850657
HINDUNILVR,0.6277653381101658,188.5,1287.0,1.410304626579205,0.0004491870726258,3.52031676225702
ICICIBANK,0.6189433235605364,580.0,6394.0,1.4178363816818766,0.0002723495224193,2.8435345134008028
INFY,0.7581573896353166,613.0,9352.0,1.814223512337132,0.0006784295765149,3.66367466569052
ITBEES,0.6847403586078421,134432.0,2152154.5,3.127941694266626,0.0008419522636051,6.297229219143444
ITC,0.5893918609967993,5559.0,113657.0,1.7871503887056162,0.0003538134638181,3.925553837585375
JUNIORBEES,0.8632375189107413,417.0,8912.0,3.6007767389819154,0.0002105588049157,5.535779804703658
KOTAKBANK,0.6708571428571428,1719.0,25525.0,2.623294858342674,0.0004387580939967,3.96432111000931
LT,0.5492957746478874,106.0,481.0,1.2775471095496649,0.0003339160897955,2.8017982450552315
M&M,0.6765475152571927,47.0,447.0,1.2672263583071004,0.0004201292138649,2.8643906801859527
MARUTI,0.592948717948718,40.0,411.0,2.911530203192002,0.0004288971469949,4.362050163576881
NESTLEIND,0.6190476190476191,349.0,2850.0,2.4406884964413558,0.0006511569426619,4.188189306157591
NIFTYBEES,0.8034544371649791,2941.0,51029.5,1.4575665925723724,0.000149830079434,3.6411964983767007
ONGC,0.6120805369127517,1042.0,7000.5,1.6212053661894394,0.0005115545132356,3.635702599527496
RELIANCE,0.7167036670286846,986.0,11881.5,0.7711586658948066,0.0002014198966872,3.078817733990848
SBIN,0.6489188956738625,1048.0,13743.5,1.9254837777996103,0.0003895484406278,3.844972239728642
SUNPHARMA,0.6103896103896104,113.0,986.0,1.5569452733734048,0.0003448151930137,3.128258602710684
TCS,0.6826086956521739,231.0,2997.0,1.8300773207672187,0.0006492641320056,3.214444927692387
TECHM,0.6256684491978609,137.0,1436.0,3.28655470470306,0.0008667501064612,4.671653778297445
ULTRACEMCO,0.6666666666666666,30.0,309.0,2.584981258885873,0.0004419039059071,4.316112046268722
WIPRO,0.7019619685292031,1427.0,14713.0,2.227853756952737,0.0005066272743296,3.408122692417056
