execution_profile,split,trade_month,trades,symbols,gross_pnl_inr,cost_pnl_drag_inr,net_pnl_inr,precision_cost_clear
retail_marketable_default,test,2026-07,25941,4,-32.16920629427466,2670522.8656331105,-2670555.0348394057,0.0
retail_marketable_default,test,2026-08,21796,4,-141.10456192432122,2293693.361692861,-2293834.466254786,0.0
retail_marketable_default,test,2026-09,22754,5,259.8678102902152,2391337.837374799,-2391077.9695645086,4.394831677946735e-05
retail_marketable_default,test,2026-10,24839,4,-187.3775484669049,2533484.2348199403,-2533671.6123684077,0.0
retail_marketable_default,test,2026-11,22513,4,-252.272708211132,2332776.0965589643,-2333028.3692671754,0.0
retail_marketable_default,test,2026-12,14194,4,0.0,1469303.338142078,-1469303.338142078,0.0
retail_marketable_default,train,2026-01,24517,4,0.0,2521055.7483898555,-2521055.7483898555,0.0
retail_marketable_default,train,2026-02,21356,4,19.56418449957642,2223590.1960079493,-2223570.63182345,0.0
retail_marketable_default,train,2026-03,23456,4,206.18768973451608,2412115.5087825223,-2411909.321092788,4.263301500682128e-05
retail_marketable_default,train,2026-04,24173,4,-259.6664673509275,2505979.091364938,-2506238.7578322887,0.0
retail_marketable_default,train,2026-05,24195,4,-18.849439520052247,2511278.228639044,-2511297.0780785643,0.0
retail_marketable_default,train,2026-06,22858,4,501.3119526374732,2386076.729045737,-2385575.4170930996,4.374835943652113e-05
stressed_retail,test,2026-07,25904,4,4.2148446829815,3075602.1719919923,-3075597.957147309,0.0
stressed_retail,test,2026-08,21763,4,-80.41267440661582,2633816.9109243313,-2633897.323598738,0.0
stressed_retail,test,2026-09,22714,5,-162.48504731389835,2745761.492890325,-2745923.9779376388,0.0
stressed_retail,test,2026-10,24794,4,-233.7511529366787,2920177.0136809964,-2920410.764833933,0.0
stressed_retail,test,2026-11,22478,4,-330.6563260350059,2684013.488303641,-2684344.1446296754,0.0
stressed_retail,test,2026-12,14169,4,0.0,1690354.2097658052,-1690354.2097658052,0.0
stressed_retail,train,2026-01,24483,4,74.3557574855669,2904015.0222061113,-2903940.666448626,0.0
stressed_retail,train,2026-02,21327,4,53.980903064454466,2557283.282428798,-2557229.3015257334,0.0
stressed_retail,train,2026-03,23418,4,276.8010115768105,2777819.4379512686,-2777542.6369396914,4.270219489281749e-05
stressed_retail,train,2026-04,24134,4,-298.1643499673781,2882853.752848178,-2883151.9171981458,0.0
stressed_retail,train,2026-05,24156,4,41.9526846678453,2888526.569926179,-2888484.617241511,0.0
stressed_retail,train,2026-06,22820,4,707.3056344792716,2742353.3834545654,-2741646.0778200864,4.3821209465381244e-05
zero_latency_spread_only_control,test,2026-07,25978,4,-75.66231053275362,376199.3065734533,-376274.96888398606,3.849411040110863e-05
zero_latency_spread_only_control,test,2026-08,21832,4,-227.81988383854258,366065.8162511043,-366293.6361349428,0.0
zero_latency_spread_only_control,test,2026-09,22798,5,87.69696455344089,379077.9119451606,-378990.21498060715,4.3863496797964735e-05
zero_latency_spread_only_control,test,2026-10,24880,4,-49.11017048244703,336701.6234702641,-336750.73364074656,0.0
zero_latency_spread_only_control,test,2026-11,22554,4,0.0,341738.16761296534,-341738.16761296534,0.0
zero_latency_spread_only_control,test,2026-12,14221,4,0.0,214096.52006657652,-214096.52006657652,0.0
zero_latency_spread_only_control,train,2026-01,24557,4,34.77093881536497,352727.96959445416,-352693.1986556388,4.072158651301055e-05
zero_latency_spread_only_control,train,2026-02,21396,4,0.0,334883.8881943293,-334883.8881943293,0.0
zero_latency_spread_only_control,train,2026-03,23500,4,-56.14505859261598,337699.7323524869,-337755.8774110797,0.0
zero_latency_spread_only_control,train,2026-04,24210,4,-259.6664673509275,368127.8828166564,-368387.5492840074,4.130524576621231e-05
zero_latency_spread_only_control,train,2026-05,24234,4,119.6354625339957,371462.97359851596,-371343.3381359819,4.126433935792688e-05
zero_latency_spread_only_control,train,2026-06,22902,4,0.0,364690.873112816,-364690.873112816,0.0
