execution_profile,split,symbol,trades,months,gross_pnl_inr,cost_pnl_drag_inr,net_pnl_inr,precision_cost_clear
retail_marketable_default,test,BRITANNIA,5365,6,101.90350931696955,590492.0431375706,-590390.1396282535,0.0001863932898415657
retail_marketable_default,test,CIPLA,1,1,0.0,119.87610515625424,-119.87610515625424,0.0
retail_marketable_default,test,DRREDDY,126525,6,-454.9597239233871,13085762.559478331,-13086217.519202257,0.0
retail_marketable_default,test,HINDUNILVR,27,6,0.0,2736.4736157509315,-2736.4736157509315,0.0
retail_marketable_default,test,SUNPHARMA,119,6,0.0,12006.78188513941,-12006.78188513941,0.0
retail_marketable_default,train,BRITANNIA,5732,6,788.7643291983882,626516.4249994104,-625727.660670212,0.0003489183531053733
retail_marketable_default,train,DRREDDY,134653,6,-340.2164091978022,13916551.142761089,-13916891.359170288,0.0
retail_marketable_default,train,HINDUNILVR,44,6,0.0,4381.910123483958,-4381.910123483958,0.0
retail_marketable_default,train,SUNPHARMA,126,6,0.0,12646.024346351194,-12646.024346351194,0.0
stressed_retail,test,BRITANNIA,5348,6,-315.0465639771283,669882.2506379584,-670197.2972019354,0.0
stressed_retail,test,CIPLA,1,1,0.0,135.5759943987816,-135.5759943987816,0.0
stressed_retail,test,DRREDDY,126329,6,-488.043792032089,15062941.083994068,-15063429.1277861,0.0
stressed_retail,test,HINDUNILVR,26,6,0.0,3029.4682085212094,-3029.4682085212094,0.0
stressed_retail,test,SUNPHARMA,118,6,0.0,13736.90872236258,-13736.90872236258,0.0
stressed_retail,train,BRITANNIA,5711,6,1004.7081411616921,710963.6775199438,-709958.9693787821,0.0003502013657853266
stressed_retail,train,DRREDDY,134457,6,-148.4764998551214,16022223.8546637,-16022372.331163555,0.0
stressed_retail,train,HINDUNILVR,44,6,0.0,5062.544805566414,-5062.544805566414,0.0
stressed_retail,train,SUNPHARMA,126,6,0.0,14601.37182587734,-14601.37182587734,0.0
zero_latency_spread_only_control,test,BRITANNIA,5391,6,-283.08758226107676,119709.45096182695,-119992.53854408799,0.0001854943424225561
zero_latency_spread_only_control,test,CIPLA,1,1,0.0,31.490552834152936,-31.490552834152936,0.0
zero_latency_spread_only_control,test,DRREDDY,126724,6,18.192181960774434,1892249.94711761,-1892231.7549356492,7.891165051608219e-06
zero_latency_spread_only_control,test,HINDUNILVR,28,6,0.0,377.5223545620028,-377.5223545620028,0.0
zero_latency_spread_only_control,test,SUNPHARMA,119,6,0.0,1510.9349327213283,-1510.9349327213283,0.0
zero_latency_spread_only_control,train,BRITANNIA,5760,6,-55.34605501626988,123484.36603552631,-123539.71209054258,0.00017361111111111112
zero_latency_spread_only_control,train,DRREDDY,134866,6,-106.05906957791292,2004029.6046309432,-2004135.6637005215,1.4829534500912016e-05
zero_latency_spread_only_control,train,HINDUNILVR,46,6,0.0,536.131294617876,-536.131294617876,0.0
zero_latency_spread_only_control,train,SUNPHARMA,127,6,0.0,1543.217708175442,-1543.217708175442,0.0
