column,column_group,required_for_phase254,present_in_sample_schema
collector_received_utc,core_tick,1,1
collector_received_utc_ms,core_tick,1,1
trade_date,core_tick,1,1
exchange,core_tick,1,1
tradingsymbol,core_tick,1,1
last_price,core_tick,1,1
last_traded_quantity,core_tick,1,1
volume_traded,core_tick,1,1
buy_1_price,raw_depth_l1_to_l5,1,1
buy_1_quantity,raw_depth_l1_to_l5,1,1
buy_1_orders,raw_depth_l1_to_l5,1,1
buy_2_price,raw_depth_l1_to_l5,1,1
buy_2_quantity,raw_depth_l1_to_l5,1,1
buy_2_orders,raw_depth_l1_to_l5,1,1
buy_3_price,raw_depth_l1_to_l5,1,1
buy_3_quantity,raw_depth_l1_to_l5,1,1
buy_3_orders,raw_depth_l1_to_l5,1,1
buy_4_price,raw_depth_l1_to_l5,1,1
buy_4_quantity,raw_depth_l1_to_l5,1,1
buy_4_orders,raw_depth_l1_to_l5,1,1
buy_5_price,raw_depth_l1_to_l5,1,1
buy_5_quantity,raw_depth_l1_to_l5,1,1
buy_5_orders,raw_depth_l1_to_l5,1,1
sell_1_price,raw_depth_l1_to_l5,1,1
sell_1_quantity,raw_depth_l1_to_l5,1,1
sell_1_orders,raw_depth_l1_to_l5,1,1
sell_2_price,raw_depth_l1_to_l5,1,1
sell_2_quantity,raw_depth_l1_to_l5,1,1
sell_2_orders,raw_depth_l1_to_l5,1,1
sell_3_price,raw_depth_l1_to_l5,1,1
sell_3_quantity,raw_depth_l1_to_l5,1,1
sell_3_orders,raw_depth_l1_to_l5,1,1
sell_4_price,raw_depth_l1_to_l5,1,1
sell_4_quantity,raw_depth_l1_to_l5,1,1
sell_4_orders,raw_depth_l1_to_l5,1,1
sell_5_price,raw_depth_l1_to_l5,1,1
sell_5_quantity,raw_depth_l1_to_l5,1,1
sell_5_orders,raw_depth_l1_to_l5,1,1
