rule_id,feature_family,feature,side_mode,horizon_events,abs_quantile,spread_quantile,depth_quantile,abs_threshold,spread_bps_max,depth_notional_min,train_trades,train_net_pnl_inr,train_precision_cost_clear,train_mean_net_return,test_trades,test_net_pnl_inr,test_gross_pnl_proxy_inr,test_cost_pnl_drag_proxy_inr,test_precision_cost_clear,test_mean_net_return,test_positive_symbol_rows,test_symbols,test_positive_after_costs,test_positive_symbol_fraction,phase56_candidate,has_test_trades
S56_MOMENTUM_SIGN_Q975_SP75_DP75_H20,momentum,one_tick_return,sign,20,0.975,0.75,0.75,2.571169476650592e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_MOMENTUM_SIGN_Q975_SP75_DP75_H50,momentum,one_tick_return,sign,50,0.975,0.75,0.75,2.571169476650592e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_MOMENTUM_SIGN_Q975_SP75_DP75_H100,momentum,one_tick_return,sign,100,0.975,0.75,0.75,2.571169476650592e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_MOMENTUM_SIGN_Q990_SP75_DP75_H20,momentum,one_tick_return,sign,20,0.99,0.75,0.75,2.7423135511850383e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_MOMENTUM_SIGN_Q990_SP75_DP75_H50,momentum,one_tick_return,sign,50,0.99,0.75,0.75,2.7423135511850383e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_MOMENTUM_SIGN_Q990_SP75_DP75_H100,momentum,one_tick_return,sign,100,0.99,0.75,0.75,2.7423135511850383e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_MOMENTUM_SIGN_Q995_SP75_DP75_H20,momentum,one_tick_return,sign,20,0.995,0.75,0.75,2.830505089357338e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_MOMENTUM_SIGN_Q995_SP75_DP75_H50,momentum,one_tick_return,sign,50,0.995,0.75,0.75,2.830505089357338e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_MOMENTUM_SIGN_Q995_SP75_DP75_H100,momentum,one_tick_return,sign,100,0.995,0.75,0.75,2.830505089357338e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_CONTRARIAN_OPPOSITE_Q975_SP75_DP75_H20,contrarian,one_tick_return,opposite,20,0.975,0.75,0.75,2.571169476650592e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_CONTRARIAN_OPPOSITE_Q975_SP75_DP75_H50,contrarian,one_tick_return,opposite,50,0.975,0.75,0.75,2.571169476650592e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_CONTRARIAN_OPPOSITE_Q975_SP75_DP75_H100,contrarian,one_tick_return,opposite,100,0.975,0.75,0.75,2.571169476650592e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_CONTRARIAN_OPPOSITE_Q990_SP75_DP75_H20,contrarian,one_tick_return,opposite,20,0.99,0.75,0.75,2.7423135511850383e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_CONTRARIAN_OPPOSITE_Q990_SP75_DP75_H50,contrarian,one_tick_return,opposite,50,0.99,0.75,0.75,2.7423135511850383e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_CONTRARIAN_OPPOSITE_Q990_SP75_DP75_H100,contrarian,one_tick_return,opposite,100,0.99,0.75,0.75,2.7423135511850383e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_CONTRARIAN_OPPOSITE_Q995_SP75_DP75_H20,contrarian,one_tick_return,opposite,20,0.995,0.75,0.75,2.830505089357338e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_CONTRARIAN_OPPOSITE_Q995_SP75_DP75_H50,contrarian,one_tick_return,opposite,50,0.995,0.75,0.75,2.830505089357338e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_CONTRARIAN_OPPOSITE_Q995_SP75_DP75_H100,contrarian,one_tick_return,opposite,100,0.995,0.75,0.75,2.830505089357338e-05,2.924119109118378,847033.05,86,-11226.051357147639,0.0,-0.0013053548089706558,37,-4829.703281628985,0.0,4829.703281628985,0.0,-0.001305325211251077,0,1,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP50_DP50_H20,momentum,one_tick_return,sign,20,0.9,0.5,0.5,2.0125241688484508e-05,2.2070183182512886,620123.6,170,-19638.15747058211,0.0,-0.0011551857335636536,72,-8310.890661353238,0.0,8310.890661353238,0.0,-0.0011542903696323942,0,2,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP50_DP50_H50,momentum,one_tick_return,sign,50,0.9,0.5,0.5,2.0125241688484508e-05,2.2070183182512886,620123.6,170,-19638.15747058211,0.0,-0.0011551857335636536,72,-8310.890661353238,0.0,8310.890661353238,0.0,-0.0011542903696323942,0,2,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP50_DP50_H100,momentum,one_tick_return,sign,100,0.9,0.5,0.5,2.0125241688484508e-05,2.2070183182512886,620123.6,170,-19638.15747058211,0.0,-0.0011551857335636536,72,-8310.890661353238,0.0,8310.890661353238,0.0,-0.0011542903696323942,0,2,False,0.0,False,True
S56_MOMENTUM_SIGN_Q950_SP50_DP50_H20,momentum,one_tick_return,sign,20,0.95,0.5,0.5,2.2937780895349036e-05,2.2070183182512886,620123.6,170,-19638.15747058211,0.0,-0.0011551857335636536,72,-8310.890661353238,0.0,8310.890661353238,0.0,-0.0011542903696323942,0,2,False,0.0,False,True
S56_MOMENTUM_SIGN_Q950_SP50_DP50_H50,momentum,one_tick_return,sign,50,0.95,0.5,0.5,2.2937780895349036e-05,2.2070183182512886,620123.6,170,-19638.15747058211,0.0,-0.0011551857335636536,72,-8310.890661353238,0.0,8310.890661353238,0.0,-0.0011542903696323942,0,2,False,0.0,False,True
S56_MOMENTUM_SIGN_Q950_SP50_DP50_H100,momentum,one_tick_return,sign,100,0.95,0.5,0.5,2.2937780895349036e-05,2.2070183182512886,620123.6,170,-19638.15747058211,0.0,-0.0011551857335636536,72,-8310.890661353238,0.0,8310.890661353238,0.0,-0.0011542903696323942,0,2,False,0.0,False,True
S56_MOMENTUM_SIGN_Q975_SP50_DP50_H20,momentum,one_tick_return,sign,20,0.975,0.5,0.5,2.571169476650592e-05,2.2070183182512886,620123.6,170,-19638.15747058211,0.0,-0.0011551857335636536,72,-8310.890661353238,0.0,8310.890661353238,0.0,-0.0011542903696323942,0,2,False,0.0,False,True
