metric,value,description
phase56_dense_shards_scanned,8,Dense shards scanned
phase56_observation_rows,1981976,No-lookahead feature/label observations
phase56_train_rows,1382136,Chronological training rows
phase56_test_rows,599840,Chronological test rows
phase56_rule_rows_evaluated,180,Candidate rules with at least 20 training trades
phase56_positive_test_rule_rows,0,Rules positive after retail costs on test split
phase56_scale_candidate_rows,0,Rules passing no-lookahead scale gate
phase56_best_traded_test_net_pnl_inr,-4829.703281628985,Best no-lookahead test net P&L among rules that emitted at least one test trade
phase56_best_rule_id,S56_MOMENTUM_SIGN_Q975_SP75_DP75_H20,Top test rule
phase56_elapsed_seconds,59.71509040000092,Elapsed seconds
phase56_zerodha_cost_model_version,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Zerodha retail intraday cost model
phase56_recommend_scale_to_wider_dense_replay,0,1 means at least one no-lookahead rule deserves wider replay
