rule_id,feature_family,feature,side_mode,horizon_events,abs_quantile,spread_quantile,depth_quantile,abs_threshold,spread_bps_max,depth_notional_min,train_trades,train_net_pnl_inr,train_precision_cost_clear,train_mean_net_return,test_trades,test_net_pnl_inr,test_gross_pnl_proxy_inr,test_cost_pnl_drag_proxy_inr,test_precision_cost_clear,test_mean_net_return,test_positive_symbol_rows,test_symbols,test_positive_after_costs,test_positive_symbol_fraction,phase56_candidate,has_test_trades
S56_MOMENTUM_SIGN_Q900_SP50_DP00_H20,momentum,one_tick_return,sign,20,0.9,0.5,0.0,2.0125241688484508e-05,2.2070183182512886,116846.19999999998,343,-38819.4284735763,0.0,-0.0011317617630780263,146,-16507.675433330125,0.0,16507.675433330125,0.0,-0.0011306627009130224,0,4,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP50_DP00_H50,momentum,one_tick_return,sign,50,0.9,0.5,0.0,2.0125241688484508e-05,2.2070183182512886,116846.19999999998,343,-38819.4284735763,0.0,-0.0011317617630780263,146,-16507.675433330125,0.0,16507.675433330125,0.0,-0.0011306627009130224,0,4,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP50_DP00_H100,momentum,one_tick_return,sign,100,0.9,0.5,0.0,2.0125241688484508e-05,2.2070183182512886,116846.19999999998,343,-38819.4284735763,0.0,-0.0011317617630780263,146,-16507.675433330125,0.0,16507.675433330125,0.0,-0.0011306627009130224,0,4,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP50_DP50_H20,momentum,one_tick_return,sign,20,0.9,0.5,0.5,2.0125241688484508e-05,2.2070183182512886,620123.6,170,-19638.15747058211,0.0,-0.0011551857335636536,72,-8310.890661353238,0.0,8310.890661353238,0.0,-0.0011542903696323942,0,2,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP50_DP50_H50,momentum,one_tick_return,sign,50,0.9,0.5,0.5,2.0125241688484508e-05,2.2070183182512886,620123.6,170,-19638.15747058211,0.0,-0.0011551857335636536,72,-8310.890661353238,0.0,8310.890661353238,0.0,-0.0011542903696323942,0,2,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP50_DP50_H100,momentum,one_tick_return,sign,100,0.9,0.5,0.5,2.0125241688484508e-05,2.2070183182512886,620123.6,170,-19638.15747058211,0.0,-0.0011551857335636536,72,-8310.890661353238,0.0,8310.890661353238,0.0,-0.0011542903696323942,0,2,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP75_DP00_H20,momentum,one_tick_return,sign,20,0.9,0.75,0.0,2.0125241688484508e-05,2.924119109118378,116846.19999999998,36612,-4755813.049493051,0.024582104228121928,-0.0012989765785788952,15171,-1967229.5931739733,0.0,1967229.5931739733,0.01964273943708391,-0.001296703970189159,0,6,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP75_DP00_H50,momentum,one_tick_return,sign,50,0.9,0.75,0.0,2.0125241688484508e-05,2.924119109118378,116846.19999999998,36612,-4755813.049493052,0.061455260570304815,-0.0012989765785788954,15111,-1959449.4339966448,0.0,1959449.4339966453,0.04850770961551188,-0.0012967040129684632,0,6,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP75_DP00_H100,momentum,one_tick_return,sign,100,0.9,0.75,0.0,2.0125241688484508e-05,2.924119109118378,116846.19999999998,36612,-4754824.140169994,0.11457991915219054,-0.001298706473333878,15012,-1947379.5031215658,-768.2436907902157,1946611.2594307757,0.08746336264321876,-0.0012972152298971263,0,6,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP75_DP50_H20,momentum,one_tick_return,sign,20,0.9,0.75,0.5,2.0125241688484508e-05,2.924119109118378,620123.6,21493,-2808305.407157035,0.020937049271855954,-0.0013066139706681408,8996,-1173324.7680658472,0.0,1173324.7680658472,0.014450867052023121,-0.0013042738640127248,0,3,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP75_DP50_H50,momentum,one_tick_return,sign,50,0.9,0.75,0.5,2.0125241688484508e-05,2.924119109118378,620123.6,21493,-2808305.407157035,0.052342623179639884,-0.0013066139706681408,8966,-1169407.3307788458,0.0,1169407.330778846,0.036248048182020966,-0.0013042687160147734,0,3,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP75_DP50_H100,momentum,one_tick_return,sign,100,0.9,0.75,0.5,2.0125241688484508e-05,2.924119109118378,620123.6,21493,-2808305.4071570355,0.10468524635927977,-0.001306613970668141,8916,-1162878.2686338439,0.0,1162878.2686338439,0.07290264692687304,-0.0013042600590330237,0,3,False,0.0,False,True
S56_MOMENTUM_SIGN_Q900_SP75_DP75_H20,momentum,one_tick_return,sign,20,0.9,0.75,0.75,2.0125241688484508e-05,2.924119109118378,847033.05,21153,-2766753.17598383,0.021273578215855907,-0.0013079720020724387,8924,-1165013.8774044944,0.0,1165013.8774044944,0.014567458538771852,-0.0013054839504756772,0,1,False,0.0,False,True
