rule_id,group_id,leader_symbol,side_mode,feature_quantile,abs_leader_return_threshold,trades,target_symbols,trade_dates,net_pnl_inr,gross_pnl_proxy_inr,cost_pnl_drag_proxy_inr,mean_net_bps,precision_cost_clear,positive_target_fraction,positive_date_fraction,cost_drag_to_abs_gross_ratio,label_candidate
P70_MEGA_HDFCBANK_MOMENTUM_Q70,MEGA_HDFCBANK_MOMENTUM,HDFCBANK,sign,0.7,0.004286990175647487,390,26,1,38915.74717800456,85632.6999437128,46716.95276570824,9.97839671230886,0.4794871794871795,0.7692307692307693,1.0,0.5455503890034502,False
P70_MEGA_HDFCBANK_MOMENTUM_Q50,MEGA_HDFCBANK_MOMENTUM,HDFCBANK,sign,0.5,0.002525100703421046,649,26,1,16193.356271902565,93947.06139235893,77753.70512045636,2.495124232958793,0.4514637904468413,0.6153846153846154,1.0,0.8276331794533424,False
P70_ETF_NIFTY_FADE_Q90,ETF_NIFTY_FADE,NIFTYBEES,opposite,0.9,0.007024567788898928,134,27,1,2141.5380219652043,18139.131823815715,15997.593801850508,1.5981627029591075,0.44029850746268656,0.5925925925925926,1.0,0.8819382293063508,False
P70_ETF_IT_FADE_Q90,ETF_IT_FADE,ITBEES,opposite,0.9,0.003716320842366061,25,5,1,-1098.8176317973646,1958.6152882649421,3057.4329200623065,-4.395270527189458,0.32,0.2,0.0,1.5610175915509994,False
P70_ETF_BANK_FADE_Q90,ETF_BANK_FADE,BANKBEES,opposite,0.9,0.00446845177136345,25,5,1,-1905.8559575817583,929.8008695273862,2835.656827109144,-7.623423830327034,0.4,0.8,0.0,3.049746370478763,False
P70_MEGA_INFY_FADE_Q90,MEGA_INFY_FADE,INFY,opposite,0.9,0.007463349622390147,129,26,1,-3090.5361819594023,12351.861795416464,15442.397977375866,-2.3957644821390716,0.3643410852713178,0.5,0.0,1.2502081251513226,False
P70_ETF_BANK_MOMENTUM_Q90,ETF_BANK_MOMENTUM,BANKBEES,sign,0.9,0.00446845177136345,25,5,1,-3765.4576966365303,-929.8008695273862,2835.656827109144,-15.061830786546121,0.32,0.2,0.0,3.049746370478763,False
P70_ETF_BANK_MOMENTUM_Q70,ETF_BANK_MOMENTUM,BANKBEES,sign,0.7,0.002884599535167398,75,5,1,-4088.426969302044,4417.3415597560825,8505.768529058127,-5.451235959069392,0.44,0.2,0.0,1.925540149883225,False
P70_ETF_BANK_MOMENTUM_Q50,ETF_BANK_MOMENTUM,BANKBEES,sign,0.5,0.001766842800528412,125,5,1,-4145.692552772277,10024.47834493222,14170.170897704498,-3.3165540422178217,0.488,0.4,0.0,1.413556936343535,False
P70_MEGA_HDFCBANK_MOMENTUM_Q90,MEGA_HDFCBANK_MOMENTUM,HDFCBANK,sign,0.9,0.00759338640538898,130,26,1,-4607.424846003507,10963.552773551999,15570.977619555506,-3.5441729584642365,0.4153846153846154,0.38461538461538464,0.0,1.4202492514213332,False
