group_id,feature_quantile,abs_leader_return_threshold
ETF_BANK_FADE,0.5,0.001766842800528412
ETF_BANK_FADE,0.7,0.002884599535167398
ETF_BANK_FADE,0.9,0.00446845177136345
ETF_BANK_MOMENTUM,0.5,0.001766842800528412
ETF_BANK_MOMENTUM,0.7,0.002884599535167398
ETF_BANK_MOMENTUM,0.9,0.00446845177136345
ETF_IT_FADE,0.5,0.001853285433815799
ETF_IT_FADE,0.7,0.002768378960320006
ETF_IT_FADE,0.9,0.003716320842366061
ETF_IT_MOMENTUM,0.5,0.001853285433815799
ETF_IT_MOMENTUM,0.7,0.002768378960320006
ETF_IT_MOMENTUM,0.9,0.003716320842366061
ETF_NIFTY_FADE,0.5,0.0021661431820643173
ETF_NIFTY_FADE,0.7,0.0033229713795688287
ETF_NIFTY_FADE,0.9,0.007024567788898928
ETF_NIFTY_MOMENTUM,0.5,0.0021661431820643173
ETF_NIFTY_MOMENTUM,0.7,0.0033229713795688287
ETF_NIFTY_MOMENTUM,0.9,0.007024567788898928
MEGA_HDFCBANK_FADE,0.5,0.002525100703421046
MEGA_HDFCBANK_FADE,0.7,0.004286990175647487
MEGA_HDFCBANK_FADE,0.9,0.00759338640538898
MEGA_HDFCBANK_MOMENTUM,0.5,0.002525100703421046
MEGA_HDFCBANK_MOMENTUM,0.7,0.004286990175647487
MEGA_HDFCBANK_MOMENTUM,0.9,0.00759338640538898
MEGA_ICICIBANK_FADE,0.5,0.002082754790335928
MEGA_ICICIBANK_FADE,0.7,0.003535283515873955
MEGA_ICICIBANK_FADE,0.9,0.006830985915492915
MEGA_ICICIBANK_MOMENTUM,0.5,0.002082754790335928
MEGA_ICICIBANK_MOMENTUM,0.7,0.003535283515873955
MEGA_ICICIBANK_MOMENTUM,0.9,0.006830985915492915
MEGA_INFY_FADE,0.5,0.002902885292047963
MEGA_INFY_FADE,0.7,0.004398311048557368
MEGA_INFY_FADE,0.9,0.007463349622390147
MEGA_INFY_MOMENTUM,0.5,0.002902885292047963
MEGA_INFY_MOMENTUM,0.7,0.004398311048557368
MEGA_INFY_MOMENTUM,0.9,0.007463349622390147
MEGA_RELIANCE_FADE,0.5,0.002813474260512372
MEGA_RELIANCE_FADE,0.7,0.004082867079994057
MEGA_RELIANCE_FADE,0.9,0.006499395405078934
MEGA_RELIANCE_MOMENTUM,0.5,0.002813474260512372
MEGA_RELIANCE_MOMENTUM,0.7,0.004082867079994057
MEGA_RELIANCE_MOMENTUM,0.9,0.006499395405078934
MEGA_TCS_FADE,0.5,0.0024022118478902454
MEGA_TCS_FADE,0.7,0.003476611883691527
MEGA_TCS_FADE,0.9,0.007087687414811583
MEGA_TCS_MOMENTUM,0.5,0.0024022118478902454
MEGA_TCS_MOMENTUM,0.7,0.003476611883691527
MEGA_TCS_MOMENTUM,0.9,0.007087687414811583
