group_id,leader_symbol,target_symbols,side_mode,description
ETF_NIFTY_MOMENTUM,NIFTYBEES,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HDFCBANK', 'HINDUNILVR', 'ICICIBANK', 'INFY', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'RELIANCE', 'SBIN', 'SUNPHARMA', 'TCS', 'TECHM', 'ULTRACEMCO', 'WIPRO')",sign,NIFTYBEES return leads broad equities.
ETF_NIFTY_FADE,NIFTYBEES,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HDFCBANK', 'HINDUNILVR', 'ICICIBANK', 'INFY', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'RELIANCE', 'SBIN', 'SUNPHARMA', 'TCS', 'TECHM', 'ULTRACEMCO', 'WIPRO')",opposite,Fade NIFTYBEES return against broad equities.
ETF_BANK_MOMENTUM,BANKBEES,"('AXISBANK', 'HDFCBANK', 'ICICIBANK', 'KOTAKBANK', 'SBIN')",sign,BANKBEES return leads banks.
ETF_BANK_FADE,BANKBEES,"('AXISBANK', 'HDFCBANK', 'ICICIBANK', 'KOTAKBANK', 'SBIN')",opposite,Fade BANKBEES return against banks.
ETF_IT_MOMENTUM,ITBEES,"('HCLTECH', 'INFY', 'TCS', 'TECHM', 'WIPRO')",sign,ITBEES return leads IT large caps.
ETF_IT_FADE,ITBEES,"('HCLTECH', 'INFY', 'TCS', 'TECHM', 'WIPRO')",opposite,Fade ITBEES return against IT large caps.
MEGA_HDFCBANK_MOMENTUM,HDFCBANK,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HINDUNILVR', 'ICICIBANK', 'INFY', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'RELIANCE', 'SBIN', 'SUNPHARMA', 'TCS', 'TECHM', 'ULTRACEMCO', 'WIPRO')",sign,HDFCBANK return leads other equities.
MEGA_HDFCBANK_FADE,HDFCBANK,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HINDUNILVR', 'ICICIBANK', 'INFY', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'RELIANCE', 'SBIN', 'SUNPHARMA', 'TCS', 'TECHM', 'ULTRACEMCO', 'WIPRO')",opposite,Fade HDFCBANK return against other equities.
MEGA_ICICIBANK_MOMENTUM,ICICIBANK,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HDFCBANK', 'HINDUNILVR', 'INFY', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'RELIANCE', 'SBIN', 'SUNPHARMA', 'TCS', 'TECHM', 'ULTRACEMCO', 'WIPRO')",sign,ICICIBANK return leads other equities.
MEGA_ICICIBANK_FADE,ICICIBANK,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HDFCBANK', 'HINDUNILVR', 'INFY', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'RELIANCE', 'SBIN', 'SUNPHARMA', 'TCS', 'TECHM', 'ULTRACEMCO', 'WIPRO')",opposite,Fade ICICIBANK return against other equities.
MEGA_INFY_MOMENTUM,INFY,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HDFCBANK', 'HINDUNILVR', 'ICICIBANK', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'RELIANCE', 'SBIN', 'SUNPHARMA', 'TCS', 'TECHM', 'ULTRACEMCO', 'WIPRO')",sign,INFY return leads other equities.
MEGA_INFY_FADE,INFY,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HDFCBANK', 'HINDUNILVR', 'ICICIBANK', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'RELIANCE', 'SBIN', 'SUNPHARMA', 'TCS', 'TECHM', 'ULTRACEMCO', 'WIPRO')",opposite,Fade INFY return against other equities.
MEGA_RELIANCE_MOMENTUM,RELIANCE,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HDFCBANK', 'HINDUNILVR', 'ICICIBANK', 'INFY', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'SBIN', 'SUNPHARMA', 'TCS', 'TECHM', 'ULTRACEMCO', 'WIPRO')",sign,RELIANCE return leads other equities.
MEGA_RELIANCE_FADE,RELIANCE,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HDFCBANK', 'HINDUNILVR', 'ICICIBANK', 'INFY', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'SBIN', 'SUNPHARMA', 'TCS', 'TECHM', 'ULTRACEMCO', 'WIPRO')",opposite,Fade RELIANCE return against other equities.
MEGA_TCS_MOMENTUM,TCS,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HDFCBANK', 'HINDUNILVR', 'ICICIBANK', 'INFY', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'RELIANCE', 'SBIN', 'SUNPHARMA', 'TECHM', 'ULTRACEMCO', 'WIPRO')",sign,TCS return leads other equities.
MEGA_TCS_FADE,TCS,"('ADANIPORTS', 'AXISBANK', 'BAJAJ-AUTO', 'BHARTIARTL', 'BPCL', 'BRITANNIA', 'CIPLA', 'DRREDDY', 'HCLTECH', 'HDFCBANK', 'HINDUNILVR', 'ICICIBANK', 'INFY', 'ITC', 'KOTAKBANK', 'LT', 'M&M', 'MARUTI', 'NESTLEIND', 'ONGC', 'RELIANCE', 'SBIN', 'SUNPHARMA', 'TECHM', 'ULTRACEMCO', 'WIPRO')",opposite,Fade TCS return against other equities.
