exchange,symbol,trade_dates,rows,gap_rows,median_ticks_per_second,min_ticks_per_second,max_ticks_per_second,median_gap_ms,median_p95_gap_ms,max_p95_gap_ms,median_gap_le_1s_fraction,max_gap_gt_5s_fraction
NSE,ADANIPORTS,3,27481.0,27478.0,0.6119776293339539,0.6088482941308139,0.6327540655452593,1000.0,5500.0,5750.0,0.5463449765934462,0.07444444444444444
NSE,AXISBANK,3,43257.0,43254.0,1.0563417893827705,0.803904475652219,1.2844634816154983,501.0,4380.75,4913.649999999998,0.7732668913967463,0.04588158182215425
NSE,BAJAJ-AUTO,3,36720.0,36717.0,0.5449530681660842,0.5139672474883005,1.1038618480081333,1000.0,5939.25,6309.0,0.5367063492063492,0.10218978102189781
NSE,BANKBEES,3,41253.0,41250.0,1.0176996076718918,0.8379597726150352,1.0416434849707672,999.0,4450.0,4833.0,0.7697158486552196,0.03965107057890563
NSE,BHARTIARTL,3,46148.0,46145.0,0.8576316169666368,0.7411672827520207,1.5535121061707482,749.0,4762.399999999994,5455.199999999995,0.7087785674114219,0.059996931103268376
NSE,BPCL,3,20739.0,20736.0,0.4691089310103396,0.4301681237574247,0.4843340858066715,1635.5,6081.699999999999,6750.95,0.3921183188243003,0.13114754098360656
NSE,BRITANNIA,3,16325.0,16322.0,0.3743373852889271,0.2706227369017345,0.41836419599366476,2000.0,7000.799999999999,7565.699999999991,0.3456891495601173,0.28403361344537814
NSE,CIPLA,3,22213.0,22210.0,0.5114220439825589,0.4438134250661456,0.5132149767651688,1378.0,5953.9,6747.95,0.4382368016401845,0.13223987698616094
NSE,DRREDDY,3,34854.0,34851.0,0.5381720372272615,0.4286449494112845,1.4564185295080736,1250.0,5750.0,6750.0,0.4612434725848564,0.13855103120042306
NSE,GOLDBEES,3,29870.0,29867.0,0.747537060311931,0.5751501041202447,0.7973713887741152,750.0,5250.0,5680.0,0.6672162948593598,0.08027116554964948
NSE,HCLTECH,3,40610.0,40607.0,0.6225659128017602,0.3740303933403781,1.2849916652927336,1000.0,5324.849999999999,7000.0,0.5206416314349664,0.15666666666666668
NSE,HDFCBANK,3,70803.0,70800.0,1.603422823519758,1.5788738347248972,1.6061192335818606,500.0,1250.0,1250.0,0.9219645141554035,0.005895767284053618
NSE,HINDUNILVR,3,29461.0,29458.0,0.5771618051184408,0.5344873658918817,0.9451934859835005,1000.0,5859.449999999999,5997.2,0.5779003348434114,0.09053565560302333
NSE,ICICIBANK,3,58334.0,58331.0,1.4260829399017483,1.1624101309966053,1.4949167566754191,500.0,3403.0,4201.399999999998,0.8969552609776305,0.020058172477618708
NSE,INFY,3,58214.0,58211.0,1.0978349499092204,1.0871660374408094,1.5152855655339823,500.0,3922.1499999999996,4344.799999999999,0.8290536342928142,0.02226133775108718
NSE,ITBEES,3,18963.0,18960.0,0.3695701548784305,0.30692415441998033,0.5086447004458848,2001.0,6911.049999999997,7230.149999999997,0.30661364587693596,0.21058475203552923
NSE,ITC,3,32733.0,32730.0,0.8224385234023313,0.5435287304263906,1.0153947875523652,749.0,4815.399999999987,5750.0,0.7275742916378715,0.08587817094845694
NSE,JUNIORBEES,3,38437.0,38434.0,0.9334836363603298,0.7727358997628363,0.9893867334865224,999.0,4511.0,5021.0,0.7607160253287871,0.05171721804942377
NSE,KOTAKBANK,3,42075.0,42072.0,1.0603273887258635,0.6187021664981931,1.4439845831521096,500.0,4051.2999999999993,5475.549999999999,0.8332975986277873,0.07047551454932577
NSE,LT,3,50307.0,50304.0,1.4013052176654701,0.8546999165102286,1.4329157117829994,500.0,3367.0,4750.0,0.8857976338393387,0.0394040585666581
NSE,M&M,3,51233.0,51230.0,1.1268034214941514,1.1013649697215568,1.2846908001681248,501.0,4285.449999999993,4380.549999999999,0.8254338859055179,0.021925509486999298
NSE,MARUTI,3,48890.0,48887.0,1.0053320993993862,0.9384846445181108,1.2138259451311155,683.0,4212.0,4508.0,0.7746207746207746,0.02795102795102795
NSE,NESTLEIND,3,22657.0,22654.0,0.4562232363612551,0.43567005828347577,0.5671698736995497,1251.0,6232.4,6750.0,0.4375650364203954,0.13085327783558792
NSE,NIFTYBEES,3,44715.0,44712.0,1.0239544718027407,0.9930222179749781,1.0287579870680805,749.0,4467.049999999999,4542.0,0.7907018248338018,0.028956409226788025
NSE,ONGC,3,32786.0,32783.0,0.7598161951715559,0.6756655816850584,0.7674274336667414,750.0,5002.0,5206.149999999996,0.6639505316689782,0.05820348304307974
NSE,RELIANCE,3,58141.0,58138.0,1.4553629606488494,1.144086889482594,1.5104211440311583,500.0,2999.0,4324.0,0.8903781713738631,0.02360391479562464
NSE,SBIN,3,50664.0,50661.0,1.1835024668430547,1.0857474397251663,1.201940102234573,500.0,4257.699999999999,4329.0,0.8250144908868423,0.0247098313584341
NSE,SUNPHARMA,3,32921.0,32918.0,0.641490217340047,0.5527250607111024,1.0409382562921885,982.0,5483.999999999993,6110.499999999998,0.6000410705729345,0.09728506787330317
NSE,TCS,3,57870.0,57867.0,1.1818148815634635,0.6972996601814956,1.6012210853070985,500.0,4250.699999999999,5251.0,0.8194144232658676,0.05836322138897946
NSE,TECHM,3,29591.0,29588.0,0.5364659456355891,0.40189920104348303,0.8396891797680396,1238.5,5806.0999999999985,6778.499999999999,0.47186147186147187,0.15106082036775106
NSE,ULTRACEMCO,3,17353.0,17350.0,0.3877975213933031,0.3681906301938709,0.4497497563713412,2000.0,6772.5999999999985,6863.799999999998,0.3112397684168497,0.17006559332140728
