exchange,symbol,phase154_full_partition_rows,phase154_target_median_gap_ms,phase154_target_p95_gap_ms,phase154_target_gap_le_1s_fraction,target_median_gap_ms,target_median_p95_gap_ms,phase106_synthetic_p95_gap_ms,phase106_synthetic_gap_le_1s_fraction,synthetic_to_full_p95_ratio,phase106_cadence_contract_pass,phase156_smoke_rows,phase156_synthetic_median_gap_ms,phase156_synthetic_p90_gap_ms,phase156_synthetic_p95_gap_ms,phase156_synthetic_gap_le_1s_fraction,phase106_profile_p95_gap_ms,phase106_profile_gap_le_1s_fraction,target_consistent_with_phase154,phase156_to_full_p95_ratio,phase156_p95_contract_pass,phase156_p95_exact_target_pass,phase156_gap_le_1s_delta_vs_phase154,legacy_phase106_sampled_anchor_stale,future_cadence_anchor_source,cadence_rewire_pass
NSE,ADANIPORTS,27481.0,1000.0,5500.0,0.5463449765934462,1000.0,5500.0,792.0,0.991883134130146,0.144,0.0,526144.0,500.0,500.0,5500.0,0.9225084676177768,792.0,0.991883134130146,1,1.0,1,1,0.37616349102433067,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,AXISBANK,43257.0,501.0,4380.75,0.7732668913967463,501.0,4380.75,792.0,0.9921439344854324,0.1807909604519774,0.0,526400.0,500.0,500.0,4381.0,0.9225803510025116,792.0,0.9921439344854324,1,1.000057067853678,1,1,0.14931345960576525,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,BAJAJ-AUTO,36720.0,1000.0,5939.25,0.5367063492063492,1000.0,5939.25,792.0,0.9922228476750856,0.1333501704760702,0.0,526144.0,500.0,500.0,5939.0,0.9223069934349828,792.0,0.9922228476750856,1,0.9999579071431578,1,1,0.3856006442286336,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,BANKBEES,41253.0,999.0,4450.0,0.7697158486552196,999.0,4450.0,792.0,0.9921269148235494,0.1779775280898876,0.0,525824.0,500.0,500.0,4450.0,0.9226020441154656,792.0,0.9921269148235494,1,1.0,1,1,0.15288619546024607,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,BHARTIARTL,46148.0,749.0,4762.399999999994,0.7087785674114219,749.0,4762.399999999994,792.0,0.9922602179981108,0.1663027045187302,0.0,526656.0,500.0,500.0,4762.0,0.92257241271927,792.0,0.9922602179981108,1,0.9999160087350928,1,1,0.21379384530784817,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,BPCL,20739.0,1635.5,6081.699999999999,0.3921183188243003,1635.5,6081.699999999999,792.0,0.9920451649891706,0.1302267458112041,0.0,526592.0,500.0,500.0,6082.0,0.9223066258996904,792.0,0.9920451649891706,1,1.0000493283128074,1,1,0.5301883070753901,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,BRITANNIA,16325.0,2000.0,7000.799999999999,0.3456891495601173,2000.0,7000.799999999999,792.0,0.9919369833613124,0.1131299280082276,0.0,526592.0,500.0,500.0,7001.0,0.92228763507226,792.0,0.9919369833613124,1,1.0000285681636385,1,1,0.5765984855121427,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,CIPLA,22213.0,1378.0,5953.9,0.4382368016401845,1378.0,5953.9,792.0,0.992041422318545,0.1330220527721325,0.0,525824.0,500.0,500.0,5954.0,0.9223015507738654,792.0,0.992041422318545,1,1.0000167957137338,1,1,0.4840647491336809,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,DRREDDY,34854.0,1250.0,5750.0,0.4612434725848564,1250.0,5750.0,792.0,0.9921130952380952,0.1377391304347826,0.0,525952.0,500.0,500.0,5750.0,0.922329967866446,792.0,0.9921130952380952,1,1.0,1,1,0.4610864952815897,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,GOLDBEES,29870.0,750.0,5250.0,0.6672162948593598,750.0,5250.0,792.0,0.99214027726138,0.1508571428571428,0.0,526208.0,500.0,500.0,5250.0,0.9225654046287814,792.0,0.99214027726138,1,1.0,1,1,0.2553491097694216,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,HCLTECH,40610.0,1000.0,5324.849999999999,0.5206416314349664,1000.0,5324.849999999999,792.0,0.9920779324266892,0.1487365841291304,0.0,525952.0,500.0,500.0,5325.0,0.9225733462628106,792.0,0.9920779324266892,1,1.0000281698076003,1,1,0.4019317148278442,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,HDFCBANK,70803.0,500.0,1250.0,0.9219645141554036,500.0,1250.0,792.0,0.9919482520454788,0.6336,1.0,526080.0,500.0,500.0,1250.0,0.9374593675982495,792.0,0.9919482520454788,1,1.0,1,1,0.015494853442845957,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,HINDUNILVR,29461.0,1000.0,5859.449999999999,0.5779003348434114,1000.0,5859.449999999999,792.0,0.9920834617551094,0.1351662698717456,0.0,525248.0,500.0,500.0,5859.0,0.9223229619249618,792.0,0.9920834617551094,1,0.9999232009830276,1,1,0.34442262708155036,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,ICICIBANK,58334.0,500.0,3403.0,0.8969552609776305,500.0,3403.0,792.0,0.992150906522501,0.2327358213341169,0.0,526016.0,500.0,500.0,3403.0,0.9223793427301452,792.0,0.992150906522501,1,1.0,1,1,0.02542408175251476,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,INFY,58214.0,500.0,3922.15,0.8290536342928142,500.0,3922.15,792.0,0.992097098107554,0.2019300638680315,0.0,526400.0,500.0,500.0,3922.0,0.9225670525743858,792.0,0.992097098107554,1,0.9999617556697219,1,1,0.09351341828157156,1,phase154_full_partition_symbol_cadence_anchor,1
NSE,ITBEES,18963.0,2001.0,6911.049999999997,0.3066136458769359,2001.0,6911.049999999997,792.0,0.9920574022939675,0.1145990840755023,0.0,526400.0,500.0,500.0,6911.0,0.9222763869310648,792.0,0.9920574022939675,1,0.999992765209339,1,1,0.6156627410541289,1,phase154_full_partition_symbol_cadence_anchor,1
