trade_month,reader_id,dense_where_predicate,feed_profiles,selected_trade_dates,contract
2026-01,P81_STRATIFIED_DENSE_WINDOW_2026-01,"trade_month = '2026-01' and trade_date in ('2026-01-01', '2026-01-02', '2026-01-06', '2026-01-07', '2026-01-09', '2026-01-13', '2026-01-15', '2026-01-19', '2026-01-22', '2026-01-26', '2026-01-30') and feed_profile in ('disconnect_scenario', 'good_retail', 'ideal_research', 'normal_retail', 'stressed_retail')",disconnect_scenario|good_retail|ideal_research|normal_retail|stressed_retail,2026-01-01|2026-01-02|2026-01-06|2026-01-07|2026-01-09|2026-01-13|2026-01-15|2026-01-19|2026-01-22|2026-01-26|2026-01-30,Use this predicate instead of local_sequence_id prefix sampling for scenario-balanced dense validation.
2026-02,P81_STRATIFIED_DENSE_WINDOW_2026-02,"trade_month = '2026-02' and trade_date in ('2026-02-04', '2026-02-05', '2026-02-10', '2026-02-13', '2026-02-17', '2026-02-18', '2026-02-19', '2026-02-20', '2026-02-23', '2026-02-24', '2026-02-25', '2026-02-27') and feed_profile in ('disconnect_scenario', 'good_retail', 'ideal_research', 'normal_retail', 'stressed_retail')",disconnect_scenario|good_retail|ideal_research|normal_retail|stressed_retail,2026-02-04|2026-02-05|2026-02-10|2026-02-13|2026-02-17|2026-02-18|2026-02-19|2026-02-20|2026-02-23|2026-02-24|2026-02-25|2026-02-27,Use this predicate instead of local_sequence_id prefix sampling for scenario-balanced dense validation.
2026-03,P81_STRATIFIED_DENSE_WINDOW_2026-03,"trade_month = '2026-03' and trade_date in ('2026-03-02', '2026-03-03', '2026-03-04', '2026-03-05', '2026-03-06', '2026-03-12', '2026-03-13', '2026-03-16', '2026-03-19', '2026-03-20', '2026-03-30', '2026-03-31') and feed_profile in ('disconnect_scenario', 'good_retail', 'ideal_research', 'normal_retail', 'stressed_retail')",disconnect_scenario|good_retail|ideal_research|normal_retail|stressed_retail,2026-03-02|2026-03-03|2026-03-04|2026-03-05|2026-03-06|2026-03-12|2026-03-13|2026-03-16|2026-03-19|2026-03-20|2026-03-30|2026-03-31,Use this predicate instead of local_sequence_id prefix sampling for scenario-balanced dense validation.
2026-04,P81_STRATIFIED_DENSE_WINDOW_2026-04,"trade_month = '2026-04' and trade_date in ('2026-04-01', '2026-04-02', '2026-04-06', '2026-04-07', '2026-04-08', '2026-04-13', '2026-04-14', '2026-04-17', '2026-04-20', '2026-04-28', '2026-04-29') and feed_profile in ('disconnect_scenario', 'good_retail', 'ideal_research', 'normal_retail', 'stressed_retail')",disconnect_scenario|good_retail|ideal_research|normal_retail|stressed_retail,2026-04-01|2026-04-02|2026-04-06|2026-04-07|2026-04-08|2026-04-13|2026-04-14|2026-04-17|2026-04-20|2026-04-28|2026-04-29,Use this predicate instead of local_sequence_id prefix sampling for scenario-balanced dense validation.
2026-05,P81_STRATIFIED_DENSE_WINDOW_2026-05,"trade_month = '2026-05' and trade_date in ('2026-05-05', '2026-05-08', '2026-05-13', '2026-05-14', '2026-05-18', '2026-05-20', '2026-05-21', '2026-05-22', '2026-05-25', '2026-05-26', '2026-05-27', '2026-05-28') and feed_profile in ('disconnect_scenario', 'good_retail', 'ideal_research', 'normal_retail', 'stressed_retail')",disconnect_scenario|good_retail|ideal_research|normal_retail|stressed_retail,2026-05-05|2026-05-08|2026-05-13|2026-05-14|2026-05-18|2026-05-20|2026-05-21|2026-05-22|2026-05-25|2026-05-26|2026-05-27|2026-05-28,Use this predicate instead of local_sequence_id prefix sampling for scenario-balanced dense validation.
2026-06,P81_STRATIFIED_DENSE_WINDOW_2026-06,"trade_month = '2026-06' and trade_date in ('2026-06-02', '2026-06-03', '2026-06-04', '2026-06-10', '2026-06-11', '2026-06-12', '2026-06-16', '2026-06-17', '2026-06-18', '2026-06-19', '2026-06-23', '2026-06-25', '2026-06-30') and feed_profile in ('disconnect_scenario', 'good_retail', 'ideal_research', 'normal_retail', 'stressed_retail')",disconnect_scenario|good_retail|ideal_research|normal_retail|stressed_retail,2026-06-02|2026-06-03|2026-06-04|2026-06-10|2026-06-11|2026-06-12|2026-06-16|2026-06-17|2026-06-18|2026-06-19|2026-06-23|2026-06-25|2026-06-30,Use this predicate instead of local_sequence_id prefix sampling for scenario-balanced dense validation.
2026-07,P81_STRATIFIED_DENSE_WINDOW_2026-07,"trade_month = '2026-07' and trade_date in ('2026-07-01', '2026-07-02', '2026-07-03', '2026-07-07', '2026-07-08', '2026-07-14', '2026-07-15', '2026-07-17', '2026-07-22', '2026-07-27', '2026-07-28', '2026-07-29') and feed_profile in ('disconnect_scenario', 'good_retail', 'ideal_research', 'normal_retail', 'stressed_retail')",disconnect_scenario|good_retail|ideal_research|normal_retail|stressed_retail,2026-07-01|2026-07-02|2026-07-03|2026-07-07|2026-07-08|2026-07-14|2026-07-15|2026-07-17|2026-07-22|2026-07-27|2026-07-28|2026-07-29,Use this predicate instead of local_sequence_id prefix sampling for scenario-balanced dense validation.
2026-08,P81_STRATIFIED_DENSE_WINDOW_2026-08,"trade_month = '2026-08' and trade_date in ('2026-08-06', '2026-08-10', '2026-08-12', '2026-08-13', '2026-08-18', '2026-08-19', '2026-08-21', '2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31') and feed_profile in ('disconnect_scenario', 'good_retail', 'ideal_research', 'normal_retail', 'stressed_retail')",disconnect_scenario|good_retail|ideal_research|normal_retail|stressed_retail,2026-08-06|2026-08-10|2026-08-12|2026-08-13|2026-08-18|2026-08-19|2026-08-21|2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-31,Use this predicate instead of local_sequence_id prefix sampling for scenario-balanced dense validation.
2026-09,P81_STRATIFIED_DENSE_WINDOW_2026-09,"trade_month = '2026-09' and trade_date in ('2026-09-01', '2026-09-03', '2026-09-04', '2026-09-14', '2026-09-16', '2026-09-17', '2026-09-22', '2026-09-23', '2026-09-24', '2026-09-28', '2026-09-30') and feed_profile in ('disconnect_scenario', 'good_retail', 'ideal_research', 'normal_retail', 'stressed_retail')",disconnect_scenario|good_retail|ideal_research|normal_retail|stressed_retail,2026-09-01|2026-09-03|2026-09-04|2026-09-14|2026-09-16|2026-09-17|2026-09-22|2026-09-23|2026-09-24|2026-09-28|2026-09-30,Use this predicate instead of local_sequence_id prefix sampling for scenario-balanced dense validation.
2026-10,P81_STRATIFIED_DENSE_WINDOW_2026-10,"trade_month = '2026-10' and trade_date in ('2026-10-01', '2026-10-02', '2026-10-05', '2026-10-06', '2026-10-07', '2026-10-09', '2026-10-14', '2026-10-16', '2026-10-22', '2026-10-27', '2026-10-30') and feed_profile in ('disconnect_scenario', 'good_retail', 'ideal_research', 'normal_retail', 'stressed_retail')",disconnect_scenario|good_retail|ideal_research|normal_retail|stressed_retail,2026-10-01|2026-10-02|2026-10-05|2026-10-06|2026-10-07|2026-10-09|2026-10-14|2026-10-16|2026-10-22|2026-10-27|2026-10-30,Use this predicate instead of local_sequence_id prefix sampling for scenario-balanced dense validation.
