trade_month,compact_days,selected_days,compact_regime_codes,selected_regime_codes,regime_code_capture_fraction,compact_regime_entropy_bits,selected_regime_entropy_bits,regime_entropy_capture_fraction,compact_feed_profiles,selected_feed_profiles,feed_profile_capture_fraction,selected_source_rows,selected_market_shock_rows,selected_symbol_shock_rows,stratified_window_pass
2026-01,22,11,11,11,1.0,3.299510609572835,3.4594300322728224,1.0484676188753614,5,5,1.0,131555,23869,8202,True
2026-02,20,12,12,12,1.0,3.4216251480120623,3.5849606275811157,1.047736228401276,5,5,1.0,143406,35785,13801,True
2026-03,22,12,12,12,1.0,3.2649802550704656,3.584958995324704,1.0980032696238564,5,5,1.0,143408,23833,6702,True
2026-04,22,11,11,11,1.0,3.1134087260134287,3.4594297411351103,1.1111389623310863,5,5,1.0,131434,23849,8935,True
2026-05,21,12,12,12,1.0,3.4043928861497954,3.584961236692384,1.053039809616922,5,5,1.0,143463,35821,3733,True
2026-06,22,13,13,13,1.0,3.5157593350700034,3.700437059790807,1.0525285456483404,5,5,1.0,155346,59629,16386,True
2026-07,23,12,12,12,1.0,3.414214382864618,3.5849616576759784,1.0500107069047313,5,5,1.0,143532,11950,6714,True
2026-08,21,13,13,13,1.0,3.594439726189325,3.70043824572303,1.0294895804654596,5,5,1.0,155426,23900,14540,True
2026-09,22,11,11,11,1.0,3.3909691211513713,3.459430144459342,1.0201892205036434,5,5,1.0,131541,35829,13046,True
2026-10,22,11,11,11,1.0,3.243042305470492,3.459429797908273,1.0667236107505504,5,5,1.0,131565,0,2611,True
2026-11,21,14,14,14,1.0,3.689269901308361,3.80735264288177,1.0320070758530113,5,5,1.0,167311,35785,14547,True
2026-12,14,7,7,7,1.0,2.5486867794417183,2.8073511894482963,1.1014892893442314,5,5,1.0,83604,23833,5956,True
