scope_candidate_id,best_scenario_id,best_scope_id,best_cost_profile,best_initial_capital_inr,best_fixed_notional_inr,best_max_concurrent_positions,best_scheduled_event_rows,best_rejected_event_rows,best_realized_net_pnl_inr,best_portfolio_return_pct,best_mechanical_one_date_annualized_portfolio_return_pct,best_notional_turnover_x_initial_capital,best_max_drawdown_inr,cost100_above12_scenario_rows,cost150_above12_scenario_rows,cost200_above12_scenario_rows,cost100_plus_1bp_above12_scenario_rows,cost100_plus_2bp_above12_scenario_rows,robust_cost_profile_count,followthrough_priority,portfolio_claim_allowed
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,P271_CAND003_CAP100000_NOT100000_CONC1_COST100,CAND003,cost100,100000.0,100000.0,1,5,6,545.516320875022,0.5455163208750219,137.4701128605055,5.0,-128.8549363787629,9,6,3,9,6,5,1,0
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,P271_CAND001_CAP100000_NOT100000_CONC1_COST100,CAND001,cost100,100000.0,100000.0,1,2,7,289.1640895488898,0.2891640895488898,72.86935056632024,2.0,0.0,6,4,3,6,6,5,1,0
P268_P268_ASK_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPMID,P271_CAND004_CAP100000_NOT100000_CONC1_COST100,CAND004,cost100,100000.0,100000.0,1,6,9,492.9520065191933,0.4929520065191933,124.22390564283673,6.0,-112.87504448157416,21,6,0,18,10,4,0,0
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPCOMPRESSION,P271_CAND014_CAP100000_NOT100000_CONC1_COST100,CAND014,cost100,100000.0,100000.0,1,4,4,341.71929322029246,0.3417192932202924,86.11326189151369,4.0,-128.8549363787629,6,3,0,6,6,4,0,0
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p75_SQ0p75_SPMID,P271_CAND017_CAP100000_NOT100000_CONC1_COST100,CAND017,cost100,100000.0,100000.0,1,9,42,265.4397090367502,0.2654397090367502,66.89080667726104,9.0,-276.88774778597895,6,0,0,3,1,3,0,0
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPHIGH,P271_CAND006_CAP100000_NOT100000_CONC1_COST100,CAND006,cost100,100000.0,100000.0,1,1,5,78.19108528016694,0.0781910852801669,19.70415349060207,1.0,0.0,1,0,0,1,1,3,0,0
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPCOMPRESSION,P271_CAND012_CAP100000_NOT100000_CONC1_COST100,CAND012,cost100,100000.0,100000.0,1,6,7,111.95669046742464,0.1119566904674246,28.21308599779101,6.0,-262.1769039572755,2,0,0,1,0,2,0,0
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPLOW,P271_CAND010_CAP100000_NOT100000_CONC2_COST100,CAND010,cost100,100000.0,100000.0,2,8,4,61.35945939789015,0.0613594593978901,15.462583768268315,4.0,-109.83668288025945,3,0,0,0,0,1,0,0
P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p9_SQ0p75_SPMID,P271_CAND002_CAP100000_NOT25000_CONC4_COST100,CAND002,cost100,100000.0,25000.0,4,18,11,56.68202214822072,0.0566820221482207,14.283869581351622,4.5,-113.98318467584788,4,0,0,0,0,1,0,0
P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPLOW,P271_CAND015_CAP1000000_NOT25000_CONC8_COST100,CAND015,cost100,1000000.0,25000.0,8,6,2,-12.313388069200148,-0.00123133880692,-0.3102973793438437,0.15,-65.54422598931887,0,0,0,0,0,0,0,0
