scope_id,scope_candidate_id,scenario_rows,cost_profile_rows,above12_scenario_rows,best_annualized_pct,best_realized_net_pnl_inr,max_scheduled_event_rows
CAND004,P268_P268_ASK_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPMID,240,5,55,124.22390564283673,492.9520065191933,9
CAND003,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPCOMPRESSION,240,5,33,137.4701128605055,545.516320875022,8
CAND001,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p75_SPHIGH,240,5,25,72.86935056632024,289.1640895488898,4
CAND014,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPCOMPRESSION,240,5,21,86.11326189151369,341.71929322029246,6
CAND017,P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p75_SQ0p75_SPMID,240,5,10,66.89080667726104,265.4397090367502,31
CAND002,P268_P268_WITHDRAWAL_REVERSAL_ROBUSTNESS_REPAIR_H10_IQ0p9_SQ0p75_SPMID,240,5,4,14.283869581351622,226.7280885928829,20
CAND012,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPCOMPRESSION,240,5,3,28.21308599779101,111.95669046742464,9
CAND006,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p9_SPHIGH,240,5,3,19.70415349060207,78.19108528016694,2
CAND010,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPLOW,240,5,3,15.462583768268315,122.7189187957803,9
CAND015,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p75_SPLOW,240,5,0,-0.3102973793438437,-6.156694034600074,6
CAND005,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPHIGH,240,5,0,-0.3235389839608019,-12.838848569873091,6
CAND011,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p5_SPLOW,240,5,0,-0.4684324258563833,-9.29429416381713,9
CAND013,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H6_IQ0p9_SQ0p6_SPLOW,240,5,0,-0.6957859542692486,-13.8052768704216,7
CAND016,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPLOW,240,5,0,-0.8789944108369354,-24.19097339248412,7
ALL_RANKED_LEADS,ALL_RANKED_LEADS,240,5,0,-0.933074139222388,-37.02675155644396,40
CAND007,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPCOMPRESSION,240,5,0,-1.1477211173994228,-29.991399773385403,10
CAND008,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p6_SPCOMPRESSION,240,5,0,-1.1477211173994228,-29.991399773385403,10
CAND009,P268_P268_BID_ABSORPTION_BREADTH_REPAIR_H10_IQ0p9_SQ0p5_SPHIGH,240,5,0,-1.208752843900195,-47.96638269445219,7
